window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_file_flow_count,z_pkt_len_variance,z_file_pkt_entropy
79,0,0.6342,0.3469,0,s4,0.185,0.6342,0.2215
80,0,0.9186,0.5151,0,s4,0.9186,0.1694,0.4572
81,0,0.7792,0.386,0,s4,0.7792,0.0584,0.3205
82,0,0.9415,0.628,0,s4,0.2395,0.7031,0.9415
83,0,0.8641,0.6082,0,s4,0.8641,0.4386,0.5219
84,0,0.9077,0.4218,0,s4,0.185,0.1727,0.9077
85,0,0.6943,0.5588,0,s4,0.6943,0.3485,0.6336
86,0,3.3692,1.5057,1,s4,0.1546,3.3692,0.9932
87,0,1.4946,1.1498,0,s4,0.9186,1.4946,1.0362
88,0,1.4583,1.1252,0,s4,1.4583,1.1688,0.7486
89,0,2.5029,1.8953,0,s4,2.3617,2.5029,0.8212
90,0,1.1188,0.5265,0,s4,1.1188,0.2584,0.2023
91,0,0.3244,0.1763,0,s4,0.185,0.0195,0.3244
92,0,0.8641,0.5534,0,s4,0.8641,0.1083,0.6878
93,0,1.9485,1.5326,0,s4,1.5432,1.1061,1.9485
94,0,1.0883,0.6983,0,s4,1.0883,0.32,0.6867
95,0,0.7966,0.5672,0,s4,0.5245,0.3804,0.7966
96,0,1.1411,0.5531,0,s4,0.185,1.1411,0.3331
97,0,1.1412,0.6532,0,s4,0.0697,1.1412,0.7486
98,0,1.1345,0.8804,0,s4,0.4397,1.1345,1.0671
99,0,0.8174,0.6247,0,s4,0.3548,0.8174,0.7019
100,0,1.642,0.9128,0,s4,0.2395,1.642,0.8569
101,0,1.4022,0.9585,0,s4,0.6094,0.864,1.4022
102,0,0.6946,0.3337,0,s4,0.2699,0.0366,0.6946
103,0,1.9745,1.1874,0,s4,0.6943,1.9745,0.8935
104,0,0.9812,0.6675,0,s4,0.5245,0.4967,0.9812
105,0,2.3617,1.1719,0,s4,2.3617,0.2533,0.9008
106,0,0.949,0.4084,0,s4,0.949,0.0143,0.2619
107,0,1.4583,1.0461,0,s4,1.4583,0.9315,0.7486
108,0,1.2885,0.9252,0,s4,1.2885,1.0357,0.4513
109,0,0.579,0.5213,0,s4,0.579,0.4342,0.5507
110,0,0.988,0.5334,0,s4,0.4092,0.2031,0.988
111,0,1.4583,0.8092,0,s4,1.4583,0.2207,0.7486
112,0,1.1512,0.6199,0,s4,0.4092,0.2994,1.1512
113,0,1.5438,0.9854,0,s4,0.2699,1.1424,1.5438
114,0,0.6315,0.4539,0,s4,0.4092,0.6315,0.321
115,0,1.1188,0.696,0,s4,1.1188,0.7714,0.1977
116,0,1.5438,0.9772,0,s4,0.2699,1.1179,1.5438
117,0,0.9199,0.6169,0,s4,0.2395,0.9199,0.6914
118,0,1.0093,0.367,0,s4,0.0152,0.0766,1.0093
119,0,1.2885,0.9173,0,s4,1.2885,0.7148,0.7486
120,0,1.9308,1.0078,0,s4,0.185,1.9308,0.9077
121,0,1.4987,0.9505,0,s4,0.3548,0.9981,1.4987
122,0,1.9485,1.4598,0,s4,1.2885,1.1425,1.9485
123,0,1.0531,0.4269,0,s4,0.0697,0.1578,1.0531
124,0,0.8641,0.553,0,s4,0.8641,0.3156,0.4793
125,0,1.3478,0.5176,0,s4,0.1001,0.1049,1.3478
126,0,1.0315,0.9267,0,s4,0.8641,0.8845,1.0315
127,0,1.9485,1.4881,0,s4,1.3734,1.1425,1.9485
128,0,1.4368,0.6973,0,s4,0.185,1.4368,0.4702
129,0,1.4583,0.8364,0,s4,1.4583,0.3022,0.7486
130,0,0.6639,0.502,0,s4,0.6639,0.3545,0.4875
131,0,0.949,0.6359,0,s4,0.949,0.8686,0.0901
132,0,1.176,0.5131,0,s4,0.185,0.1782,1.176
133,0,1.5479,0.8014,0,s4,0.6943,0.162,1.5479
134,0,0.9932,0.4116,0,s4,0.1546,0.0871,0.9932
135,0,0.7179,0.5148,0,s4,0.6943,0.1321,0.7179
136,0,0.7488,0.3239,0,s4,0.7488,0.1313,0.0917
137,0,1.3729,0.8984,0,s4,0.2395,1.3729,1.0827
138,0,1.5874,1.1897,0,s4,0.7488,1.5874,1.233
139,0,1.2892,0.8303,0,s4,0.6639,0.5378,1.2892
140,0,0.2929,0.1801,0,s4,0.0152,0.2322,0.2929
141,0,0.9567,0.5302,0,s4,0.3548,0.9567,0.2792
142,0,1.1147,0.8506,0,s4,0.3548,1.1147,1.0822
143,0,1.6955,1.2314,0,s4,0.9186,1.0802,1.6955
144,0,1.1079,0.5843,0,s4,0.2699,1.1079,0.3751
145,0,0.6129,0.427,0,s4,0.4092,0.6129,0.2588
146,0,0.8602,0.6034,0,s4,0.4941,0.8602,0.4558
147,0,0.9504,0.6534,0,s4,0.8337,0.9504,0.1762
148,0,1.6486,1.057,0,s4,0.4092,1.1131,1.6486
149,0,1.2963,0.875,0,s4,0.2699,1.0588,1.2963
150,0,0.6067,0.3859,0,s4,0.1546,0.3965,0.6067
151,0,1.811,1.3236,0,s4,0.6943,1.811,1.4656
152,0,1.5981,1.1598,0,s4,0.8337,1.5981,1.0475
153,0,1.0339,0.7533,0,s4,1.0339,0.9318,0.2941
154,0,1.1732,0.7015,0,s4,1.1732,0.236,0.6954
155,0,1.4577,0.8544,0,s4,0.579,1.4577,0.5264
156,0,1.9485,1.5447,0,s4,1.5432,1.1425,1.9485
157,0,1.3327,0.7115,0,s4,0.3243,0.4774,1.3327
158,0,2.6163,1.0703,0,s4,2.6163,0.2284,0.3663
159,0,1.0339,0.6814,0,s4,1.0339,0.8003,0.2101
163,0,1.4583,1.0812,0,s4,1.4583,1.0366,0.7486
164,0,1.9158,1.6996,0,s4,1.6826,1.9158,1.5004
165,0,1.0883,0.7652,0,s4,1.0883,0.5562,0.6512
166,0,0.579,0.3547,0,s4,0.579,0.3121,0.173
167,0,0.8423,0.7284,0,s4,0.7792,0.5638,0.8423
168,0,0.4787,0.3504,0,s4,0.2699,0.4787,0.3027
169,0,0.805,0.3344,0,s4,0.0152,0.183,0.805
170,0,1.2053,0.9234,0,s4,0.5245,1.0404,1.2053
171,0,1.457,1.1916,0,s4,1.0035,1.1144,1.457
172,0,0.949,0.6363,0,s4,0.185,0.949,0.775
173,0,0.673,0.4096,0,s4,0.4092,0.673,0.1467
174,0,0.8737,0.6423,0,s4,0.7488,0.8737,0.3043
175,0,0.7283,0.4539,0,s4,0.0697,0.7283,0.5638
176,0,0.6479,0.4471,0,s4,0.3243,0.6479,0.3692
177,0,1.3477,1.2463,0,s4,1.343,1.0483,1.3477
178,0,1.0334,0.5643,0,s4,0.3548,1.0334,0.3047
179,0,0.6788,0.3621,0,s4,0.1001,0.6788,0.3073
180,0,3.4208,2.2051,1,s4,1.2581,3.4208,1.9363
181,0,3.5715,1.9694,1,s4,0.7792,3.5715,1.5575
182,0,1.6826,0.8869,0,s4,1.6826,0.2026,0.7756
183,0,0.4898,0.2999,0,s4,0.0152,0.4898,0.3946
184,0,1.1503,0.8375,0,s4,0.3548,1.1503,1.0074
185,0,1.0089,0.6387,0,s4,0.2395,1.0089,0.6677
186,0,0.8641,0.3537,0,s4,0.8641,0.1564,0.0406
187,0,0.6826,0.4833,0,s4,0.5245,0.6826,0.2428
188,0,2.2768,1.2008,0,s4,2.2768,0.3033,1.0222
189,0,1.9485,1.6673,0,s4,1.5432,1.5101,1.9485
190,0,0.5832,0.4594,0,s4,0.2699,0.5832,0.5251
191,0,1.6826,0.8063,0,s4,1.6826,0.385,0.3512
192,0,1.1133,0.785,0,s4,0.6639,0.5778,1.1133
193,0,1.9485,1.5447,0,s4,1.5432,1.1425,1.9485
194,0,0.8337,0.5559,0,s4,0.8337,0.4898,0.3442
195,0,0.8342,0.522,0,s4,0.1001,0.8342,0.6316
196,0,0.5745,0.536,0,s4,0.5245,0.5089,0.5745
197,0,1.2037,0.7094,0,s4,1.2037,0.6209,0.3035
198,0,1.0585,0.8402,0,s4,0.4092,1.0528,1.0585
199,0,1.5172,0.9262,0,s4,0.3243,0.9372,1.5172
200,0,0.9186,0.5939,0,s4,0.9186,0.5177,0.3455
201,0,1.1188,0.6983,0,s4,1.1188,0.5294,0.4467
202,0,2.0221,0.8462,0,s4,2.0221,0.3322,0.1842
203,0,1.5128,0.8091,0,s4,1.5128,0.8255,0.0891
204,0,1.343,0.9482,0,s4,1.343,1.0538,0.4477
205,0,1.1803,0.8064,0,s4,0.185,1.054,1.1803
206,0,1.2385,1.1383,0,s4,1.0339,1.1425,1.2385
207,0,1.9485,1.375,0,s4,1.0339,1.1425,1.9485
208,0,1.343,0.959,0,s4,1.343,0.3557,1.1783
209,0,0.7614,0.3121,0,s4,0.1001,0.0749,0.7614
211,0,0.8641,0.5221,0,s4,0.8641,0.6616,0.0406
212,0,1.2316,1.0014,0,s4,1.0883,0.6844,1.2316
213,0,0.8448,0.4966,0,s4,0.2699,0.8448,0.3751
214,0,1.1297,0.8982,0,s4,0.5245,1.0403,1.1297
215,0,2.1638,1.6626,0,s4,1.5977,2.1638,1.2263
216,0,0.5308,0.378,0,s4,0.3548,0.2485,0.5308
217,0,0.7044,0.5003,0,s4,0.4397,0.7044,0.3567
218,0,0.8849,0.6122,0,s4,0.1001,0.8849,0.8516
219,0,1.2098,0.8323,0,s4,0.949,1.2098,0.3381
220,0,0.8337,0.4127,0,s4,0.8337,0.0447,0.3596
221,0,0.3751,0.2999,0,s4,0.2699,0.2548,0.3751
222,0,0.9203,0.4222,0,s4,0.0152,0.3312,0.9203
223,0,1.0035,0.5528,0,s4,1.0035,0.2433,0.4116
224,0,1.8383,1.0554,0,s4,1.0339,1.8383,0.2941
225,0,1.0883,0.5476,0,s4,1.0883,0.1479,0.4065
226,0,1.3478,0.5572,0,s4,0.1001,0.2236,1.3478
227,0,1.2581,0.6315,0,s4,1.2581,0.0174,0.619
228,0,1.5093,0.768,0,s4,0.2699,1.5093,0.5248
229,0,0.8118,0.5024,0,s4,0.4092,0.2861,0.8118
230,0,1.1188,0.5344,0,s4,1.1188,0.2866,0.1977
231,0,0.8707,0.7666,0,s4,0.579,0.8707,0.8502
232,0,1.1519,0.7408,0,s4,0.2395,0.8309,1.1519
233,0,1.4951,0.8497,0,s4,0.4092,0.6447,1.4951
234,0,0.627,0.3339,0,s4,0.3548,0.0198,0.627
235,0,0.5398,0.492,0,s4,0.4941,0.5398,0.4421
236,0,0.4406,0.1943,0,s4,0.1001,0.0423,0.4406
237,0,0.6634,0.365,0,s4,0.3548,0.6634,0.0769
238,0,1.2022,0.7718,0,s4,0.6639,0.4492,1.2022
239,0,1.0883,0.6431,0,s4,1.0883,0.1113,0.7296
240,0,1.1192,0.8743,0,s4,0.4397,1.0641,1.1192
241,0,1.364,0.6728,0,s4,0.1546,0.4997,1.364
242,0,0.7792,0.5228,0,s4,0.7792,0.1327,0.6564
243,0,0.7986,0.5602,0,s4,0.4941,0.3878,0.7986
244,0,0.9812,0.6994,0,s4,0.5245,0.5926,0.9812
245,0,0.5562,0.3906,0,s4,0.185,0.4307,0.5562
246,0,0.3929,0.2442,0,s4,0.3243,0.0154,0.3929
247,0,1.5024,0.9062,0,s4,0.4397,1.5024,0.7764
248,0,0.5786,0.2914,0,s4,0.1546,0.5786,0.1409
249,0,1.6486,1.0353,0,s4,0.4092,1.048,1.6486
250,0,1.0883,0.9907,0,s4,1.0883,0.8874,0.9963
251,0,1.7675,0.9194,0,s4,1.7675,0.6966,0.2942
252,0,0.5806,0.3526,0,s4,0.3243,0.1528,0.5806
253,0,1.4279,1.0762,0,s4,1.4279,0.8413,0.9595
254,0,2.0221,1.2,0,s4,2.0221,0.7235,0.8543
255,0,1.2113,0.7632,0,s4,0.1001,0.9783,1.2113
256,0,1.8523,1.3134,0,s4,1.8523,1.1299,0.9581
257,0,1.4583,1.1487,0,s4,1.4583,1.2392,0.7486
258,0,2.3188,1.6026,0,s4,0.7488,2.3188,1.7401
259,0,0.9186,0.5353,0,s4,0.9186,0.5254,0.162
260,0,0.9334,0.4139,0,s4,0.2699,0.9334,0.0384
261,0,2.4412,1.3663,0,s4,0.2699,2.4412,1.3879
262,0,1.0105,0.8113,0,s4,0.8337,1.0105,0.5897
263,0,0.8425,0.6848,0,s4,0.7488,0.463,0.8425
264,0,1.9485,1.5447,0,s4,1.5432,1.1425,1.9485
265,0,1.2037,0.772,0,s4,1.2037,0.99,0.1223
266,0,1.8523,0.6877,0,s4,1.8523,0.1174,0.0933
267,0,1.9485,1.1888,0,s4,1.5432,0.0747,1.9485
268,0,1.1732,0.524,0,s4,1.1732,0.0241,0.3748
269,0,1.343,0.5946,0,s4,1.343,0.2615,0.1793
270,0,4.132,1.8564,1,s4,1.2885,4.132,0.1487
271,0,0.525,0.3138,0,s4,0.3243,0.092,0.525
272,0,1.5128,0.571,0,s4,1.5128,0.1088,0.0914
273,0,3.4083,2.3,1,s4,1.5432,3.4083,1.9485
274,0,0.8039,0.4329,0,s4,0.4941,0.8039,0.0006
276,0,1.2037,0.4487,0,s4,1.2037,0.0201,0.1223
277,0,1.0499,0.471,0,s4,0.3548,0.0083,1.0499
278,0,0.8641,0.5502,0,s4,0.8641,0.5739,0.2127
279,0,0.949,0.8719,0,s4,0.949,0.7286,0.938
280,0,0.7319,0.49,0,s4,0.0152,0.7319,0.7228
281,0,0.4018,0.3343,0,s4,0.3243,0.4018,0.2769
282,0,0.8708,0.5709,0,s4,0.2699,0.5721,0.8708
283,0,1.6048,0.8875,0,s4,0.0697,0.9881,1.6048
284,0,1.2113,0.7522,0,s4,0.1001,0.9453,1.2113
285,0,0.6639,0.3694,0,s4,0.6639,0.3541,0.0903
286,0,0.6913,0.435,0,s4,0.0697,0.6913,0.544
287,0,0.7763,0.3943,0,s4,0.185,0.7763,0.2215
288,0,1.2434,0.683,0,s4,0.185,0.6206,1.2434
289,0,1.4279,0.812,0,s4,1.4279,0.0344,0.9736
290,0,0.9612,0.4414,0,s4,0.1001,0.9612,0.263
291,0,1.9485,1.4598,0,s4,1.2885,1.1425,1.9485
292,0,2.4466,1.1226,0,s4,2.4466,0.0956,0.8257
293,0,0.8935,0.62,0,s4,0.6943,0.2723,0.8935
294,0,1.4279,0.6624,0,s4,1.4279,0.4925,0.0669
295,0,1.0035,0.6933,0,s4,1.0035,0.12,0.9564
296,0,0.3554,0.1288,0,s4,0.0152,0.3554,0.0157
297,0,2.5315,1.2851,0,s4,2.5315,0.27,1.0538
298,0,0.6639,0.4535,0,s4,0.6639,0.4397,0.257
299,0,1.6826,0.6748,0,s4,1.6826,0.2238,0.1179
300,0,1.9372,0.8744,0,s4,1.9372,0.4274,0.2585
301,0,0.9319,0.4968,0,s4,0.3243,0.2343,0.9319
302,0,0.7535,0.3036,0,s4,0.0152,0.7535,0.142
303,0,0.8526,0.491,0,s4,0.0152,0.6052,0.8526
304,0,0.8337,0.5981,0,s4,0.8337,0.5973,0.3632
305,0,1.0035,0.7096,0,s4,1.0035,0.5633,0.562
306,0,1.4279,0.6046,0,s4,1.4279,0.2305,0.1554
307,0,1.9372,1.4098,0,s4,1.9372,0.7323,1.5599
308,0,0.9095,0.3717,0,s4,0.0152,0.9095,0.1903
309,0,3.246,1.381,1,s4,0.1001,3.246,0.7969
310,0,0.6094,0.2915,0,s4,0.6094,0.0184,0.2467
311,0,1.4279,1.198,0,s4,1.4279,0.9684,1.1977
313,0,1.2027,0.8629,0,s4,0.8641,1.2027,0.5219
314,0,2.3617,1.1603,0,s4,2.3617,0.613,0.5063
315,0,1.0339,0.7557,0,s4,1.0339,0.6632,0.57
316,0,1.9485,1.5447,0,s4,1.5432,1.1425,1.9485
317,0,0.579,0.3986,0,s4,0.579,0.1836,0.4332
318,0,0.5328,0.4633,0,s4,0.4092,0.5328,0.448
319,0,0.257,0.0925,0,s4,0.0152,0.257,0.0052
320,0,0.8726,0.5526,0,s4,0.1001,0.8726,0.6851
321,0,1.1087,0.8338,0,s4,0.3548,1.038,1.1087
322,0,1.5612,0.954,0,s4,0.185,1.1157,1.5612
323,0,0.6026,0.4606,0,s4,0.2699,0.5092,0.6026
324,0,0.3671,0.2199,0,s4,0.2395,0.3671,0.0532
325,0,1.1111,1.0088,0,s4,0.8337,1.1111,1.0815
327,0,0.6177,0.3769,0,s4,0.0152,0.6177,0.4978
328,0,1.392,0.8342,0,s4,0.1546,0.9561,1.392
329,0,1.8916,1.2152,0,s4,0.3548,1.8916,1.3991
330,0,2.0221,1.2488,0,s4,2.0221,0.6563,1.0679
331,0,1.1651,0.9584,0,s4,0.6943,1.0157,1.1651
332,0,0.8739,0.4188,0,s4,0.2699,0.1126,0.8739
333,0,0.6316,0.3393,0,s4,0.1001,0.2862,0.6316
334,0,1.1277,0.7967,0,s4,0.2395,1.023,1.1277
335,0,1.4211,1.0656,0,s4,0.6943,1.0814,1.4211
336,0,1.6577,1.0918,0,s4,0.4941,1.1237,1.6577
337,0,0.842,0.341,0,s4,0.0697,0.842,0.1113
338,0,2.4089,1.4208,0,s4,0.3548,2.4089,1.4987
339,0,1.0035,0.5026,0,s4,1.0035,0.3582,0.1461
340,0,0.7117,0.5954,0,s4,0.4397,0.6347,0.7117
341,0,1.343,0.8743,0,s4,1.343,0.3369,0.9431
343,0,1.9485,1.2385,0,s4,1.5432,0.2237,1.9485
344,0,0.5625,0.4282,0,s4,0.3548,0.5625,0.3674
345,0,2.0221,0.9793,0,s4,2.0221,0.4541,0.4617
346,0,1.4594,0.6224,0,s4,0.3548,0.053,1.4594
347,0,0.329,0.2392,0,s4,0.185,0.2035,0.329
348,0,1.2885,0.7064,0,s4,1.2885,0.682,0.1487
349,0,0.5761,0.2919,0,s4,0.1546,0.145,0.5761
350,0,1.2885,1.0453,0,s4,1.2885,0.8724,0.975
351,0,1.0671,0.8396,0,s4,0.4397,1.0119,1.0671
352,0,1.1411,0.6103,0,s4,0.4397,1.1411,0.25
353,0,1.3857,1.0906,0,s4,0.7792,1.1069,1.3857
354,0,0.9186,0.7631,0,s4,0.9186,0.5099,0.8608
355,0,1.233,0.7942,0,s4,0.2395,0.9102,1.233
356,0,0.8474,0.5339,0,s4,0.3548,0.3994,0.8474
357,0,0.0157,0.0111,0,s4,0.0152,0.0023,0.0157
358,0,2.1014,0.9746,0,s4,0.3243,2.1014,0.4982
359,0,0.185,0.1328,0,s4,0.185,0.1478,0.0655
360,0,0.5245,0.3419,0,s4,0.5245,0.1749,0.3262
361,0,0.6271,0.2991,0,s4,0.0697,0.6271,0.2005
362,0,1.5885,0.9139,0,s4,0.3548,1.5885,0.7983
363,0,1.1732,1.1221,0,s4,1.1732,1.1197,1.0733
364,0,1.9485,1.3184,0,s4,0.8641,1.1425,1.9485
365,0,0.7223,0.6227,0,s4,0.5245,0.7223,0.6212
366,0,0.579,0.3646,0,s4,0.579,0.2011,0.3137
367,0,0.8641,0.5667,0,s4,0.8641,0.6101,0.226
368,0,1.8183,0.9364,0,s4,0.0152,1.8183,0.9757
369,0,1.1612,0.606,0,s4,0.579,0.0779,1.1612
370,0,0.5928,0.5121,0,s4,0.4397,0.5037,0.5928
371,0,1.577,0.9378,0,s4,0.1001,1.1363,1.577
372,0,0.7697,0.6546,0,s4,0.6943,0.7697,0.4997
373,0,0.5427,0.3251,0,s4,0.3548,0.5427,0.0779
374,0,1.4279,1.2896,0,s4,1.4279,1.38,1.061
375,0,2.1271,1.238,0,s4,0.949,2.1271,0.638
376,0,0.4941,0.2445,0,s4,0.4941,0.0044,0.235
377,0,1.6835,0.8682,0,s4,0.5245,0.3966,1.6835
378,0,0.7488,0.4118,0,s4,0.7488,0.2262,0.2605
379,0,0.8641,0.5756,0,s4,0.8641,0.3835,0.4793
380,0,3.0293,2.1737,1,s4,1.5432,3.0293,1.9485
381,0,0.5477,0.2468,0,s4,0.0152,0.1776,0.5477
382,0,1.627,1.2228,0,s4,1.2037,1.627,0.8376
383,0,0.6943,0.4474,0,s4,0.6943,0.3554,0.2925
384,0,1.6663,1.0867,0,s4,0.579,1.0148,1.6663
385,0,1.3446,1.0733,0,s4,0.949,0.9263,1.3446
386,0,1.2861,0.7981,0,s4,0.3243,0.784,1.2861
387,0,2.4466,1.4772,0,s4,2.4466,0.9224,1.0627
388,0,1.3478,0.8512,0,s4,0.1001,1.1057,1.3478
389,0,1.9485,1.5164,0,s4,1.4583,1.1425,1.9485
390,0,0.4941,0.3433,0,s4,0.4941,0.1787,0.3571
391,0,0.7792,0.576,0,s4,0.7792,0.6283,0.3205
392,0,2.6163,1.4369,0,s4,2.6163,0.7306,0.9638
393,0,1.4473,0.8492,0,s4,0.949,1.4473,0.1513
395,0,1.5893,1.2654,0,s4,1.4583,1.5893,0.7486
396,0,1.2885,0.5873,0,s4,1.2885,0.3246,0.1487
397,0,2.1919,1.2143,0,s4,2.1919,0.5135,0.9376
398,0,1.9485,1.4881,0,s4,1.3734,1.1425,1.9485
399,0,0.523,0.336,0,s4,0.1001,0.523,0.3849
400,0,0.7356,0.3894,0,s4,0.2395,0.1932,0.7356
401,0,1.706,1.0477,0,s4,1.2885,1.706,0.1487
402,0,0.1897,0.0987,0,s4,0.0152,0.0911,0.1897
403,0,2.1919,0.8518,0,s4,2.1919,0.2552,0.1082
405,0,1.8746,1.0982,0,s4,1.3734,1.8746,0.0467
406,0,1.9485,1.5447,0,s4,1.5432,1.1425,1.9485
407,0,0.7736,0.5443,0,s4,0.2395,0.7736,0.6197
408,0,1.343,0.7986,0,s4,1.343,0.7206,0.3323
409,0,1.3446,1.1009,0,s4,0.8641,1.0941,1.3446
410,0,0.6828,0.4715,0,s4,0.1001,0.6828,0.6316
411,0,1.1956,0.7381,0,s4,0.9186,1.1956,0.1001
412,0,1.1732,0.6923,0,s4,1.1732,0.6885,0.2152
413,0,0.6094,0.4025,0,s4,0.6094,0.0812,0.5168
415,0,1.4279,0.7436,0,s4,1.4279,0.7128,0.0901
416,0,0.6094,0.3458,0,s4,0.6094,0.24,0.1881
417,0,1.577,0.9346,0,s4,0.1001,1.1267,1.577
418,0,1.1279,0.9165,0,s4,0.7792,1.1279,0.8423
419,0,1.4659,1.0033,0,s4,0.4941,1.05,1.4659
420,0,1.1419,0.7877,0,s4,0.6639,1.1419,0.5572
421,0,1.1409,0.6877,0,s4,0.4092,1.1409,0.5129
422,0,1.4184,1.2726,0,s4,1.0035,1.4184,1.396
423,0,0.1878,0.1643,0,s4,0.185,0.1201,0.1878
424,0,1.9485,1.0637,0,s4,0.1001,1.1425,1.9485
425,0,1.2963,1.1239,0,s4,0.949,1.1265,1.2963
426,0,0.9513,0.8082,0,s4,0.7488,0.9513,0.7244
427,0,1.142,0.5584,0,s4,0.0152,1.142,0.5179
428,0,1.1297,0.8821,0,s4,0.5245,0.9922,1.1297
