window,label,maxz_s1,anom_s1,maxz_s2,anom_s2,maxz_s3,anom_s3,maxz_s4,anom_s4,maxz_s5,anom_s5,maxz_s6,anom_s6,confidence,flag_count,alert_level,alert_binary,velocity_s4,vel_zscore_s4,vel_alert_s4,accel_s4,velocity_s1,vel_zscore_s1,vel_alert_s1,velocity_s6,vel_zscore_s6,vel_alert_s6,vel_flag_count,enhanced_alert,velocity_only_alert,orig_fusion2,js_divergence,js_alert
61,0,0.2485,0,0.0,0.0,0.7832,0.0,1.2093,0.0,0.0,0.0,0.8135,0,0.0,0,none,0,0.1754,0.0513,0.0,0.2063999999999999,-0.2916,0.1672,0,0.6621,1.2215,0,0,0,0,0,0.397077,0
62,0,0.7644,0,0.0,0.0,1.2716,0.0,2.107,0.0,0.0,0.0,1.3508,0,0.0,0,none,0,0.8977000000000002,0.263,0.0,0.7223000000000002,0.5159,0.2959,0,0.5373,0.9912,0,0,0,0,0,0.419625,0
63,0,0.6412,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,1.0327,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-0.1231999999999999,0.0706,0,-0.3181,0.5868,0,0,0,0,0,0.43839,0
64,0,0.1831,0,0.0,0.0,1.2656,0.0,1.267,0.0,0.0,0.0,0.7874,0,0.0,0,none,0,-0.8400000000000003,0.2461,0.0,-1.7377000000000005,-0.4580999999999999,0.2627,0,-0.2452999999999999,0.4525,0,0,0,0,0,0.365782,0
65,0,0.6707,0,0.0,0.0,1.1257,0.0,0.8777,0.0,0.0,0.0,0.4608,0,0.0,0,none,0,-0.3892999999999998,0.114,0.0,0.4507000000000004,0.4875999999999999,0.2797,0,-0.3266,0.6025,0,0,0,0,0,0.365782,0
66,0,0.559,0,0.0,0.0,1.7422,0.0,1.4583,0.0,0.7291,0.0,0.5957,0,0.0,0,none,0,0.5805999999999999,0.1701,0.0,0.9698999999999998,-0.1116999999999999,0.064,0,0.1349,0.2488,0,0,0,0,0,0.365782,0
67,0,0.1642,0,0.0,0.0,1.1955,0.0,0.579,0.0,0.0,0.0,0.7506,0,0.0,0,none,0,-0.8793,0.2576,0.0,-1.4598999999999998,-0.3948,0.2264,0,0.1549,0.2857,0,0,0,0,0,0.365782,0
68,0,0.5862,0,0.0,0.0,1.8107,0.0,1.9485,0.0,0.0,0.0,0.5446,0,0.0,0,none,0,1.3695,0.4013,0.0,2.2488,0.422,0.242,0,-0.206,0.38,0,0,0,0,0,0.395806,0
69,0,0.7988,0,0.0,0.0,1.6475,0.0,1.4583,0.0,0.182,0.0,0.4479,0,0.0,0,none,0,-0.4901999999999999,0.1436,0.0,-1.8597,0.2125999999999999,0.1219,0,-0.0966999999999999,0.1783,0,0,0,0,0,0.457514,1
70,0,0.4717,0,0.0,0.0,0.7921,0.0,0.5173,0.0,0.1863,0.0,0.3259,0,0.0,0,none,0,-0.941,0.2757,0.0,-0.4508,-0.3270999999999999,0.1876,0,-0.122,0.225,0,0,0,0,0,0.507429,1
71,0,0.5696,0,0.0,0.0,0.3038,0.0,0.8745,0.0,0.6379,0.0,0.6813,0,0.0,0,none,0,0.3572000000000001,0.1046,0.0,1.2982,0.0978999999999999,0.0561,0,0.3554,0.6556,0,0,0,0,0,0.499367,1
72,0,0.2335,0,0.0,0.0,0.5415,0.0,0.949,0.0,0.5468,0.0,0.6428,0,0.0,0,none,0,0.0744999999999999,0.0217,0.0,-0.2827000000000002,-0.3360999999999999,0.1928,0,-0.0384999999999999,0.0709,0,0,0,0,0,0.469789,1
73,0,0.6223,0,0.0,0.0,0.5181,0.0,0.7288,0.0,0.5468,0.0,0.9543,0,0.0,0,none,0,-0.2201999999999999,0.0644,0.0,-0.2946999999999998,0.3887999999999999,0.223,0,0.3115,0.5746,0,0,0,0,0,0.479187,1
74,0,0.749,0,0.0,0.0,0.3812,0.0,0.9727,0.0,0.0,0.0,0.4417,0,0.0,0,none,0,0.2439,0.0714,0.0,0.4640999999999999,0.1267,0.0726,0,-0.5126000000000001,0.9457,0,0,0,0,0,0.404003,0
75,0,4.699,1,0.3362,0.0,1.2031,0.0,0.6246,0.0,0.1757,0.0,0.5614,0,0.25,1,low,0,-0.3480999999999999,0.1019,0.0,-0.592,3.95,2.2661,0,0.1197,0.2208,0,0,0,0,0,0.417196,0
76,0,2.0418,0,0.0,0.0,2.0178,0.0,1.9485,0.0,0.2732,0.0,1.4068,0,0.0,0,none,0,1.3239,0.3879,0.0,1.6719999999999997,-2.6572,1.5244,0,0.8454,1.5597,0,0,0,0,0,0.347428,0
77,0,0.8144,0,0.0,0.0,0.7921,0.0,0.9205,0.0,0.9136,0.0,1.4439,0,0.0,0,none,0,-1.028,0.3012,0.0,-2.3519,-1.2273999999999998,0.7041,0,0.0370999999999999,0.0684,0,0,0,0,0,0.424757,0
78,0,2.4832,0,0.0,0.0,0.3736,0.0,0.6943,0.0,1.0045,0.0,1.7778,0,0.0,0,none,0,-0.2261999999999999,0.0662,0.0,0.8018000000000001,1.6688,0.9573,0,0.3339000000000001,0.616,0,0,0,0,0,0.41428,0
79,0,0.3797,0,0.3362,0.0,1.4518,0.0,0.6342,0.0,0.8227,0.0,0.8121,0,0.0,0,none,0,-0.0601,0.0175,0.0,0.1660999999999999,-2.1035,1.2067,0,-0.9657,1.7816,0,0,0,0,0,0.391784,0
80,0,0.4815,0,0.0,0.0,1.0667,0.0,0.9186,0.0,0.6379,0.0,0.9098,0,0.0,0,none,0,0.2844,0.0833,0.0,0.3445,0.1018,0.0583,0,0.0977,0.1802,0,0,0,0,0,0.436095,0
81,0,0.6445,0,0.0,0.0,1.2627,0.0,0.7792,0.0,0.0,0.0,1.0648,0,0.0,0,none,0,-0.1393999999999999,0.0408,0.0,-0.4237999999999999,0.1629999999999999,0.0934,0,0.1549999999999999,0.2859,0,0,0,0,0,0.396364,0
82,0,0.4878,0,0.0,0.0,1.7311,0.0,0.9415,0.0,0.7291,0.0,0.8857,0,0.0,0,none,0,0.1623,0.0475,0.0,0.3016999999999999,-0.1566999999999999,0.0898,0,-0.1790999999999999,0.3303,0,0,0,0,0,0.334116,0
83,0,0.4947,0,0.0,0.0,1.0572,0.0,0.8641,0.0,0.4556,0.0,0.8969,0,0.0,0,none,0,-0.0774,0.0226,0.0,-0.2397,0.0068999999999999,0.0039,0,0.0111999999999999,0.0206,0,0,0,0,0,0.353849,0
84,0,0.6325,0,0.0,0.0,0.907,0.0,0.9077,0.0,0.7291,0.0,0.9545,0,0.0,0,none,0,0.0435999999999999,0.0127,0.0,0.121,0.1377999999999999,0.079,0,0.0575999999999999,0.1062,0,0,0,0,0,0.333676,0
85,0,0.5568,0,0.0,0.0,0.5181,0.0,0.6943,0.0,0.9136,0.0,1.161,0,0.0,0,none,0,-0.2133999999999999,0.0624,0.0,-0.2569999999999999,-0.0756999999999999,0.0434,0,0.2065,0.3809,0,0,0,0,0,0.360904,0
86,0,0.9052,0,0.0,0.0,1.1993,0.0,3.3692,1.0,0.0,0.0,0.6861,0,0.5,1,low,0,2.6749,0.7838,0.0,2.8883,0.3484,0.1998,0,-0.4749,0.8761,0,0,0,0,0,0.278278,0
87,0,0.6792,0,0.0,0.0,0.1218,0.0,1.4946,0.0,0.0,0.0,0.9022,0,0.0,0,none,0,-1.8746000000000005,0.5493,0.0,-4.5495,-0.2259999999999999,0.1296,0,0.2160999999999999,0.3986,0,0,0,0,0,0.290702,0
88,0,0.6388,0,0.0,0.0,1.8107,0.0,1.4583,0.0,0.0,0.0,0.7535,0,0.0,0,none,0,-0.0363,0.0105,0.0,1.8383000000000005,-0.0403999999999999,0.0231,0,-0.1487,0.2743,0,0,0,0,0,0.345948,0
89,0,1.8352,0,0.0,0.0,2.0178,0.0,2.5029,0.0,0.0,0.0,0.6184,0,0.0,0,none,0,1.0446,0.306,0.0,1.0809,1.1964,0.6863,0,-0.1351,0.2492,0,0,0,0,0,0.437094,0
90,0,0.6783,0,0.0,0.0,1.5367,0.0,1.1188,0.0,0.0,0.0,0.8693,0,0.0,0,none,0,-1.3841,0.4055,0.0,-2.4287,-1.1568999999999998,0.6637,0,0.2509,0.4628,0,0,0,0,0,0.437094,0
91,0,0.6389,0,0.0,0.0,0.8043,0.0,0.3244,0.0,0.6379,0.0,0.7979,0,0.0,0,none,0,-0.7944,0.2327,0.0,0.5896999999999999,-0.0393999999999999,0.0225,0,-0.0713999999999999,0.1316,0,0,0,0,0,0.511254,1
92,0,0.6999,0,0.0,0.0,1.3312,0.0,0.8641,0.0,0.0,0.0,0.6183,0,0.0,0,none,0,0.5397,0.1581,0.0,1.3340999999999998,0.0609999999999999,0.0349,0,-0.1796000000000001,0.3313,0,0,0,0,0,0.445889,0
93,0,0.6829,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,0.6536,0,0.0,0,none,0,1.0844,0.3177,0.0,0.5447000000000001,-0.017,0.0097,0,0.0353,0.065,0,0,0,0,0,0.497758,1
94,0,0.5567,0,0.0,0.0,1.0273,0.0,1.0883,0.0,0.7291,0.0,0.7616,0,0.0,0,none,0,-0.8601999999999999,0.252,0.0,-1.9446,-0.1261999999999999,0.0723,0,0.1080000000000001,0.1992,0,0,0,0,0,0.494333,1
95,0,0.8933,0,0.0,0.0,0.4517,0.0,0.7966,0.0,0.3644,0.0,0.6511,0,0.0,0,none,0,-0.2917,0.0854,0.0,0.5684999999999998,0.3366,0.193,0,-0.1105,0.2038,0,0,0,0,0,0.432466,0
96,0,2.1374,0,0.0,0.0,1.2031,0.0,1.1411,0.0,0.3644,0.0,0.7485,0,0.0,0,none,0,0.3445,0.1009,0.0,0.6362000000000001,1.2441,0.7137,0,0.0974,0.1796,0,0,0,0,0,0.4332,0
97,0,2.2797,0,0.0,0.0,2.0178,0.0,1.1412,0.0,0.6379,0.0,0.8785,0,0.0,0,none,0,9.9999999999989e-05,-0.0001,0.0,-0.3444,0.1423000000000001,0.0816,0,0.1299999999999999,0.2398,0,0,0,0,0,0.432466,0
98,0,1.0626,0,0.0,0.0,0.9976,0.0,1.1345,0.0,0.2732,0.0,0.6184,0,0.0,0,none,0,-0.0066999999999999,0.0019,0.0,-0.0067999999999999,-1.2171,0.6982,0,-0.2601,0.4798,0,0,0,0,0,0.432466,0
99,0,0.8349,0,0.0,0.0,1.1761,0.0,0.8174,0.0,0.1863,0.0,0.5449,0,0.0,0,none,0,-0.3171,0.0928,0.0,-0.3104000000000001,-0.2277,0.1306,0,-0.0734999999999999,0.1355,0,0,0,0,0,0.440654,0
100,0,0.8884,0,0.0,0.0,0.8462,0.0,1.642,0.0,0.0,0.0,0.8099,0,0.0,0,none,0,0.8245999999999999,0.2416,0.0,1.1417,0.0534999999999999,0.0306,0,0.2649999999999999,0.4888,0,0,0,0,0,0.409039,0
101,0,0.6456,0,0.0,0.0,1.0572,0.0,1.4022,0.0,0.0,0.0,0.6475,0,0.0,0,none,0,-0.2398,0.0702,0.0,-1.0644,-0.2428,0.1392,0,-0.1624,0.2995,0,0,0,0,0,0.409039,0
102,0,0.6361,0,0.0,0.0,0.7147,0.0,0.6946,0.0,0.0,0.0,0.7573,0,0.0,0,none,0,-0.7075999999999999,0.2073,0.0,-0.4677999999999999,-0.0094999999999999,0.0054,0,0.1098,0.2025,0,0,0,0,0,0.394573,0
103,0,0.8533,0,0.0,0.0,0.622,0.0,1.9745,0.0,0.3644,0.0,0.6509,0,0.0,0,none,0,1.2799,0.375,0.0,1.9875,0.2171999999999999,0.1245,0,-0.1063999999999999,0.1962,0,0,0,0,0,0.409039,0
