window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_dns_flow_count,z_dns_pkt_entropy,z_dns_byte_entropy
120,0,1.3256,1.0349,0,s3,0.7147,1.0644,1.3256
121,0,0.9202,0.7703,0,s3,0.9202,0.5417,0.8491
122,0,1.6052,1.4364,0,s3,1.6052,1.2287,1.4754
123,0,1.0204,0.758,0,s3,0.2353,1.0182,1.0204
124,0,1.379,1.2148,0,s3,1.1942,1.379,1.0711
125,0,1.3507,0.8931,0,s3,0.3723,0.9564,1.3507
126,0,0.9016,0.7442,0,s3,0.5866,0.9016,0.7443
127,0,1.2031,0.7889,0,s3,1.2031,0.5491,0.6144
128,0,0.4583,0.2513,0,s3,0.0387,0.2568,0.4583
129,0,0.6527,0.4484,0,s3,0.5181,0.1744,0.6527
130,0,1.0661,0.4605,0,s3,1.0661,0.1252,0.1902
131,0,1.3997,0.9201,0,s3,1.3997,0.7543,0.6063
132,0,1.3256,0.9274,0,s3,0.5778,0.8788,1.3256
133,0,1.3708,1.0827,0,s3,0.5093,1.368,1.3708
134,0,0.5093,0.2862,0,s3,0.5093,0.296,0.0532
135,0,0.6921,0.5951,0,s3,0.5778,0.5153,0.6921
136,0,0.8215,0.5041,0,s3,0.1072,0.8215,0.5836
137,0,0.667,0.4591,0,s3,0.0983,0.6119,0.667
138,0,0.6817,0.3403,0,s3,0.2442,0.6817,0.095
139,0,0.6306,0.4517,0,s3,0.2442,0.6306,0.4803
140,0,0.7449,0.5776,0,s3,0.3038,0.7449,0.6841
141,0,1.2031,0.6085,0,s3,1.2031,0.5491,0.0733
142,0,1.0661,0.6575,0,s3,1.0661,0.1795,0.7268
143,0,1.0661,0.5046,0,s3,1.0661,0.1795,0.2683
144,0,0.4583,0.2246,0,s3,0.0387,0.1767,0.4583
145,0,1.2977,1.1457,0,s3,0.8606,1.2787,1.2977
146,0,1.0631,0.8616,0,s3,0.6551,1.0631,0.8666
147,0,0.9291,0.3933,0,s3,0.9291,0.1103,0.1404
148,0,1.1761,1.1075,0,s3,0.9976,1.1488,1.1761
149,0,1.2716,0.8892,0,s3,1.2716,0.6691,0.7268
150,0,1.1449,0.8349,0,s3,0.2442,1.1155,1.1449
151,0,1.2698,1.2148,0,s3,1.1257,1.2488,1.2698
152,0,0.9616,0.6139,0,s3,0.1072,0.7729,0.9616
153,0,1.4682,0.996,0,s3,1.4682,0.7001,0.8198
154,0,0.6551,0.3676,0,s3,0.6551,0.1795,0.2683
155,0,1.0509,0.7292,0,s3,0.1668,1.0509,0.9698
156,0,1.6737,0.7461,0,s3,1.6737,0.3873,0.1772
157,0,0.3038,0.2025,0,s3,0.3038,0.1006,0.2032
159,0,1.4682,1.338,0,s3,1.4682,1.362,1.1839
160,0,1.9476,1.2989,0,s3,1.9476,0.9832,0.9659
161,0,1.7422,1.189,0,s3,1.7422,0.8489,0.9758
162,0,1.8107,1.1836,0,s3,1.8107,0.8061,0.9341
163,0,1.6737,1.3448,0,s3,1.6737,1.1364,1.2243
164,0,1.3854,1.1604,0,s3,0.7236,1.3723,1.3854
165,0,0.2442,0.1474,0,s3,0.2442,0.0452,0.1527
166,0,0.7211,0.4215,0,s3,0.1072,0.4363,0.7211
167,0,1.2976,1.1751,0,s3,0.9887,1.2976,1.2391
168,0,0.7832,0.7114,0,s3,0.7832,0.6889,0.662
169,0,1.4726,1.0982,0,s3,0.4408,1.4726,1.3811
170,0,0.6306,0.4007,0,s3,0.2442,0.6306,0.3274
172,0,1.1346,1.0297,0,s3,1.1346,0.9575,0.9969
173,0,0.8606,0.462,0,s3,0.8606,0.2195,0.3058
174,0,0.6265,0.5917,0,s3,0.5866,0.5619,0.6265
175,0,0.8606,0.3601,0,s3,0.8606,0.2195,0.0001
176,0,0.5866,0.3087,0,s3,0.5866,0.258,0.0814
177,0,1.1761,1.1075,0,s3,0.9976,1.1488,1.1761
178,0,1.0661,0.4644,0,s3,1.0661,0.31,0.0171
179,0,0.7121,0.4741,0,s3,0.0983,0.6119,0.7121
180,0,1.2423,0.9477,0,s3,0.3812,1.2195,1.2423
181,0,1.2627,0.6013,0,s3,1.2627,0.2632,0.2779
182,0,1.5263,0.8554,0,s3,0.7236,1.5263,0.3164
183,0,0.989,0.7181,0,s3,0.5093,0.989,0.656
184,0,0.3956,0.3452,0,s3,0.3038,0.3956,0.3362
185,0,1.2787,0.8893,0,s3,0.2442,1.2787,1.1449
186,0,0.8517,0.6422,0,s3,0.8517,0.4993,0.5756
187,0,0.5778,0.553,0,s3,0.5778,0.5153,0.5658
189,0,1.6737,0.6111,0,s3,1.6737,0.15,0.0095
190,0,0.2338,0.1466,0,s3,0.1072,0.0988,0.2338
191,0,0.9291,0.4143,0,s3,0.9291,0.1103,0.2034
192,0,0.7142,0.4894,0,s3,0.0983,0.6557,0.7142
193,0,1.7422,1.0012,0,s3,1.7422,0.4947,0.7668
194,0,1.264,0.9508,0,s3,0.4497,1.1388,1.264
195,0,0.3812,0.2956,0,s3,0.3812,0.258,0.2475
196,0,1.1539,0.7544,0,s3,0.1757,0.9336,1.1539
197,0,0.9976,0.8456,0,s3,0.9976,0.8465,0.6926
198,0,1.1346,0.61,0,s3,1.1346,0.5918,0.1035
199,0,0.3742,0.2432,0,s3,0.0298,0.3742,0.3255
200,0,0.6638,0.4518,0,s3,0.1072,0.6638,0.5843
201,0,1.5367,0.578,0,s3,1.5367,0.1526,0.0446
202,0,1.1346,0.4854,0,s3,1.1346,0.2174,0.1042
203,0,0.7236,0.3616,0,s3,0.7236,0.1722,0.189
204,0,1.2716,0.8892,0,s3,1.2716,0.6691,0.7268
205,0,0.7221,0.609,0,s3,0.4408,0.664,0.7221
206,0,1.4682,1.0835,0,s3,1.4682,0.8686,0.9137
207,0,1.2627,0.7046,0,s3,1.2627,0.4878,0.3632
208,0,0.7252,0.6759,0,s3,0.7236,0.7252,0.579
209,0,1.2541,1.0364,0,s3,0.7147,1.1403,1.2541
210,0,1.8107,0.8797,0,s3,1.8107,0.015,0.8133
211,0,1.3312,1.0399,0,s3,1.3312,0.7026,1.0858
212,0,0.8606,0.6922,0,s3,0.8606,0.6796,0.5363
213,0,0.5866,0.4458,0,s3,0.5866,0.336,0.4148
214,0,0.2353,0.1143,0,s3,0.2353,0.0038,0.1037
215,0,1.3448,1.1553,0,s3,0.7921,1.329,1.3448
216,0,0.8517,0.4669,0,s3,0.8517,0.2516,0.2973
217,0,0.9887,0.4485,0,s3,0.9887,0.2123,0.1446
218,0,1.2541,1.067,0,s3,0.7147,1.2321,1.2541
219,0,1.3997,1.0593,0,s3,1.3997,0.8612,0.917
220,0,1.152,0.5987,0,s3,0.1072,0.5368,1.152
221,0,0.8517,0.8204,0,s3,0.8517,0.8369,0.7725
222,0,0.8378,0.7038,0,s3,0.6463,0.6272,0.8378
223,0,0.5343,0.3912,0,s3,0.1757,0.4635,0.5343
224,0,1.4682,0.8425,0,s3,1.4682,0.5722,0.4872
225,0,1.1471,0.8691,0,s3,0.3812,1.0789,1.1471
226,0,1.0977,0.8501,0,s3,0.3723,1.0804,1.0977
227,0,0.9291,0.4643,0,s3,0.9291,0.0467,0.4172
228,0,0.5093,0.3249,0,s3,0.5093,0.1372,0.3283
229,0,1.0844,0.7674,0,s3,0.1668,1.0509,1.0844
230,0,1.3997,0.595,0,s3,1.3997,0.0833,0.3021
231,0,0.7156,0.4873,0,s3,0.3812,0.3652,0.7156
232,0,0.5284,0.3653,0,s3,0.3812,0.5284,0.1863
233,0,1.526,1.1432,0,s3,0.3812,1.5224,1.526
234,0,0.4978,0.3006,0,s3,0.0298,0.3742,0.4978
235,0,1.0661,0.6133,0,s3,1.0661,0.1252,0.6487
236,0,0.7737,0.4659,0,s3,0.1072,0.5169,0.7737
237,0,0.4682,0.3655,0,s3,0.2353,0.393,0.4682
238,0,0.5343,0.3912,0,s3,0.1757,0.4635,0.5343
239,0,1.8856,1.3062,0,s3,0.2442,1.8856,1.7888
240,0,1.7301,1.4113,0,s3,0.7832,1.7301,1.7205
241,0,0.4408,0.2018,0,s3,0.4408,0.0495,0.115
242,0,1.1257,0.7617,0,s3,1.1257,0.5844,0.5751
243,0,1.6508,1.1546,0,s3,0.1668,1.6508,1.6462
244,0,0.9887,0.6042,0,s3,0.9887,0.2383,0.5856
245,0,0.6463,0.3323,0,s3,0.6463,0.0407,0.3099
246,0,1.6724,1.2142,0,s3,0.3038,1.6724,1.6664
247,0,0.7832,0.5111,0,s3,0.7832,0.4379,0.3121
248,0,0.5463,0.4367,0,s3,0.2353,0.5284,0.5463
249,0,0.8606,0.6804,0,s3,0.8606,0.7596,0.4209
250,0,1.0856,0.9766,0,s3,0.9976,0.8465,1.0856
251,0,0.7921,0.4298,0,s3,0.7921,0.2894,0.208
252,0,1.4131,0.9587,0,s3,0.3723,1.0907,1.4131
253,0,1.1346,0.4854,0,s3,1.1346,0.2174,0.1042
254,0,1.2031,0.9678,0,s3,1.2031,0.8263,0.874
255,0,1.1145,0.7682,0,s3,0.3127,0.8775,1.1145
256,0,0.9976,0.5793,0,s3,0.9976,0.3305,0.4097
257,0,1.8107,0.9483,0,s3,1.8107,0.4895,0.5446
258,0,0.6739,0.4388,0,s3,0.0298,0.6126,0.6739
259,0,0.595,0.4784,0,s3,0.3812,0.4591,0.595
260,0,0.4408,0.1934,0,s3,0.4408,0.095,0.0445
261,0,0.8534,0.8365,0,s3,0.8517,0.8043,0.8534
262,0,0.2442,0.175,0,s3,0.2442,0.0543,0.2265
263,0,1.626,1.0929,0,s3,0.0298,1.626,1.623
264,0,1.8107,0.7963,0,s3,1.8107,0.2692,0.309
265,0,1.1257,0.6962,0,s3,1.1257,0.5741,0.3888
266,0,0.9291,0.6705,0,s3,0.9291,0.5524,0.5301
267,0,1.8107,0.6559,0,s3,1.8107,0.0538,0.1032
268,0,0.9291,0.7805,0,s3,0.9291,0.781,0.6313
269,0,1.0273,0.8223,0,s3,0.4497,0.9899,1.0273
270,0,1.3997,0.7438,0,s3,1.3997,0.3864,0.4454
271,0,1.07,0.7517,0,s3,0.3812,0.8038,1.07
272,0,1.1072,0.9294,0,s3,1.0661,0.6148,1.1072
273,0,1.7422,0.8771,0,s3,1.7422,0.5275,0.3616
274,0,0.1072,0.0672,0,s3,0.1072,0.0805,0.0139
275,0,1.8792,1.0479,0,s3,1.8792,0.7412,0.5234
276,0,0.9887,0.6625,0,s3,0.9887,0.4641,0.5348
277,0,1.2503,1.0435,0,s3,0.8517,1.2503,1.0284
278,0,0.8298,0.5601,0,s3,0.3038,0.5467,0.8298
279,0,1.0273,0.8223,0,s3,0.4497,0.9899,1.0273
280,0,1.0661,0.5221,0,s3,1.0661,0.31,0.1902
281,0,0.8606,0.6118,0,s3,0.8606,0.6691,0.3058
282,0,0.5093,0.2325,0,s3,0.5093,0.0607,0.1275
283,0,0.9291,0.4631,0,s3,0.9291,0.2569,0.2034
284,0,0.389,0.2415,0,s3,0.0298,0.3057,0.389
286,0,0.9103,0.7251,0,s3,0.4408,0.8243,0.9103
287,0,1.2361,0.8637,0,s3,0.4408,0.9141,1.2361
288,0,0.9786,0.7254,0,s3,0.3723,0.8254,0.9786
289,0,1.2031,0.7009,0,s3,1.2031,0.8263,0.0733
290,0,0.7259,0.6898,0,s3,0.7147,0.7259,0.6289
291,0,1.6832,1.2479,0,s3,0.8517,1.2087,1.6832
293,0,0.9887,0.7461,0,s3,0.9887,0.5935,0.6561
294,0,0.7921,0.6893,0,s3,0.7921,0.5685,0.7074
295,0,1.0273,0.8223,0,s3,0.4497,0.9899,1.0273
296,0,1.5635,1.0873,0,s3,0.1668,1.5315,1.5635
298,0,0.5866,0.467,0,s3,0.5866,0.2537,0.5607
299,0,1.0661,0.5046,0,s3,1.0661,0.1795,0.2683
300,0,1.2716,0.7695,0,s3,1.2716,0.31,0.7268
301,0,0.7802,0.5607,0,s3,0.1757,0.7261,0.7802
302,0,1.5241,1.1726,0,s3,0.5866,1.5241,1.4071
303,0,1.3191,1.0559,0,s3,0.9291,0.9196,1.3191
304,0,1.1346,0.6812,0,s3,1.1346,0.8049,0.1042
305,0,0.1757,0.1059,0,s3,0.1757,0.1158,0.0263
306,0,1.1569,0.6667,0,s3,0.5866,0.2566,1.1569
307,0,1.2031,0.9678,0,s3,1.2031,0.8263,0.874
308,0,1.2423,1.1303,0,s3,0.9291,1.2195,1.2423
309,0,0.5866,0.4505,0,s3,0.5866,0.3433,0.4217
310,0,0.9372,0.6431,0,s3,0.0983,0.8937,0.9372
311,0,1.1761,0.8777,0,s3,0.5181,0.939,1.1761
312,0,1.8792,1.3714,0,s3,1.8792,1.0914,1.1436
313,0,1.0572,0.7624,0,s3,1.0572,0.6218,0.6081
315,0,1.4682,1.1057,0,s3,1.4682,1.1571,0.6919
316,0,1.6737,0.81,0,s3,1.6737,0.586,0.1702
317,0,0.9249,0.6208,0,s3,0.0983,0.8391,0.9249
318,0,0.8317,0.6177,0,s3,0.2353,0.786,0.8317
319,0,1.2368,1.0322,0,s3,0.6463,1.2136,1.2368
320,0,0.5778,0.4366,0,s3,0.5778,0.4413,0.2907
321,0,0.9388,0.8983,0,s3,0.8606,0.8954,0.9388
322,0,1.2031,0.6085,0,s3,1.2031,0.5491,0.0733
323,0,0.7574,0.5323,0,s3,0.1757,0.7574,0.6638
324,0,0.6306,0.4007,0,s3,0.2442,0.6306,0.3274
325,0,0.5665,0.3683,0,s3,0.0387,0.5665,0.4997
326,0,1.9476,0.6965,0,s3,1.9476,0.1173,0.0245
327,0,0.6463,0.3421,0,s3,0.6463,0.1445,0.2355
328,0,1.7044,1.1314,0,s3,0.5093,1.7044,1.1805
329,0,0.9202,0.759,0,s3,0.9202,0.6458,0.7109
330,0,1.2716,0.8892,0,s3,1.2716,0.6691,0.7268
331,0,1.1257,0.4584,0,s3,1.1257,0.0301,0.2195
332,0,0.7532,0.6875,0,s3,0.5778,0.7532,0.7315
333,0,0.5778,0.4783,0,s3,0.5778,0.2961,0.5609
334,0,0.6551,0.2714,0,s3,0.6551,0.0155,0.1436
336,0,1.1346,0.681,0,s3,1.1346,0.8049,0.1035
337,0,0.9789,0.8397,0,s3,0.7236,0.9789,0.8166
338,0,0.8646,0.5732,0,s3,0.0387,0.8163,0.8646
339,0,0.3812,0.1511,0,s3,0.3812,0.0033,0.0687
340,0,1.1561,1.0788,0,s3,0.9887,1.1561,1.0917
341,0,1.7784,0.7905,0,s3,0.4497,0.1435,1.7784
342,0,1.9476,0.7333,0,s3,1.9476,0.0786,0.1738
343,0,1.5367,1.2174,0,s3,1.5367,1.1481,0.9673
344,0,1.1344,0.8709,0,s3,0.7832,0.6951,1.1344
346,0,0.9202,0.8332,0,s3,0.9202,0.8005,0.7788
347,0,1.1935,0.8453,0,s3,0.1668,1.1935,1.1755
348,0,0.6608,0.5468,0,s3,0.5093,0.4704,0.6608
349,0,1.0167,0.812,0,s3,0.4408,0.9786,1.0167
350,0,1.1439,1.0492,0,s3,0.9202,1.1439,1.0834
351,0,2.0178,1.8055,0,s3,1.4086,2.0178,1.99
352,0,1.3401,0.8345,0,s3,1.3401,0.5491,0.6144
353,0,1.3401,0.8345,0,s3,1.3401,0.5491,0.6144
354,0,0.4497,0.3537,0,s3,0.4497,0.2775,0.334
355,0,0.8813,0.7187,0,s3,0.4408,0.8341,0.8813
356,0,0.2934,0.2052,0,s3,0.2353,0.2934,0.087
357,0,1.7965,1.0806,0,s3,0.2442,1.201,1.7965
358,0,0.2765,0.1916,0,s3,0.0983,0.2765,0.2001
359,0,1.7,1.3005,0,s3,0.5093,1.7,1.6923
360,0,0.4745,0.3014,0,s3,0.2442,0.1856,0.4745
361,0,1.4207,1.1619,0,s3,0.6551,1.41,1.4207
362,0,0.9291,0.3933,0,s3,0.9291,0.1103,0.1404
363,0,1.7084,1.2067,0,s3,0.6551,1.2567,1.7084
364,0,1.5272,1.2265,0,s3,0.9202,1.2322,1.5272
365,0,1.1347,0.7325,0,s3,0.1072,1.1347,0.9556
366,0,1.4987,0.9674,0,s3,0.1757,1.4987,1.2277
367,0,1.4087,1.0973,0,s3,0.5778,1.4087,1.3053
368,0,1.0442,0.7529,0,s3,0.3038,0.9106,1.0442
369,0,0.9821,0.6089,0,s3,0.3127,0.5319,0.9821
370,0,0.9446,0.8393,0,s3,0.8517,0.7216,0.9446
371,0,1.156,0.8852,0,s3,0.7921,1.156,0.7074
372,0,1.268,0.8671,0,s3,0.3038,1.0295,1.268
373,0,0.7955,0.5785,0,s3,0.3812,0.5588,0.7955
374,0,0.5181,0.3716,0,s3,0.5181,0.3713,0.2254
375,0,1.3997,0.5304,0,s3,1.3997,0.0154,0.176
376,0,0.8317,0.583,0,s3,0.0983,0.8191,0.8317
377,0,1.0572,0.3738,0,s3,1.0572,0.0609,0.0032
378,0,1.0681,0.7281,0,s3,0.1072,1.0091,1.0681
379,0,1.4631,1.3684,0,s3,1.3312,1.4631,1.311
380,0,1.8792,1.3856,0,s3,1.8792,1.2113,1.0662
381,0,0.6463,0.3995,0,s3,0.6463,0.4055,0.1467
382,0,1.5367,0.92,0,s3,1.5367,0.5921,0.6312
383,0,0.4345,0.3088,0,s3,0.3812,0.4345,0.1106
384,0,1.2716,0.7695,0,s3,1.2716,0.31,0.7268
385,0,1.2031,0.9678,0,s3,1.2031,0.8263,0.874
386,0,0.7358,0.4932,0,s3,0.0298,0.7358,0.714
388,0,1.0705,0.9232,0,s3,0.7147,1.0705,0.9844
389,0,1.8107,0.9867,0,s3,1.8107,0.5157,0.6337
390,0,0.9372,0.6431,0,s3,0.0983,0.8937,0.9372
391,0,0.9887,0.4251,0,s3,0.9887,0.0928,0.1937
393,0,1.3997,0.8271,0,s3,1.3997,0.6227,0.4589
394,0,1.9476,0.715,0,s3,1.9476,0.1152,0.0821
395,0,1.8107,1.2764,0,s3,1.8107,0.9346,1.084
396,0,1.6052,1.2963,0,s3,1.6052,1.2683,1.0154
397,0,1.3401,0.8345,0,s3,1.3401,0.5491,0.6144
398,0,1.7422,0.8294,0,s3,1.7422,0.3953,0.3506
399,0,1.5701,1.0955,0,s3,0.3723,1.5701,1.3442
400,0,0.3723,0.1991,0,s3,0.3723,0.0774,0.1477
401,0,1.6737,1.4853,0,s3,1.6737,1.4021,1.3801
402,0,0.6388,0.4018,0,s3,0.3723,0.1942,0.6388
404,0,1.9476,1.3294,0,s3,1.9476,1.0197,1.021
405,0,1.6052,0.9765,0,s3,1.6052,0.6625,0.6618
406,0,1.4533,0.8806,0,s3,0.2442,0.9444,1.4533
407,0,0.1757,0.1418,0,s3,0.1757,0.0902,0.1596
408,0,0.9796,0.8122,0,s3,0.5181,0.939,0.9796
409,0,0.7975,0.6498,0,s3,0.3723,0.7796,0.7975
410,0,0.4688,0.2613,0,s3,0.0298,0.4688,0.2854
411,0,0.3812,0.3085,0,s3,0.3812,0.1725,0.3717
412,0,0.4497,0.1849,0,s3,0.4497,0.076,0.029
413,0,1.1257,0.4713,0,s3,1.1257,0.2001,0.0881
414,0,1.7422,1.5546,0,s3,1.7422,1.4622,1.4593
415,0,0.6265,0.5917,0,s3,0.5866,0.5619,0.6265
416,0,1.1134,0.9812,0,s3,0.8517,0.9785,1.1134
417,0,1.5674,1.038,0,s3,0.2442,1.5674,1.3025
418,0,1.2031,0.7889,0,s3,1.2031,0.5491,0.6144
419,0,1.2031,0.6085,0,s3,1.2031,0.5491,0.0733
420,0,0.6551,0.4273,0,s3,0.6551,0.2719,0.3548
422,0,0.9976,0.5507,0,s3,0.9976,0.1101,0.5443
423,0,0.7147,0.3329,0,s3,0.7147,0.1837,0.1003
424,0,0.5866,0.3036,0,s3,0.5866,0.1939,0.1302
