window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_avg_asymmetry,z_asymmetry_entropy,z_down_up_ratio
37,0,0.737,0.3988,0,s6,0.4277,0.737,0.0317
38,0,0.6953,0.4409,0,s6,0.4007,0.6953,0.2268
39,0,0.4517,0.3385,0,s6,0.4517,0.3046,0.2593
40,0,0.7893,0.4752,0,s6,0.3103,0.7893,0.3259
41,0,0.8759,0.4316,0,s6,0.2556,0.8759,0.1633
42,0,1.1069,0.6671,0,s6,1.1069,0.5359,0.3584
43,0,0.822,0.5405,0,s6,0.822,0.5076,0.2918
44,0,0.7669,0.3181,0,s6,0.0241,0.7669,0.1633
45,0,0.8549,0.415,0,s6,0.0641,0.8549,0.3259
46,0,0.5084,0.2762,0,s6,0.2545,0.5084,0.0658
47,0,0.8166,0.4071,0,s6,0.3715,0.8166,0.0333
48,0,0.6835,0.4267,0,s6,0.0437,0.5529,0.6835
49,0,1.0329,0.4671,0,s6,1.0329,0.2702,0.0983
50,0,0.5949,0.3385,0,s6,0.3549,0.5949,0.0658
51,0,0.7967,0.476,0,s6,0.7967,0.5021,0.1292
52,0,0.7922,0.481,0,s6,0.585,0.7922,0.0658
53,0,0.9137,0.3862,0,s6,0.9137,0.0833,0.1617
54,0,0.8872,0.5852,0,s6,0.8872,0.4776,0.3909
55,0,0.7649,0.3243,0,s6,0.1746,0.7649,0.0333
56,0,0.8471,0.5195,0,s6,0.288,0.8471,0.4234
57,0,1.0984,0.687,0,s6,1.0984,0.7359,0.2268
58,0,0.727,0.3318,0,s6,0.0075,0.727,0.2609
59,0,0.3965,0.2335,0,s6,0.0773,0.3965,0.2268
60,0,0.1514,0.0889,0,s6,0.1514,0.0512,0.0642
61,0,0.8135,0.4148,0,s6,0.3975,0.8135,0.0333
62,0,1.3508,0.8912,0,s6,1.3508,0.5743,0.7485
63,0,1.0327,0.6229,0,s6,1.0327,0.5116,0.3243
64,0,0.7874,0.5386,0,s6,0.5351,0.7874,0.2934
65,0,0.4608,0.28,0,s6,0.2499,0.4608,0.1292
66,0,0.5957,0.4027,0,s6,0.3206,0.5957,0.2918
67,0,0.7506,0.4869,0,s6,0.7506,0.4818,0.2284
68,0,0.5446,0.4548,0,s6,0.4956,0.5446,0.3243
69,0,0.4479,0.1784,0,s6,0.0866,0.4479,0.0008
70,0,0.3259,0.291,0,s6,0.3064,0.2407,0.3259
71,0,0.6813,0.265,0,s6,0.0153,0.6813,0.0983
72,0,0.6428,0.3484,0,s6,0.3691,0.6428,0.0333
73,0,0.9543,0.4787,0,s6,0.9543,0.0258,0.4559
74,0,0.4417,0.324,0,s6,0.3344,0.4417,0.1958
75,0,0.5614,0.4699,0,s6,0.36,0.5614,0.4884
76,0,1.4068,1.1385,0,s6,1.4068,1.0978,0.911
77,0,1.4439,0.5707,0,s6,1.4439,0.0399,0.2284
78,0,1.7778,0.6514,0,s6,1.7778,0.1121,0.0642
79,0,0.8121,0.3398,0,s6,0.8121,0.174,0.0333
80,0,0.9098,0.6822,0,s6,0.9098,0.5833,0.5534
81,0,1.0648,0.5764,0,s6,1.0648,0.5027,0.1617
82,0,0.8857,0.5725,0,s6,0.8857,0.5058,0.3259
83,0,0.8969,0.4953,0,s6,0.8969,0.5558,0.0333
84,0,0.9545,0.502,0,s6,0.4206,0.9545,0.1308
85,0,1.161,0.4326,0,s6,1.161,0.1051,0.0317
86,0,0.6861,0.4665,0,s6,0.6861,0.6493,0.0642
87,0,0.9022,0.3972,0,s6,0.126,0.9022,0.1633
88,0,0.7535,0.4906,0,s6,0.3614,0.7535,0.3568
89,0,0.6184,0.5295,0,s6,0.4697,0.5005,0.6184
90,0,0.8693,0.5637,0,s6,0.5949,0.8693,0.2268
91,0,0.7979,0.3795,0,s6,0.2747,0.7979,0.0658
92,0,0.6183,0.2524,0,s6,0.0096,0.6183,0.1292
93,0,0.6536,0.3965,0,s6,0.1465,0.6536,0.3893
94,0,0.7616,0.5637,0,s6,0.636,0.7616,0.2934
95,0,0.6511,0.4243,0,s6,0.4261,0.6511,0.1958
96,0,0.7485,0.5578,0,s6,0.4223,0.5026,0.7485
97,0,0.8785,0.771,0,s6,0.7941,0.6404,0.8785
98,0,0.6184,0.4946,0,s6,0.5459,0.3194,0.6184
99,0,0.5449,0.3761,0,s6,0.5449,0.1276,0.4559
100,0,0.8099,0.4258,0,s6,0.3691,0.8099,0.0983
101,0,0.6475,0.3619,0,s6,0.2115,0.6475,0.2268
102,0,0.7573,0.3992,0,s6,0.376,0.7573,0.0642
103,0,0.6509,0.2669,0,s6,0.118,0.6509,0.0317
104,0,0.5822,0.443,0,s6,0.5525,0.5822,0.1942
105,0,0.8145,0.6877,0,s6,0.8145,0.5327,0.716
106,0,0.557,0.4351,0,s6,0.557,0.4239,0.3243
107,0,0.9048,0.6795,0,s6,0.9048,0.7769,0.3568
108,0,0.5607,0.4954,0,s6,0.5607,0.5362,0.3893
109,0,0.8102,0.571,0,s6,0.3819,0.8102,0.5209
110,0,0.8588,0.4825,0,s6,0.2629,0.8588,0.3259
111,0,0.9717,0.6808,0,s6,0.7138,0.9717,0.3568
112,0,1.0141,0.5446,0,s6,1.0141,0.4239,0.1958
113,0,1.8066,1.1419,0,s6,1.4558,1.8066,0.1633
114,0,0.6621,0.3296,0,s6,0.1959,0.6621,0.1308
115,0,1.1836,0.7246,0,s6,1.1836,0.6009,0.3893
116,0,0.8133,0.5024,0,s6,0.8133,0.2381,0.4559
117,0,0.5209,0.1968,0,s6,0.0509,0.0185,0.5209
118,0,0.9198,0.4127,0,s6,0.2201,0.9198,0.0983
119,0,0.5518,0.4348,0,s6,0.5518,0.4607,0.2918
120,0,0.4375,0.3807,0,s6,0.4128,0.4375,0.2918
121,0,0.6646,0.3165,0,s6,0.0906,0.6646,0.1942
122,0,1.3562,0.7892,0,s6,1.3562,0.6222,0.3893
123,0,0.8949,0.3458,0,s6,0.0117,0.8949,0.1308
124,0,0.6589,0.3857,0,s6,0.2715,0.6589,0.2268
125,0,0.8549,0.3407,0,s6,0.0039,0.8549,0.1633
126,0,0.338,0.2475,0,s6,0.338,0.1112,0.2934
127,0,0.6184,0.3352,0,s6,0.0646,0.3225,0.6184
128,0,0.6069,0.3362,0,s6,0.1407,0.6069,0.2609
129,0,0.3584,0.2207,0,s6,0.2765,0.0272,0.3584
130,0,0.7905,0.4411,0,s6,0.7905,0.0119,0.5209
131,0,0.7563,0.4856,0,s6,0.7563,0.4088,0.2918
132,0,0.7184,0.3328,0,s6,0.1833,0.7184,0.0967
133,0,0.8636,0.7043,0,s6,0.8636,0.7299,0.5193
134,0,0.8559,0.2953,0,s6,0.0292,0.8559,0.0008
135,0,0.8803,0.4219,0,s6,0.2871,0.8803,0.0983
136,0,1.1171,0.711,0,s6,1.1171,0.6251,0.3909
137,0,0.6756,0.4529,0,s6,0.6756,0.6497,0.0333
138,0,0.7325,0.4031,0,s6,0.7325,0.216,0.2609
139,0,0.7403,0.4628,0,s6,0.3547,0.7403,0.2934
140,0,1.2086,0.6521,0,s6,1.2086,0.7161,0.0317
141,0,1.7105,0.7163,0,s6,1.7105,0.3402,0.0983
142,0,1.9081,0.8649,0,s6,1.9081,0.4909,0.1958
143,0,0.5534,0.3214,0,s6,0.3283,0.0826,0.5534
144,0,0.6334,0.4318,0,s6,0.6334,0.3686,0.2934
145,0,0.5729,0.386,0,s6,0.5729,0.2266,0.3584
146,0,1.5069,0.5859,0,s6,1.5069,0.1201,0.1308
147,0,0.8484,0.5005,0,s6,0.8484,0.0347,0.6184
148,0,0.8135,0.5342,0,s6,0.6476,0.1416,0.8135
149,0,1.722,0.96,0,s6,1.722,0.4095,0.7485
150,0,1.3343,0.6333,0,s6,1.3343,0.5322,0.0333
151,0,0.3893,0.2652,0,s6,0.0253,0.3809,0.3893
152,0,0.5613,0.3063,0,s6,0.1943,0.5613,0.1633
153,0,0.5812,0.3538,0,s6,0.1559,0.5812,0.3243
154,0,0.5277,0.4193,0,s6,0.3068,0.5277,0.4234
155,0,0.8669,0.4511,0,s6,0.3556,0.8669,0.1308
156,0,0.9026,0.5829,0,s6,0.4567,0.9026,0.3893
157,0,1.2587,0.586,0,s6,1.2587,0.4336,0.0658
158,0,1.756,0.9126,0,s6,1.756,0.3308,0.6509
159,0,0.9225,0.5423,0,s6,0.5428,0.9225,0.1617
160,0,0.6999,0.554,0,s6,0.5728,0.6999,0.3893
161,0,0.8503,0.5724,0,s6,0.4775,0.8503,0.3893
162,0,0.6894,0.4318,0,s6,0.2493,0.6894,0.3568
163,0,0.5602,0.3473,0,s6,0.1248,0.5602,0.3568
164,0,0.8423,0.5214,0,s6,0.8423,0.6235,0.0983
165,0,0.6036,0.4459,0,s6,0.5058,0.6036,0.2284
166,0,0.702,0.5034,0,s6,0.702,0.4499,0.3584
167,0,1.1361,0.6016,0,s6,1.1361,0.4744,0.1942
168,0,1.2635,0.5679,0,s6,1.2635,0.407,0.0333
169,0,1.8083,0.7444,0,s6,1.8083,0.068,0.3568
170,0,1.9714,0.7589,0,s6,1.9714,0.1745,0.1308
171,0,2.2962,1.3542,0,s6,2.2962,1.4729,0.2934
172,0,3.105,1.5461,1,s6,3.105,1.5326,0.0008
173,0,0.542,0.3074,0,s6,0.542,0.3793,0.0008
174,0,1.7548,0.7091,0,s6,1.7548,0.1116,0.2609
175,0,0.4884,0.2779,0,s6,0.1827,0.1627,0.4884
176,0,0.5226,0.4262,0,s6,0.5226,0.495,0.2609
177,0,1.2177,0.5889,0,s6,1.2177,0.0931,0.4559
178,0,0.9964,0.7188,0,s6,0.9964,0.4439,0.716
179,0,0.8687,0.4676,0,s6,0.8687,0.5332,0.0008
180,0,1.0303,0.5391,0,s6,1.0303,0.3602,0.2268
181,0,0.5765,0.3107,0,s6,0.0638,0.5765,0.2918
182,0,0.82,0.561,0,s6,0.2446,0.82,0.6184
183,0,0.7998,0.4262,0,s6,0.4472,0.7998,0.0317
184,0,0.6508,0.3143,0,s6,0.1938,0.6508,0.0983
185,0,0.8325,0.5422,0,s6,0.8325,0.3708,0.4234
186,0,0.6334,0.4864,0,s6,0.5324,0.6334,0.2934
187,0,1.4681,0.73,0,s6,1.4681,0.7211,0.0008
188,0,0.7534,0.5693,0,s6,0.7534,0.4985,0.4559
189,0,1.8504,0.8916,0,s6,1.8504,0.6628,0.1617
190,0,0.5602,0.4434,0,s6,0.3466,0.5602,0.4234
191,0,0.3259,0.2259,0,s6,0.1448,0.2069,0.3259
192,0,0.6712,0.3425,0,s6,0.1931,0.6712,0.1633
193,0,1.1256,0.6691,0,s6,1.1256,0.8159,0.0658
194,0,0.6509,0.4912,0,s6,0.6004,0.2224,0.6509
195,0,1.121,0.6476,0,s6,1.121,0.1383,0.6835
196,0,0.6289,0.3877,0,s6,0.6289,0.4035,0.1308
197,0,1.2869,0.682,0,s6,1.2869,0.5633,0.1958
198,0,0.4234,0.2316,0,s6,0.2076,0.0638,0.4234
199,0,0.9036,0.386,0,s6,0.0277,0.9036,0.2268
200,0,0.3693,0.2197,0,s6,0.1591,0.3693,0.1308
201,0,1.4122,0.6613,0,s6,1.4122,0.4734,0.0983
202,0,0.858,0.448,0,s6,0.858,0.4526,0.0333
203,0,0.2284,0.1389,0,s6,0.1609,0.0274,0.2284
204,0,0.9768,0.7277,0,s6,0.9768,0.8803,0.3259
205,0,0.6247,0.3309,0,s6,0.6247,0.0097,0.3584
206,0,1.429,0.8027,0,s6,1.429,0.6531,0.3259
207,0,1.4392,0.7148,0,s6,1.4392,0.2492,0.4559
208,0,0.706,0.5748,0,s6,0.706,0.5949,0.4234
209,0,0.5978,0.329,0,s6,0.3251,0.5978,0.0642
210,0,0.8345,0.5805,0,s6,0.7779,0.8345,0.1292
211,0,0.6069,0.3585,0,s6,0.4352,0.6069,0.0333
212,0,0.6184,0.3496,0,s6,0.1041,0.3262,0.6184
213,0,0.5984,0.531,0,s6,0.5062,0.5984,0.4884
214,0,0.8865,0.3786,0,s6,0.151,0.8865,0.0983
215,0,0.7829,0.5393,0,s6,0.5416,0.7829,0.2934
216,0,1.0999,0.5695,0,s6,1.0999,0.4453,0.1633
217,0,0.7898,0.515,0,s6,0.7898,0.7234,0.0317
218,0,0.6359,0.4128,0,s6,0.4068,0.6359,0.1958
219,0,1.155,0.6552,0,s6,1.155,0.4846,0.3259
220,0,0.8076,0.5523,0,s6,0.4259,0.8076,0.4234
221,0,0.745,0.4587,0,s6,0.4352,0.745,0.1958
222,0,0.9075,0.597,0,s6,0.9075,0.6227,0.2609
223,0,0.8947,0.581,0,s6,0.8947,0.555,0.2934
224,0,0.6414,0.3475,0,s6,0.6414,0.3352,0.0658
225,0,1.1819,0.7443,0,s6,1.1819,0.27,0.781
226,0,0.5578,0.2713,0,s6,0.1253,0.5578,0.1308
227,0,1.0589,0.7531,0,s6,1.0589,0.4193,0.781
228,0,0.6116,0.2768,0,s6,0.0556,0.6116,0.1633
229,0,0.7461,0.4648,0,s6,0.4526,0.7461,0.1958
230,0,0.7769,0.4431,0,s6,0.4881,0.7769,0.0642
231,0,0.7899,0.5922,0,s6,0.5634,0.7899,0.4234
232,0,0.5631,0.4004,0,s6,0.2796,0.5631,0.3584
233,0,0.6592,0.4138,0,s6,0.1914,0.6592,0.3909
234,0,1.3024,0.6595,0,s6,1.3024,0.2853,0.3909
235,0,1.1487,0.7823,0,s6,1.1487,0.4171,0.781
236,0,0.6184,0.4667,0,s6,0.4715,0.3103,0.6184
237,0,0.9121,0.4176,0,s6,0.2749,0.9121,0.0658
238,0,0.7009,0.2357,0,s6,0.0055,0.7009,0.0008
239,0,0.5376,0.411,0,s6,0.3696,0.5376,0.3259
240,0,0.642,0.2617,0,s6,0.1423,0.642,0.0008
241,0,0.6222,0.3255,0,s6,0.29,0.6222,0.0642
242,0,0.527,0.3759,0,s6,0.527,0.4715,0.1292
243,0,0.5913,0.3463,0,s6,0.2842,0.5913,0.1633
244,0,0.8197,0.5352,0,s6,0.7542,0.8197,0.0317
245,0,0.8541,0.4811,0,s6,0.5574,0.8541,0.0317
246,0,0.7785,0.3727,0,s6,0.0462,0.7785,0.2934
247,0,0.6048,0.2279,0,s6,0.0146,0.6048,0.0642
248,0,0.6664,0.4255,0,s6,0.5768,0.6664,0.0333
249,0,0.6835,0.4854,0,s6,0.2697,0.5029,0.6835
250,0,1.2602,0.4216,0,s6,1.2602,0.0039,0.0008
251,0,0.2284,0.1398,0,s6,0.081,0.1099,0.2284
252,0,0.5603,0.2307,0,s6,0.0675,0.5603,0.0642
253,0,0.1805,0.1304,0,s6,0.1805,0.0798,0.1308
254,0,0.765,0.5579,0,s6,0.765,0.6802,0.2284
255,0,0.63,0.3951,0,s6,0.63,0.2295,0.3259
256,0,1.4457,0.8018,0,s6,1.4457,0.3738,0.5859
257,0,0.7565,0.4922,0,s6,0.7565,0.656,0.0642
258,0,0.9592,0.5255,0,s6,0.9592,0.5207,0.0967
259,0,0.6479,0.5335,0,s6,0.6479,0.3992,0.5534
260,0,0.665,0.3765,0,s6,0.1385,0.665,0.3259
261,0,0.4723,0.3098,0,s6,0.4723,0.4239,0.0333
262,0,0.4559,0.2743,0,s6,0.2848,0.0822,0.4559
263,0,0.7184,0.4228,0,s6,0.1915,0.7184,0.3584
264,0,0.9544,0.6384,0,s6,0.9544,0.7341,0.2268
265,0,0.8582,0.5295,0,s6,0.8582,0.666,0.0642
266,0,0.4903,0.3918,0,s6,0.3916,0.4903,0.2934
267,0,0.8817,0.5814,0,s6,0.8617,0.8817,0.0008
268,0,1.3959,0.6516,0,s6,1.3959,0.0055,0.5534
269,0,0.6918,0.3579,0,s6,0.1536,0.6918,0.2284
270,0,0.5043,0.3595,0,s6,0.5043,0.4451,0.1292
271,0,0.6509,0.5784,0,s6,0.5882,0.496,0.6509
272,0,1.0896,0.7237,0,s6,1.0896,0.3655,0.716
273,0,0.8944,0.4622,0,s6,0.8944,0.3955,0.0967
274,0,0.7002,0.4042,0,s6,0.0566,0.7002,0.4559
275,0,1.5023,0.8261,0,s6,1.5023,0.9102,0.0658
276,0,1.2267,0.5947,0,s6,1.2267,0.0366,0.5209
277,0,0.9277,0.4948,0,s6,0.4584,0.9277,0.0983
278,0,0.485,0.3359,0,s6,0.485,0.3269,0.1958
279,0,1.1574,0.4968,0,s6,1.1574,0.2347,0.0983
280,0,0.5424,0.4576,0,s6,0.5424,0.4071,0.4234
281,0,0.4234,0.3021,0,s6,0.1971,0.2857,0.4234
282,0,0.5679,0.2561,0,s6,0.0711,0.5679,0.1292
283,0,0.6185,0.384,0,s6,0.6185,0.2726,0.2609
284,0,0.5682,0.3285,0,s6,0.1564,0.5682,0.2609
285,0,2.2351,1.3348,0,s6,2.2351,0.8257,0.9435
286,0,0.8594,0.4058,0,s6,0.3263,0.8594,0.0317
287,0,0.6699,0.3292,0,s6,0.2518,0.6699,0.0658
288,0,1.0435,0.6189,0,s6,1.0435,0.6189,0.1942
289,0,1.5294,0.808,0,s6,1.5294,0.3088,0.5859
290,0,0.6507,0.277,0,s6,0.0187,0.6507,0.1617
291,0,0.7738,0.5581,0,s6,0.7738,0.7713,0.1292
292,0,1.6275,0.6864,0,s6,1.6275,0.0408,0.3909
293,0,0.7637,0.5037,0,s6,0.7637,0.6507,0.0967
294,0,1.3711,0.6451,0,s6,1.3711,0.1733,0.3909
295,0,0.7446,0.4369,0,s6,0.3704,0.7446,0.1958
296,0,0.6479,0.3235,0,s6,0.1918,0.6479,0.1308
297,0,1.3058,0.6577,0,s6,1.3058,0.2765,0.3909
298,0,0.5419,0.3488,0,s6,0.5419,0.276,0.2284
299,0,1.5372,0.6965,0,s6,1.5372,0.1288,0.4234
300,0,1.3364,0.6822,0,s6,1.3364,0.4168,0.2934
301,0,0.5672,0.3224,0,s6,0.3017,0.5672,0.0983
302,0,0.5644,0.4149,0,s6,0.5644,0.4193,0.2609
303,0,0.9867,0.7294,0,s6,0.9867,0.4854,0.716
304,0,1.0335,0.4592,0,s6,1.0335,0.0183,0.3259
305,0,0.8803,0.3271,0,s6,0.8803,0.0678,0.0333
306,0,0.9641,0.4757,0,s6,0.9641,0.3972,0.0658
307,0,0.684,0.4752,0,s6,0.684,0.4481,0.2934
308,0,0.8303,0.3034,0,s6,0.8303,0.0483,0.0317
309,0,0.2498,0.1889,0,s6,0.2498,0.2186,0.0983
310,0,0.7148,0.4916,0,s6,0.7148,0.6958,0.0642
311,0,0.6461,0.4022,0,s6,0.2996,0.6461,0.2609
312,0,0.6827,0.5374,0,s6,0.5402,0.6827,0.3893
313,0,0.5188,0.2618,0,s6,0.0397,0.5188,0.2268
314,0,0.5859,0.3831,0,s6,0.1231,0.4402,0.5859
315,0,0.4613,0.3786,0,s6,0.3828,0.4613,0.2918
316,0,0.6641,0.3965,0,s6,0.1685,0.6641,0.3568
317,0,0.7226,0.4831,0,s6,0.6608,0.7226,0.0658
318,0,0.6156,0.444,0,s6,0.4554,0.6156,0.2609
319,0,0.523,0.3596,0,s6,0.4249,0.523,0.1308
320,0,0.4915,0.367,0,s6,0.4915,0.4786,0.1308
321,0,1.0813,0.4963,0,s6,1.0813,0.3743,0.0333
322,0,2.0791,1.1624,0,s6,2.0791,1.2464,0.1617
323,0,0.2627,0.0921,0,s6,0.0128,0.2627,0.0008
324,0,0.7153,0.4069,0,s6,0.7153,0.3436,0.1617
325,0,0.7913,0.3922,0,s6,0.3536,0.7913,0.0317
326,0,0.799,0.5536,0,s6,0.4724,0.799,0.3893
327,0,0.8406,0.4135,0,s6,0.3017,0.8406,0.0983
328,0,0.7759,0.415,0,s6,0.4034,0.7759,0.0658
329,0,0.7327,0.2739,0,s6,0.0556,0.7327,0.0333
330,0,0.8866,0.7401,0,s6,0.8866,0.6178,0.716
331,0,0.683,0.2739,0,s6,0.1069,0.683,0.0317
332,0,0.8488,0.3556,0,s6,0.1196,0.8488,0.0983
333,0,0.8817,0.3725,0,s6,0.2026,0.8817,0.0333
334,0,0.4574,0.3932,0,s6,0.2988,0.4574,0.4234
335,0,0.7587,0.6083,0,s6,0.3503,0.7587,0.716
336,0,0.8256,0.5645,0,s6,0.8256,0.2495,0.6184
337,0,0.6265,0.3781,0,s6,0.6265,0.3446,0.1633
338,0,0.5517,0.362,0,s6,0.2424,0.5517,0.2918
339,0,0.5985,0.4588,0,s6,0.3221,0.5985,0.4559
340,0,0.7737,0.3658,0,s6,0.0643,0.7737,0.2593
341,0,0.8106,0.616,0,s6,0.7116,0.8106,0.3259
342,0,0.8661,0.6091,0,s6,0.8661,0.572,0.3893
343,0,0.8273,0.5745,0,s6,0.8273,0.5393,0.3568
344,0,0.8264,0.4781,0,s6,0.4463,0.8264,0.1617
345,0,1.4074,0.8512,0,s6,1.4074,0.3003,0.846
346,0,0.7622,0.5641,0,s6,0.7622,0.6059,0.3243
347,0,0.6225,0.4462,0,s6,0.4228,0.6225,0.2934
348,0,1.7175,0.7757,0,s6,1.7175,0.3178,0.2918
349,0,0.6813,0.3279,0,s6,0.204,0.6813,0.0983
350,0,1.1003,0.68,0,s6,1.1003,0.6805,0.2593
351,0,1.4684,0.7923,0,s6,1.4684,0.7127,0.1958
352,0,0.4526,0.3982,0,s6,0.4526,0.3512,0.3909
353,0,1.0863,0.8285,0,s6,1.0863,0.5208,0.8785
354,0,0.4586,0.3569,0,s6,0.1887,0.4586,0.4234
355,0,0.4559,0.3548,0,s6,0.23,0.3786,0.4559
356,0,0.9792,0.5634,0,s6,0.9792,0.5802,0.1308
357,0,1.008,0.5464,0,s6,1.008,0.5655,0.0658
358,0,0.8764,0.4876,0,s6,0.423,0.8764,0.1633
359,0,0.9136,0.5209,0,s6,0.5849,0.9136,0.0642
360,0,0.3615,0.2648,0,s6,0.3615,0.2371,0.1958
361,0,0.8497,0.5149,0,s6,0.8497,0.1091,0.5859
362,0,1.5374,0.8399,0,s6,1.5374,0.364,0.6184
363,0,1.3551,0.7623,0,s6,1.3551,0.6058,0.3259
364,0,0.4555,0.222,0,s6,0.1138,0.4555,0.0967
365,0,0.5154,0.2678,0,s6,0.0921,0.5154,0.1958
366,0,0.7451,0.537,0,s6,0.5401,0.7451,0.3259
367,0,0.9316,0.5016,0,s6,0.5398,0.9316,0.0333
368,0,0.4756,0.282,0,s6,0.3371,0.4756,0.0333
369,0,0.8668,0.3383,0,s6,0.0823,0.8668,0.0658
370,0,0.4653,0.1879,0,s6,0.0342,0.4653,0.0642
371,0,0.4863,0.3194,0,s6,0.4863,0.0161,0.4559
372,0,0.3737,0.3056,0,s6,0.2822,0.3737,0.2609
373,0,0.4657,0.367,0,s6,0.4657,0.4069,0.2284
374,0,0.5707,0.4602,0,s6,0.4841,0.5707,0.3259
375,0,0.5313,0.4629,0,s6,0.5313,0.5007,0.3568
376,0,0.7616,0.5443,0,s6,0.6429,0.7616,0.2284
377,0,0.671,0.4782,0,s6,0.6343,0.671,0.1292
378,0,1.4372,0.6917,0,s6,1.4372,0.4745,0.1633
379,0,0.804,0.5017,0,s6,0.5394,0.804,0.1617
380,0,0.8487,0.509,0,s6,0.2889,0.8487,0.3893
381,0,0.611,0.2829,0,s6,0.2061,0.611,0.0317
382,0,0.9136,0.5031,0,s6,0.304,0.9136,0.2918
383,0,1.2579,0.5684,0,s6,1.2579,0.3166,0.1308
384,0,1.904,1.1581,0,s6,1.904,1.5696,0.0008
385,0,2.1737,1.1066,0,s6,2.1737,1.0168,0.1292
386,0,0.7003,0.2695,0,s6,0.1074,0.7003,0.0008
387,0,0.6451,0.5268,0,s6,0.4145,0.6451,0.5209
388,0,0.7369,0.2714,0,s6,0.0457,0.7369,0.0317
389,0,0.639,0.4879,0,s6,0.5003,0.639,0.3243
390,0,0.76,0.5732,0,s6,0.76,0.6337,0.3259
391,0,0.5093,0.2864,0,s6,0.3491,0.5093,0.0008
392,0,1.3715,0.8033,0,s6,1.3715,0.355,0.6835
393,0,0.6118,0.4557,0,s6,0.3984,0.6118,0.3568
394,0,0.6989,0.5606,0,s6,0.6261,0.6989,0.3568
395,0,0.9365,0.6324,0,s6,0.9365,0.8641,0.0967
396,0,0.9126,0.6313,0,s6,0.7544,0.9126,0.2268
397,0,0.8259,0.6964,0,s6,0.6775,0.8259,0.5859
398,0,0.894,0.6253,0,s6,0.894,0.8203,0.1617
399,0,0.8003,0.5275,0,s6,0.6514,0.8003,0.1308
400,0,0.9225,0.4636,0,s6,0.4041,0.9225,0.0642
401,0,1.3011,0.6357,0,s6,1.3011,0.3791,0.2268
402,0,0.5786,0.3833,0,s6,0.5786,0.278,0.2934
403,0,0.955,0.6242,0,s6,0.955,0.1041,0.8135
404,0,1.2366,0.7857,0,s6,1.2366,0.8936,0.2268
405,0,1.4522,0.7708,0,s6,1.4522,0.6969,0.1633
406,0,1.8248,0.784,0,s6,1.8248,0.3963,0.1308
407,0,0.6172,0.3586,0,s6,0.1017,0.6172,0.3568
408,0,0.6569,0.4079,0,s6,0.0458,0.6569,0.5209
409,0,0.7529,0.4727,0,s6,0.7529,0.5995,0.0658
410,0,1.3161,0.6285,0,s6,1.3161,0.3409,0.2284
411,0,0.4479,0.3817,0,s6,0.3712,0.4479,0.3259
412,0,1.3905,0.7605,0,s6,1.3905,0.2726,0.6184
