window,label,maxz_s1,anom_s1,maxz_s2,anom_s2,maxz_s3,anom_s3,maxz_s4,anom_s4,maxz_s5,anom_s5,maxz_s6,anom_s6,confidence,flag_count,alert_level,alert_binary,iforest_score,iforest_pred,pred_fusion2,pred_fusion3,pred_fusion1
21,0,0.6918,0,0.0,0.0,1.5627,0.0,0.8841,0.0,0.6379,0.0,0.3909,0,0.0,0,none,0,-0.042897582121921074,0,0,0,0
22,0,0.7282,0,0.7618,0.0,0.9196,0.0,0.7792,0.0,0.182,0.0,0.562,0,0.0,0,none,0,-0.05685688699543312,0,0,0,0
23,0,0.8431,0,0.0,0.0,0.1918,0.0,1.2023,0.0,0.0,0.0,0.526,0,0.0,0,none,0,-0.044215028464280826,0,0,0,0
24,0,0.6751,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,0.7127,0,0.0,0,none,0,-0.047692979429566906,0,0,0,0
25,0,2.5766,0,0.3362,0.0,0.7921,0.0,0.5981,0.0,0.1757,0.0,0.4559,0,0.0,0,none,0,0.06408261790796638,1,0,0,0
26,0,0.514,0,0.0,0.0,0.9251,0.0,0.6793,0.0,0.55,0.0,0.8272,0,0.0,0,none,0,-0.06128629961930898,0,0,0,0
27,0,0.4394,0,0.0,0.0,0.2592,0.0,0.4669,0.0,0.2732,0.0,0.4194,0,0.0,0,none,0,-0.0021217038240640695,0,0,0,0
28,0,0.3952,0,0.0,0.0,1.1817,0.0,0.6943,0.0,0.5468,0.0,0.4483,0,0.0,0,none,0,-0.0256996781516452,0,0,0,0
29,0,8.2131,1,4.056,1.0,1.7541,0.0,1.0339,0.0,0.55,0.0,0.6801,0,0.25,1,low,0,0.20262264001418595,1,0,0,1
30,0,7.2469,1,1.8599,0.0,1.1346,0.0,0.8641,0.0,1.2773,0.0,1.0347,0,0.25,1,low,0,0.18405467885831073,1,0,0,1
31,0,0.5475,0,0.0,0.0,0.4497,0.0,1.0421,0.0,0.1757,0.0,0.433,0,0.0,0,none,0,-0.04284794985907797,0,0,0,0
32,0,7.2036,1,0.7618,0.0,0.2144,0.0,1.4146,0.0,0.3644,0.0,0.438,0,0.25,1,low,0,0.1960770152242992,1,0,0,1
33,0,2.6159,0,0.0,0.0,1.3854,0.0,1.9806,0.0,0.0,0.0,1.7716,0,0.0,0,none,0,0.07385891993376092,1,0,0,0
34,0,0.6411,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,0.933,0,0.0,0,none,0,-0.01656123053376879,0,0,0,0
35,0,0.6499,0,0.0,0.0,0.825,0.0,1.3191,0.0,0.0,0.0,0.7156,0,0.0,0,none,0,-0.07051869761375634,0,0,0,0
36,0,0.6399,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,1.3244,0,0.0,0,none,0,-0.021836069613295483,0,0,0,0
37,0,0.5744,0,0.0,0.0,0.2353,0.0,1.5899,0.0,0.0,0.0,0.737,0,0.0,0,none,0,-0.05536910562722769,0,0,0,0
38,0,1.4465,0,0.0,0.0,0.8628,0.0,2.7679,0.0,0.0,0.0,0.6953,0,0.0,0,none,0,0.05308858115802423,1,0,0,0
39,0,0.6704,0,0.0,0.0,1.5367,0.0,1.1188,0.0,0.0,0.0,0.4517,0,0.0,0,none,0,-0.04621012177725764,0,0,0,0
40,0,0.3524,0,0.0,0.0,0.3507,0.0,0.3137,0.0,0.0,0.0,0.7893,0,0.0,0,none,0,-0.018909178886232947,0,0,0,0
41,0,0.3535,0,0.0,0.0,0.3236,0.0,0.542,0.0,0.7291,0.0,0.8759,0,0.0,0,none,0,-0.0299439678178684,0,0,0,0
42,0,0.5476,0,0.0,0.0,0.6258,0.0,1.3007,0.0,0.7291,0.0,1.1069,0,0.0,0,none,0,-0.05014892115930081,0,0,0,0
43,0,0.6492,0,0.0,0.0,1.5367,0.0,1.9485,0.0,0.6379,0.0,0.822,0,0.0,0,none,0,-0.04748915030643136,0,0,0,0
44,0,0.6498,0,0.0,0.0,0.449,0.0,0.8132,0.0,0.6379,0.0,0.7669,0,0.0,0,none,0,-0.06899519509470403,0,0,0,0
45,0,0.6584,0,0.0,0.0,0.2005,0.0,1.4864,0.0,0.5468,0.0,0.8549,0,0.0,0,none,0,-0.06320618492195346,0,0,0,0
46,0,0.3915,0,0.0,0.0,0.3011,0.0,0.6687,0.0,0.1757,0.0,0.5084,0,0.0,0,none,0,-0.034554812182820915,0,0,0,0
47,0,0.688,0,0.0,0.0,1.2541,0.0,0.938,0.0,0.0,0.0,0.8166,0,0.0,0,none,0,-0.06893231428578361,0,0,0,0
48,0,0.2578,0,0.0,0.0,0.7236,0.0,0.9186,0.0,0.5468,0.0,0.6835,0,0.0,0,none,0,-0.03574319058585873,0,0,0,0
49,0,3.0264,1,0.3362,0.0,0.9976,0.0,0.59,0.0,1.0954,0.0,1.0329,0,0.25,1,low,0,0.05689297878097255,1,0,0,1
50,0,1.3808,0,0.0,0.0,0.8517,0.0,1.0339,0.0,0.6379,0.0,0.5949,0,0.0,0,none,0,-0.015783259689537033,0,0,0,0
51,0,2.4524,0,0.3362,0.0,0.8587,0.0,0.9616,0.0,0.2732,0.0,0.7967,0,0.0,0,none,0,0.029794983263664754,1,0,0,0
52,0,0.5825,0,0.0,0.0,1.6559,0.0,0.8631,0.0,0.6379,0.0,0.7922,0,0.0,0,none,0,-0.06801706031657812,0,0,0,0
53,0,0.8637,0,0.0,0.0,1.4432,0.0,0.8423,0.0,0.55,0.0,0.9137,0,0.0,0,none,0,-0.047941830487399084,0,0,0,0
54,0,1.251,0,0.0,0.0,0.5181,0.0,1.4885,0.0,0.0,0.0,0.8872,0,0.0,0,none,0,-0.02760429020265376,0,0,0,0
55,0,0.6406,0,0.0,0.0,1.1942,0.0,0.7792,0.0,0.0,0.0,0.7649,0,0.0,0,none,0,-0.06935412341732655,0,0,0,0
56,0,1.0812,0,0.0,0.0,1.4518,0.0,1.5128,0.0,0.0,0.0,0.8471,0,0.0,0,none,0,-0.0404465027233179,0,0,0,0
57,0,0.6121,0,0.0,0.0,1.8792,0.0,0.0,0.0,0.0,0.0,1.0984,0,0.0,0,none,0,-0.011271266799079915,0,0,0,0
58,0,0.2261,0,0.0,0.0,1.1674,0.0,0.4889,0.0,0.0,0.0,0.727,0,0.0,0,none,0,-0.013931195691096077,0,0,0,0
59,0,0.6215,0,0.0,0.0,0.9887,0.0,1.0649,0.0,0.0,0.0,0.3965,0,0.0,0,none,0,-0.039168480924625604,0,0,0,0
60,0,0.5401,0,0.0,0.0,1.4682,0.0,1.0339,0.0,0.0,0.0,0.1514,0,0.0,0,none,0,0.006455642209864776,1,0,0,0
61,0,0.2485,0,0.0,0.0,0.7832,0.0,1.2093,0.0,0.0,0.0,0.8135,0,0.0,0,none,0,-0.030627928419023953,0,0,0,0
62,0,0.7644,0,0.0,0.0,1.2716,0.0,2.107,0.0,0.0,0.0,1.3508,0,0.0,0,none,0,-0.005600603586345176,0,0,0,0
63,0,0.6412,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,1.0327,0,0.0,0,none,0,-0.01602978833536739,0,0,0,0
64,0,0.1831,0,0.0,0.0,1.2656,0.0,1.267,0.0,0.0,0.0,0.7874,0,0.0,0,none,0,-0.016745351610489012,0,0,0,0
65,0,0.6707,0,0.0,0.0,1.1257,0.0,0.8777,0.0,0.0,0.0,0.4608,0,0.0,0,none,0,-0.05162772597049503,0,0,0,0
66,0,0.559,0,0.0,0.0,1.7422,0.0,1.4583,0.0,0.7291,0.0,0.5957,0,0.0,0,none,0,-0.057700958141712,0,0,0,0
67,0,0.1642,0,0.0,0.0,1.1955,0.0,0.579,0.0,0.0,0.0,0.7506,0,0.0,0,none,0,-0.015421869427977963,0,0,0,0
68,0,0.5862,0,0.0,0.0,1.8107,0.0,1.9485,0.0,0.0,0.0,0.5446,0,0.0,0,none,0,-0.020514916602153654,0,0,0,0
69,0,0.7988,0,0.0,0.0,1.6475,0.0,1.4583,0.0,0.182,0.0,0.4479,0,0.0,0,none,0,-0.032302928767081907,0,0,0,0
70,0,0.4717,0,0.0,0.0,0.7921,0.0,0.5173,0.0,0.1863,0.0,0.3259,0,0.0,0,none,0,-0.00397381945785702,0,0,0,0
71,0,0.5696,0,0.0,0.0,0.3038,0.0,0.8745,0.0,0.6379,0.0,0.6813,0,0.0,0,none,0,-0.06866769132996331,0,0,0,0
72,0,0.2335,0,0.0,0.0,0.5415,0.0,0.949,0.0,0.5468,0.0,0.6428,0,0.0,0,none,0,-0.029591115977083637,0,0,0,0
73,0,0.6223,0,0.0,0.0,0.5181,0.0,0.7288,0.0,0.5468,0.0,0.9543,0,0.0,0,none,0,-0.05298735383881337,0,0,0,0
74,0,0.749,0,0.0,0.0,0.3812,0.0,0.9727,0.0,0.0,0.0,0.4417,0,0.0,0,none,0,-0.048235788750370046,0,0,0,0
75,0,4.699,1,0.3362,0.0,1.2031,0.0,0.6246,0.0,0.1757,0.0,0.5614,0,0.25,1,low,0,0.12806522543705856,1,0,0,1
76,0,2.0418,0,0.0,0.0,2.0178,0.0,1.9485,0.0,0.2732,0.0,1.4068,0,0.0,0,none,0,0.04667354824898534,1,0,0,0
77,0,0.8144,0,0.0,0.0,0.7921,0.0,0.9205,0.0,0.9136,0.0,1.4439,0,0.0,0,none,0,-0.03200832121097147,0,0,0,0
78,0,2.4832,0,0.0,0.0,0.3736,0.0,0.6943,0.0,1.0045,0.0,1.7778,0,0.0,0,none,0,0.05980304194175412,1,0,0,0
79,0,0.3797,0,0.3362,0.0,1.4518,0.0,0.6342,0.0,0.8227,0.0,0.8121,0,0.0,0,none,0,-0.04693121087499841,0,0,0,0
80,0,0.4815,0,0.0,0.0,1.0667,0.0,0.9186,0.0,0.6379,0.0,0.9098,0,0.0,0,none,0,-0.05429683448753747,0,0,0,0
81,0,0.6445,0,0.0,0.0,1.2627,0.0,0.7792,0.0,0.0,0.0,1.0648,0,0.0,0,none,0,-0.052802737966452795,0,0,0,0
82,0,0.4878,0,0.0,0.0,1.7311,0.0,0.9415,0.0,0.7291,0.0,0.8857,0,0.0,0,none,0,-0.056847205055333805,0,0,0,0
83,0,0.4947,0,0.0,0.0,1.0572,0.0,0.8641,0.0,0.4556,0.0,0.8969,0,0.0,0,none,0,-0.05332147375722879,0,0,0,0
84,0,0.6325,0,0.0,0.0,0.907,0.0,0.9077,0.0,0.7291,0.0,0.9545,0,0.0,0,none,0,-0.059711025126605644,0,0,0,0
85,0,0.5568,0,0.0,0.0,0.5181,0.0,0.6943,0.0,0.9136,0.0,1.161,0,0.0,0,none,0,-0.0408078340455198,0,0,0,0
86,0,0.9052,0,0.0,0.0,1.1993,0.0,3.3692,1.0,0.0,0.0,0.6861,0,0.5,1,low,0,0.0685938654649006,1,0,0,1
87,0,0.6792,0,0.0,0.0,0.1218,0.0,1.4946,0.0,0.0,0.0,0.9022,0,0.0,0,none,0,-0.060471960935841895,0,0,0,0
88,0,0.6388,0,0.0,0.0,1.8107,0.0,1.4583,0.0,0.0,0.0,0.7535,0,0.0,0,none,0,-0.06712561720912924,0,0,0,0
89,0,1.8352,0,0.0,0.0,2.0178,0.0,2.5029,0.0,0.0,0.0,0.6184,0,0.0,0,none,0,0.07807767450460845,1,0,0,0
90,0,0.6783,0,0.0,0.0,1.5367,0.0,1.1188,0.0,0.0,0.0,0.8693,0,0.0,0,none,0,-0.06594218621843673,0,0,0,0
91,0,0.6389,0,0.0,0.0,0.8043,0.0,0.3244,0.0,0.6379,0.0,0.7979,0,0.0,0,none,0,-0.03392293480366931,0,0,0,0
92,0,0.6999,0,0.0,0.0,1.3312,0.0,0.8641,0.0,0.0,0.0,0.6183,0,0.0,0,none,0,-0.06549960868581822,0,0,0,0
93,0,0.6829,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,0.6536,0,0.0,0,none,0,-0.04277766183206971,0,0,0,0
94,0,0.5567,0,0.0,0.0,1.0273,0.0,1.0883,0.0,0.7291,0.0,0.7616,0,0.0,0,none,0,-0.06839569186740363,0,0,0,0
95,0,0.8933,0,0.0,0.0,0.4517,0.0,0.7966,0.0,0.3644,0.0,0.6511,0,0.0,0,none,0,-0.04855580454435782,0,0,0,0
96,0,2.1374,0,0.0,0.0,1.2031,0.0,1.1411,0.0,0.3644,0.0,0.7485,0,0.0,0,none,0,0.015519821162186753,1,0,0,0
97,0,2.2797,0,0.0,0.0,2.0178,0.0,1.1412,0.0,0.6379,0.0,0.8785,0,0.0,0,none,0,0.02449406273949689,1,0,0,0
98,0,1.0626,0,0.0,0.0,0.9976,0.0,1.1345,0.0,0.2732,0.0,0.6184,0,0.0,0,none,0,-0.04309151550649942,0,0,0,0
99,0,0.8349,0,0.0,0.0,1.1761,0.0,0.8174,0.0,0.1863,0.0,0.5449,0,0.0,0,none,0,-0.04703141406846767,0,0,0,0
100,0,0.8884,0,0.0,0.0,0.8462,0.0,1.642,0.0,0.0,0.0,0.8099,0,0.0,0,none,0,-0.039426586235009775,0,0,0,0
101,0,0.6456,0,0.0,0.0,1.0572,0.0,1.4022,0.0,0.0,0.0,0.6475,0,0.0,0,none,0,-0.0679578152330862,0,0,0,0
102,0,0.6361,0,0.0,0.0,0.7147,0.0,0.6946,0.0,0.0,0.0,0.7573,0,0.0,0,none,0,-0.06695556082216236,0,0,0,0
103,0,0.8533,0,0.0,0.0,0.622,0.0,1.9745,0.0,0.3644,0.0,0.6509,0,0.0,0,none,0,-0.023237825891872177,0,0,0,0
104,0,0.4569,0,0.0,0.0,0.9887,0.0,0.9812,0.0,0.6379,0.0,0.5822,0,0.0,0,none,0,-0.055016260902712444,0,0,0,0
105,0,0.6726,0,0.0,0.0,1.2716,0.0,2.3617,0.0,0.0,0.0,0.8145,0,0.0,0,none,0,-0.013398738620702288,0,0,0,0
106,0,0.6952,0,0.0,0.0,1.3997,0.0,0.949,0.0,0.0,0.0,0.557,0,0.0,0,none,0,-0.05978797004780079,0,0,0,0
107,0,0.6762,0,0.0,0.0,1.7422,0.0,1.4583,0.0,0.6379,0.0,0.9048,0,0.0,0,none,0,-0.05939244062925303,0,0,0,0
108,0,0.6774,0,0.0,0.0,1.5367,0.0,1.2885,0.0,0.5468,0.0,0.5607,0,0.0,0,none,0,-0.058672438903254354,0,0,0,0
109,0,0.579,0,0.0,0.0,0.2936,0.0,0.579,0.0,0.7291,0.0,0.8102,0,0.0,0,none,0,-0.05537025059357997,0,0,0,0
110,0,0.1551,0,0.0,0.0,0.7574,0.0,0.988,0.0,0.3644,0.0,0.8588,0,0.0,0,none,0,-0.012990758295892024,0,0,0,0
111,0,0.6589,0,0.0,0.0,1.5367,0.0,1.4583,0.0,0.4556,0.0,0.9717,0,0.0,0,none,0,-0.05384387458935036,0,0,0,0
112,0,0.2495,0,0.0,0.0,0.8449,0.0,1.1512,0.0,0.5468,0.0,1.0141,0,0.0,0,none,0,-0.015911962901070553,0,0,0,0
113,0,0.9797,0,0.0,0.0,0.0,0.0,1.5438,0.0,1.9152,0.0,1.8066,0,0.0,0,none,0,-0.00011107307064278649,0,0,0,0
114,0,2.4249,0,0.3362,0.0,0.3812,0.0,0.6315,0.0,0.1757,0.0,0.6621,0,0.0,0,none,0,0.03454471579910484,1,0,0,0
115,0,0.551,0,0.0,0.0,1.9647,0.0,1.1188,0.0,0.5468,0.0,1.1836,0,0.0,0,none,0,-0.04240161022381178,0,0,0,0
116,0,0.9216,0,0.0,0.0,1.2031,0.0,1.5438,0.0,1.0954,0.0,0.8133,0,0.0,0,none,0,-0.04575138390951755,0,0,0,0
117,0,1.0438,0,0.0,0.0,0.9291,0.0,0.9199,0.0,0.1757,0.0,0.5209,0,0.0,0,none,0,-0.028515303277158066,0,0,0,0
118,0,0.3193,0,0.0,0.0,0.5343,0.0,1.0093,0.0,0.2732,0.0,0.9198,0,0.0,0,none,0,-0.03249443230314525,0,0,0,0
119,0,0.4352,0,0.0,0.0,1.6737,0.0,1.2885,0.0,0.0,0.0,0.5518,0,0.0,0,none,0,-0.04559052565233751,0,0,0,0
120,0,0.7913,0,0.0,0.0,1.3256,0.0,1.9308,0.0,0.7291,0.0,0.4375,0,0.0,0,none,0,-0.005967311124847718,0,0,0,0
121,0,0.605,0,0.0,0.0,0.9202,0.0,1.4987,0.0,0.0,0.0,0.6646,0,0.0,0,none,0,-0.06317756667656793,0,0,0,0
122,0,0.5643,0,0.0,0.0,1.6052,0.0,1.9485,0.0,0.3644,0.0,1.3562,0,0.0,0,none,0,-0.01807907130157571,0,0,0,0
123,0,0.3319,0,0.0,0.0,1.0204,0.0,1.0531,0.0,0.7291,0.0,0.8949,0,0.0,0,none,0,-0.04167098837409272,0,0,0,0
124,0,0.2191,0,0.0,0.0,1.379,0.0,0.8641,0.0,0.7291,0.0,0.6589,0,0.0,0,none,0,-0.025241767952209337,0,0,0,0
125,0,0.2076,0,0.0,0.0,1.3507,0.0,1.3478,0.0,0.7291,0.0,0.8549,0,0.0,0,none,0,-0.021962307050589158,0,0,0,0
126,0,1.7253,0,0.0,0.0,0.9016,0.0,1.0315,0.0,0.459,0.0,0.338,0,0.0,0,none,0,0.03353697763711999,1,0,0,0
127,0,2.6342,0,0.3362,0.0,1.2031,0.0,1.9485,0.0,0.1863,0.0,0.6184,0,0.0,0,none,0,0.071393158667036,1,0,0,0
128,0,0.3411,0,0.0,0.0,0.4583,0.0,1.4368,0.0,0.3644,0.0,0.6069,0,0.0,0,none,0,-0.03555082448209834,0,0,0,0
129,0,0.8297,0,0.0,0.0,0.6527,0.0,1.4583,0.0,0.2772,0.0,0.3584,0,0.0,0,none,0,-0.018740589928019302,0,0,0,0
130,0,0.2454,0,0.0,0.0,1.0661,0.0,0.6639,0.0,0.3644,0.0,0.7905,0,0.0,0,none,0,-0.026930816359871712,0,0,0,0
131,0,0.6152,0,0.0,0.0,1.3997,0.0,0.949,0.0,0.0,0.0,0.7563,0,0.0,0,none,0,-0.07162002211838903,0,0,0,0
132,0,0.6301,0,0.0,0.0,1.3256,0.0,1.176,0.0,0.0,0.0,0.7184,0,0.0,0,none,0,-0.0696386254793504,0,0,0,0
133,0,0.4587,0,0.0,0.0,1.3708,0.0,1.5479,0.0,0.182,0.0,0.8636,0,0.0,0,none,0,-0.04626223810246083,0,0,0,0
134,0,0.6633,0,0.0,0.0,0.5093,0.0,0.9932,0.0,0.0,0.0,0.8559,0,0.0,0,none,0,-0.06749824238718732,0,0,0,0
135,0,0.2641,0,0.0,0.0,0.6921,0.0,0.7179,0.0,0.4556,0.0,0.8803,0,0.0,0,none,0,-0.02614642962382202,0,0,0,0
136,0,0.5616,0,0.0,0.0,0.8215,0.0,0.7488,0.0,0.7291,0.0,1.1171,0,0.0,0,none,0,-0.04350690490142778,0,0,0,0
137,0,0.6306,0,0.0,0.0,0.667,0.0,1.3729,0.0,0.4556,0.0,0.6756,0,0.0,0,none,0,-0.06911159090764424,0,0,0,0
138,0,1.23,0,0.0,0.0,0.6817,0.0,1.5874,0.0,0.0,0.0,0.7325,0,0.0,0,none,0,-0.02361774158117952,0,0,0,0
139,0,0.5442,0,0.0,0.0,0.6306,0.0,1.2892,0.0,0.3644,0.0,0.7403,0,0.0,0,none,0,-0.06858623721131396,0,0,0,0
140,0,0.4757,0,0.0,0.0,0.7449,0.0,0.2929,0.0,0.3644,0.0,1.2086,0,0.0,0,none,0,0.008300048572909002,1,0,0,0
141,0,2.4335,0,0.3362,0.0,1.2031,0.0,0.9567,0.0,1.1864,0.0,1.7105,0,0.0,0,none,0,0.055562340875648264,1,0,0,0
142,0,0.7644,0,0.0,0.0,1.0661,0.0,1.1147,0.0,1.3682,0.0,1.9081,0,0.0,0,none,0,0.0034647565595506413,1,0,0,0
143,0,0.7378,0,0.2128,0.0,1.0661,0.0,1.6955,0.0,0.1757,0.0,0.5534,0,0.0,0,none,0,-0.040560019913565115,0,0,0,0
144,0,0.6645,0,0.0,0.0,0.4583,0.0,1.1079,0.0,0.4556,0.0,0.6334,0,0.0,0,none,0,-0.06785776243975472,0,0,0,0
145,0,1.7537,0,0.0,0.0,1.2977,0.0,0.6129,0.0,0.182,0.0,0.5729,0,0.0,0,none,0,0.02514237896767174,1,0,0,0
146,0,0.5478,0,1.3108,0.0,1.0631,0.0,0.8602,0.0,0.1757,0.0,1.5069,0,0.0,0,none,0,-0.025829804579061366,0,0,0,0
147,0,0.5825,0,0.0,0.0,0.9291,0.0,0.9504,0.0,0.6379,0.0,0.8484,0,0.0,0,none,0,-0.06846206119192766,0,0,0,0
148,0,0.794,0,0.0,0.0,1.1761,0.0,1.6486,0.0,0.7291,0.0,0.8135,0,0.0,0,none,0,-0.05261324320596317,0,0,0,0
149,0,2.3565,0,0.0,0.0,1.2716,0.0,1.2963,0.0,0.5468,0.0,1.722,0,0.0,0,none,0,0.05489268482095516,1,0,0,0
150,0,9.0101,1,0.3362,0.0,1.1449,0.0,0.6067,0.0,0.2732,0.0,1.3343,0,0.25,1,low,0,0.22493287819947638,1,0,0,1
151,0,0.6613,0,0.0,0.0,1.2698,0.0,1.811,0.0,0.7291,0.0,0.3893,0,0.0,0,none,0,-0.009622268586817029,0,0,0,0
152,0,1.0003,0,0.0,0.0,0.9616,0.0,1.5981,0.0,0.0,0.0,0.5613,0,0.0,0,none,0,-0.0211814807559087,0,0,0,0
153,0,0.6838,0,0.0,0.0,1.4682,0.0,1.0339,0.0,0.0,0.0,0.5812,0,0.0,0,none,0,-0.06373566405885861,0,0,0,0
154,0,0.3437,0,0.0,0.0,0.6551,0.0,1.1732,0.0,0.7291,0.0,0.5277,0,0.0,0,none,0,-0.03159407654331842,0,0,0,0
155,0,0.8054,0,0.0,0.0,1.0509,0.0,1.4577,0.0,0.0,0.0,0.8669,0,0.0,0,none,0,-0.05882535449053855,0,0,0,0
156,0,0.5905,0,0.0,0.0,1.6737,0.0,1.9485,0.0,0.4556,0.0,0.9026,0,0.0,0,none,0,-0.03731195349446248,0,0,0,0
157,0,0.6606,0,0.0,0.0,0.3038,0.0,1.3327,0.0,0.7291,0.0,1.2587,0,0.0,0,none,0,-0.042406363598755326,0,0,0,0
158,0,0.7031,0,0.0,0.0,0.0,0.0,2.6163,0.0,0.0,0.0,1.756,0,0.0,0,none,0,0.046695456178586725,1,0,0,0
159,0,0.6997,0,0.0,0.0,1.4682,0.0,1.0339,0.0,0.0,0.0,0.9225,0,0.0,0,none,0,-0.05877878567603306,0,0,0,0
160,0,0.6982,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,0.6999,0,0.0,0,none,0,-0.028792491505399254,0,0,0,0
161,0,0.5769,0,0.0,0.0,1.7422,0.0,0.0,0.0,0.5468,0.0,0.8503,0,0.0,0,none,0,-0.016742790713089317,0,0,0,0
162,0,0.6686,0,0.0,0.0,1.8107,0.0,0.0,0.0,0.6379,0.0,0.6894,0,0.0,0,none,0,-0.02902880938989011,0,0,0,0
163,0,0.6557,0,0.0,0.0,1.6737,0.0,1.4583,0.0,0.5468,0.0,0.5602,0,0.0,0,none,0,-0.054357367971890835,0,0,0,0
164,0,1.9687,0,0.0,0.0,1.3854,0.0,1.9158,0.0,0.0,0.0,0.8423,0,0.0,0,none,0,0.030668544203427073,1,0,0,0
165,0,0.68,0,0.0,0.0,0.2442,0.0,1.0883,0.0,0.5468,0.0,0.6036,0,0.0,0,none,0,-0.06240560565995357,0,0,0,0
166,0,0.464,0,0.0,0.0,0.7211,0.0,0.579,0.0,0.6379,0.0,0.702,0,0.0,0,none,0,-0.05719359156767906,0,0,0,0
167,0,0.5133,0,0.0,0.0,1.2976,0.0,0.8423,0.0,0.2732,0.0,1.1361,0,0.0,0,none,0,-0.03998284182555756,0,0,0,0
168,0,0.4871,0,0.0,0.0,0.7832,0.0,0.4787,0.0,0.0,0.0,1.2635,0,0.0,0,none,0,-0.007478315418854131,0,0,0,0
169,0,0.6663,0,0.0,0.0,1.4726,0.0,0.805,0.0,0.6409,0.0,1.8083,0,0.0,0,none,0,-0.005235004472561644,0,0,0,0
170,0,0.8197,0,0.0,0.0,0.6306,0.0,1.2053,0.0,0.7318,0.0,1.9714,0,0.0,0,none,0,0.0072288481378173786,1,0,0,0
