window,label,maxz_s1,anom_s1,maxz_s2,anom_s2,maxz_s3,anom_s3,maxz_s4,anom_s4,maxz_s5,anom_s5,maxz_s6,anom_s6,confidence,flag_count,alert_level,alert_binary,velocity_s4,vel_zscore_s4,vel_alert_s4,accel_s4,velocity_s1,vel_zscore_s1,vel_alert_s1,velocity_s6,vel_zscore_s6,vel_alert_s6,vel_flag_count,enhanced_alert,velocity_only_alert,orig_fusion2
23,0,0.8431,0,0.0,0.0,0.1918,0.0,1.2023,0.0,0.0,0.0,0.526,0,0.0,0,none,0,0.4230999999999999,0.1239,0.0,0.5279999999999999,0.1149,0.0658,0,-0.03600000000000003,0.0663,0,0,0,0,0
24,0,0.6751,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,0.7127,0,0.0,0,none,0,0.7462,0.2186,0.0,0.32310000000000005,-0.16799999999999993,0.0963,0,0.18669999999999998,0.3444,0,0,0,0,0
25,0,2.5766,0,0.3362,0.0,0.7921,0.0,0.5981,0.0,0.1757,0.0,0.4559,0,0.0,0,none,0,-1.3504,0.3957,0.0,-2.0966,1.9015,1.0908,0,-0.2568,0.4737,0,0,0,0,0
26,0,0.514,0,0.0,0.0,0.9251,0.0,0.6793,0.0,0.55,0.0,0.8272,0,0.0,0,none,0,0.08120000000000005,0.0237,0.0,1.4316,-2.0625999999999998,1.1833,0,0.3713,0.685,0,0,0,0,0
27,0,0.4394,0,0.0,0.0,0.2592,0.0,0.4669,0.0,0.2732,0.0,0.4194,0,0.0,0,none,0,-0.21240000000000003,0.0622,0.0,-0.2936000000000001,-0.0746,0.0427,0,-0.40780000000000005,0.7523,0,0,0,0,0
28,0,0.3952,0,0.0,0.0,1.1817,0.0,0.6943,0.0,0.5468,0.0,0.4483,0,0.0,0,none,0,0.22740000000000005,0.0665,0.0,0.4398000000000001,-0.04420000000000002,0.0253,0,0.02889999999999998,0.0532,0,0,0,0,0
29,0,8.2131,1,4.056,1.0,1.7541,0.0,1.0339,0.0,0.55,0.0,0.6801,0,0.25,1,low,0,0.3396,0.0994,0.0,0.11219999999999997,7.817900000000001,4.4851,1,0.23180000000000006,0.4276,0,1,0,0,0
30,0,7.2469,1,1.8599,0.0,1.1346,0.0,0.8641,0.0,1.2773,0.0,1.0347,0,0.25,1,low,0,-0.16980000000000006,0.0497,0.0,-0.5094000000000001,-0.9662000000000006,0.5542,0,0.3545999999999999,0.6541,0,0,0,0,0
31,0,0.5475,0,0.0,0.0,0.4497,0.0,1.0421,0.0,0.1757,0.0,0.433,0,0.0,0,none,0,0.17800000000000005,0.0521,0.0,0.3478000000000001,-6.6994,3.8434,1,-0.6016999999999999,1.11,0,1,0,0,0
32,0,7.2036,1,0.7618,0.0,0.2144,0.0,1.4146,0.0,0.3644,0.0,0.438,0,0.25,1,low,0,0.37250000000000005,0.1091,0.0,0.1945,6.6560999999999995,3.8186,1,0.0050000000000000044,0.0091,0,1,0,0,0
33,0,2.6159,0,0.0,0.0,1.3854,0.0,1.9806,0.0,0.0,0.0,1.7716,0,0.0,0,none,0,0.5659999999999998,0.1658,0.0,0.19349999999999978,-4.5877,2.6319,1,1.3336000000000001,2.4604,0,1,0,0,0
34,0,0.6411,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,0.933,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-1.9747999999999999,1.1329,0,-0.8386,1.5471,0,0,0,0,0
35,0,0.6499,0,0.0,0.0,0.825,0.0,1.3191,0.0,0.0,0.0,0.7156,0,0.0,0,none,0,-0.6615,0.1938,0.0,-1.2274999999999998,0.00880000000000003,0.005,0,-0.21740000000000004,0.401,0,0,0,0,0
36,0,0.6399,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,1.3244,0,0.0,0,none,0,0.6294,0.1844,0.0,1.2909,-0.010000000000000009,0.0057,0,0.6088,1.1231,0,0,0,0,0
37,0,0.5744,0,0.0,0.0,0.2353,0.0,1.5899,0.0,0.0,0.0,0.737,0,0.0,0,none,0,-0.3585999999999998,0.105,0.0,-0.9879999999999998,-0.0655,0.0375,0,-0.5874,1.0837,0,0,0,0,0
38,0,1.4465,0,0.0,0.0,0.8628,0.0,2.7679,0.0,0.0,0.0,0.6953,0,0.0,0,none,0,1.178,0.3451,0.0,1.5365999999999997,0.8720999999999999,0.5003,0,-0.04169999999999996,0.0768,0,0,0,0,0
39,0,0.6704,0,0.0,0.0,1.5367,0.0,1.1188,0.0,0.0,0.0,0.4517,0,0.0,0,none,0,-1.6491,0.4832,0.0,-2.8270999999999997,-0.7760999999999999,0.4452,0,-0.24360000000000004,0.4494,0,0,0,0,0
40,0,0.3524,0,0.0,0.0,0.3507,0.0,0.3137,0.0,0.0,0.0,0.7893,0,0.0,0,none,0,-0.8051,0.2359,0.0,0.844,-0.318,0.1824,0,0.3376,0.6228,0,0,0,0,0
41,0,0.3535,0,0.0,0.0,0.3236,0.0,0.542,0.0,0.7291,0.0,0.8759,0,0.0,0,none,0,0.22830000000000006,0.0668,0.0,1.0334,0.0010999999999999899,0.0006,0,0.08660000000000001,0.1597,0,0,0,0,0
42,0,0.5476,0,0.0,0.0,0.6258,0.0,1.3007,0.0,0.7291,0.0,1.1069,0,0.0,0,none,0,0.7586999999999999,0.2223,0.0,0.5303999999999999,0.1941,0.1113,0,0.23099999999999998,0.4261,0,0,0,0,0
43,0,0.6492,0,0.0,0.0,1.5367,0.0,1.9485,0.0,0.6379,0.0,0.822,0,0.0,0,none,0,0.6477999999999999,0.1898,0.0,-0.1109,0.10160000000000002,0.0582,0,-0.28490000000000004,0.5255,0,0,0,0,0
44,0,0.6498,0,0.0,0.0,0.449,0.0,0.8132,0.0,0.6379,0.0,0.7669,0,0.0,0,none,0,-1.1353,0.3326,0.0,-1.7831,0.0006000000000000449,0.0003,0,-0.05509999999999993,0.1016,0,0,0,0,0
45,0,0.6584,0,0.0,0.0,0.2005,0.0,1.4864,0.0,0.5468,0.0,0.8549,0,0.0,0,none,0,0.6731999999999999,0.1972,0.0,1.8085,0.008599999999999941,0.0049,0,0.08799999999999997,0.1623,0,0,0,0,0
46,0,0.3915,0,0.0,0.0,0.3011,0.0,0.6687,0.0,0.1757,0.0,0.5084,0,0.0,0,none,0,-0.8177,0.2395,0.0,-1.4909,-0.26689999999999997,0.1531,0,-0.34650000000000003,0.6392,0,0,0,0,0
47,0,0.688,0,0.0,0.0,1.2541,0.0,0.938,0.0,0.0,0.0,0.8166,0,0.0,0,none,0,0.2693,0.0788,0.0,1.087,0.29649999999999993,0.17,0,0.30820000000000003,0.5685,0,0,0,0,0
48,0,0.2578,0,0.0,0.0,0.7236,0.0,0.9186,0.0,0.5468,0.0,0.6835,0,0.0,0,none,0,-0.019399999999999973,0.0056,0.0,-0.28869999999999996,-0.43019999999999997,0.2467,0,-0.1331,0.2455,0,0,0,0,0
49,0,3.0264,1,0.3362,0.0,0.9976,0.0,0.59,0.0,1.0954,0.0,1.0329,0,0.25,1,low,0,-0.3286,0.0962,0.0,-0.30920000000000003,2.7686,1.5883,0,0.34939999999999993,0.6446,0,0,0,0,0
50,0,1.3808,0,0.0,0.0,0.8517,0.0,1.0339,0.0,0.6379,0.0,0.5949,0,0.0,0,none,0,0.4439000000000001,0.13,0.0,0.7725000000000001,-1.6456000000000002,0.944,0,-0.43799999999999994,0.808,0,0,0,0,0
51,0,2.4524,0,0.3362,0.0,0.8587,0.0,0.9616,0.0,0.2732,0.0,0.7967,0,0.0,0,none,0,-0.07230000000000003,0.0211,0.0,-0.5162000000000001,1.0715999999999999,0.6147,0,0.20179999999999998,0.3722,0,0,0,0,0
52,0,0.5825,0,0.0,0.0,1.6559,0.0,0.8631,0.0,0.6379,0.0,0.7922,0,0.0,0,none,0,-0.09850000000000003,0.0288,0.0,-0.0262,-1.8699,1.0727,0,-0.0044999999999999485,0.0082,0,0,0,0,0
53,0,0.8637,0,0.0,0.0,1.4432,0.0,0.8423,0.0,0.55,0.0,0.9137,0,0.0,0,none,0,-0.02079999999999993,0.006,0.0,0.0777000000000001,0.2812,0.1613,0,0.12149999999999994,0.2241,0,0,0,0,0
54,0,1.251,0,0.0,0.0,0.5181,0.0,1.4885,0.0,0.0,0.0,0.8872,0,0.0,0,none,0,0.6461999999999999,0.1893,0.0,0.6669999999999998,0.38729999999999987,0.2221,0,-0.026499999999999968,0.0488,0,0,0,0,0
55,0,0.6406,0,0.0,0.0,1.1942,0.0,0.7792,0.0,0.0,0.0,0.7649,0,0.0,0,none,0,-0.7092999999999999,0.2078,0.0,-1.3554999999999997,-0.6103999999999999,0.3501,0,-0.12229999999999996,0.2256,0,0,0,0,0
56,0,1.0812,0,0.0,0.0,1.4518,0.0,1.5128,0.0,0.0,0.0,0.8471,0,0.0,0,none,0,0.7335999999999999,0.2149,0.0,1.4428999999999998,0.4406,0.2527,0,0.08219999999999994,0.1516,0,0,0,0,0
57,0,0.6121,0,0.0,0.0,1.8792,0.0,0.0,0.0,0.0,0.0,1.0984,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-0.46909999999999996,0.2691,0,0.2513000000000001,0.4636,0,0,0,0,0
58,0,0.2261,0,0.0,0.0,1.1674,0.0,0.4889,0.0,0.0,0.0,0.727,0,0.0,0,none,0,-1.0238999999999998,0.3,0.0,-1.7574999999999998,-0.386,0.2214,0,-0.37140000000000006,0.6851,0,0,0,0,0
59,0,0.6215,0,0.0,0.0,0.9887,0.0,1.0649,0.0,0.0,0.0,0.3965,0,0.0,0,none,0,0.576,0.1687,0.0,1.5998999999999999,0.3954000000000001,0.2268,0,-0.33049999999999996,0.6097,0,0,0,0,0
60,0,0.5401,0,0.0,0.0,1.4682,0.0,1.0339,0.0,0.0,0.0,0.1514,0,0.0,0,none,0,-0.030999999999999917,0.009,0.0,-0.6069999999999999,-0.08140000000000003,0.0466,0,-0.2451,0.4521,0,0,0,0,0
61,0,0.2485,0,0.0,0.0,0.7832,0.0,1.2093,0.0,0.0,0.0,0.8135,0,0.0,0,none,0,0.1754,0.0513,0.0,0.20639999999999992,-0.2916,0.1672,0,0.6621,1.2215,0,0,0,0,0
62,0,0.7644,0,0.0,0.0,1.2716,0.0,2.107,0.0,0.0,0.0,1.3508,0,0.0,0,none,0,0.8977000000000002,0.263,0.0,0.7223000000000002,0.5159,0.2959,0,0.5373,0.9912,0,0,0,0,0
63,0,0.6412,0,0.0,0.0,1.9476,0.0,0.0,0.0,0.0,0.0,1.0327,0,0.0,0,none,0,0.0,0.0,0.0,0.0,-0.12319999999999998,0.0706,0,-0.31810000000000005,0.5868,0,0,0,0,0
64,0,0.1831,0,0.0,0.0,1.2656,0.0,1.267,0.0,0.0,0.0,0.7874,0,0.0,0,none,0,-0.8400000000000003,0.2461,0.0,-1.7377000000000005,-0.45809999999999995,0.2627,0,-0.24529999999999996,0.4525,0,0,0,0,0
65,0,0.6707,0,0.0,0.0,1.1257,0.0,0.8777,0.0,0.0,0.0,0.4608,0,0.0,0,none,0,-0.38929999999999987,0.114,0.0,0.45070000000000043,0.4875999999999999,0.2797,0,-0.3266,0.6025,0,0,0,0,0
66,0,0.559,0,0.0,0.0,1.7422,0.0,1.4583,0.0,0.7291,0.0,0.5957,0,0.0,0,none,0,0.5805999999999999,0.1701,0.0,0.9698999999999998,-0.11169999999999991,0.064,0,0.13490000000000002,0.2488,0,0,0,0,0
67,0,0.1642,0,0.0,0.0,1.1955,0.0,0.579,0.0,0.0,0.0,0.7506,0,0.0,0,none,0,-0.8793,0.2576,0.0,-1.4598999999999998,-0.39480000000000004,0.2264,0,0.15490000000000004,0.2857,0,0,0,0,0
68,0,0.5862,0,0.0,0.0,1.8107,0.0,1.9485,0.0,0.0,0.0,0.5446,0,0.0,0,none,0,1.3695,0.4013,0.0,2.2488,0.42200000000000004,0.242,0,-0.20600000000000007,0.38,0,0,0,0,0
69,0,0.7988,0,0.0,0.0,1.6475,0.0,1.4583,0.0,0.182,0.0,0.4479,0,0.0,0,none,0,-0.49019999999999997,0.1436,0.0,-1.8597,0.2125999999999999,0.1219,0,-0.09669999999999995,0.1783,0,0,0,0,0
70,0,0.4717,0,0.0,0.0,0.7921,0.0,0.5173,0.0,0.1863,0.0,0.3259,0,0.0,0,none,0,-0.941,0.2757,0.0,-0.4508,-0.32709999999999995,0.1876,0,-0.122,0.225,0,0,0,0,0
71,0,0.5696,0,0.0,0.0,0.3038,0.0,0.8745,0.0,0.6379,0.0,0.6813,0,0.0,0,none,0,0.3572000000000001,0.1046,0.0,1.2982,0.09789999999999999,0.0561,0,0.3554,0.6556,0,0,0,0,0
72,0,0.2335,0,0.0,0.0,0.5415,0.0,0.949,0.0,0.5468,0.0,0.6428,0,0.0,0,none,0,0.0744999999999999,0.0217,0.0,-0.2827000000000002,-0.33609999999999995,0.1928,0,-0.03849999999999998,0.0709,0,0,0,0,0
73,0,0.6223,0,0.0,0.0,0.5181,0.0,0.7288,0.0,0.5468,0.0,0.9543,0,0.0,0,none,0,-0.22019999999999995,0.0644,0.0,-0.29469999999999985,0.3887999999999999,0.223,0,0.3115,0.5746,0,0,0,0,0
74,0,0.749,0,0.0,0.0,0.3812,0.0,0.9727,0.0,0.0,0.0,0.4417,0,0.0,0,none,0,0.2439,0.0714,0.0,0.46409999999999996,0.12670000000000003,0.0726,0,-0.5126000000000001,0.9457,0,0,0,0,0
75,0,4.699,1,0.3362,0.0,1.2031,0.0,0.6246,0.0,0.1757,0.0,0.5614,0,0.25,1,low,0,-0.34809999999999997,0.1019,0.0,-0.592,3.9499999999999997,2.2661,0,0.11970000000000003,0.2208,0,0,0,0,0
76,0,2.0418,0,0.0,0.0,2.0178,0.0,1.9485,0.0,0.2732,0.0,1.4068,0,0.0,0,none,0,1.3238999999999999,0.3879,0.0,1.6719999999999997,-2.6572,1.5244,0,0.8454,1.5597,0,0,0,0,0
77,0,0.8144,0,0.0,0.0,0.7921,0.0,0.9205,0.0,0.9136,0.0,1.4439,0,0.0,0,none,0,-1.028,0.3012,0.0,-2.3518999999999997,-1.2273999999999998,0.7041,0,0.03709999999999991,0.0684,0,0,0,0,0
78,0,2.4832,0,0.0,0.0,0.3736,0.0,0.6943,0.0,1.0045,0.0,1.7778,0,0.0,0,none,0,-0.22619999999999996,0.0662,0.0,0.8018000000000001,1.6688,0.9573,0,0.3339000000000001,0.616,0,0,0,0,0
79,0,0.3797,0,0.3362,0.0,1.4518,0.0,0.6342,0.0,0.8227,0.0,0.8121,0,0.0,0,none,0,-0.06010000000000004,0.0175,0.0,0.16609999999999991,-2.1035,1.2067,0,-0.9657,1.7816,0,0,0,0,0
80,0,0.4815,0,0.0,0.0,1.0667,0.0,0.9186,0.0,0.6379,0.0,0.9098,0,0.0,0,none,0,0.2844,0.0833,0.0,0.34450000000000003,0.1018,0.0583,0,0.09770000000000001,0.1802,0,0,0,0,0
81,0,0.6445,0,0.0,0.0,1.2627,0.0,0.7792,0.0,0.0,0.0,1.0648,0,0.0,0,none,0,-0.13939999999999997,0.0408,0.0,-0.42379999999999995,0.16299999999999998,0.0934,0,0.15499999999999992,0.2859,0,0,0,0,0
82,0,0.4878,0,0.0,0.0,1.7311,0.0,0.9415,0.0,0.7291,0.0,0.8857,0,0.0,0,none,0,0.1623,0.0475,0.0,0.30169999999999997,-0.15669999999999995,0.0898,0,-0.17909999999999993,0.3303,0,0,0,0,0
83,0,0.4947,0,0.0,0.0,1.0572,0.0,0.8641,0.0,0.4556,0.0,0.8969,0,0.0,0,none,0,-0.07740000000000002,0.0226,0.0,-0.23970000000000002,0.006899999999999962,0.0039,0,0.011199999999999988,0.0206,0,0,0,0,0
84,0,0.6325,0,0.0,0.0,0.907,0.0,0.9077,0.0,0.7291,0.0,0.9545,0,0.0,0,none,0,0.04359999999999997,0.0127,0.0,0.121,0.13779999999999998,0.079,0,0.057599999999999985,0.1062,0,0,0,0,0
85,0,0.5568,0,0.0,0.0,0.5181,0.0,0.6943,0.0,0.9136,0.0,1.161,0,0.0,0,none,0,-0.21339999999999992,0.0624,0.0,-0.2569999999999999,-0.07569999999999999,0.0434,0,0.20650000000000002,0.3809,0,0,0,0,0
86,0,0.9052,0,0.0,0.0,1.1993,0.0,3.3692,1.0,0.0,0.0,0.6861,0,0.5,1,low,0,2.6749,0.7838,0.0,2.8883,0.34840000000000004,0.1998,0,-0.4749,0.8761,0,0,0,0,0
87,0,0.6792,0,0.0,0.0,0.1218,0.0,1.4946,0.0,0.0,0.0,0.9022,0,0.0,0,none,0,-1.8746000000000003,0.5493,0.0,-4.5495,-0.22599999999999998,0.1296,0,0.21609999999999996,0.3986,0,0,0,0,0
88,0,0.6388,0,0.0,0.0,1.8107,0.0,1.4583,0.0,0.0,0.0,0.7535,0,0.0,0,none,0,-0.0363,0.0105,0.0,1.8383000000000003,-0.04039999999999999,0.0231,0,-0.14870000000000005,0.2743,0,0,0,0,0
89,0,1.8352,0,0.0,0.0,2.0178,0.0,2.5029,0.0,0.0,0.0,0.6184,0,0.0,0,none,0,1.0446,0.306,0.0,1.0809,1.1964,0.6863,0,-0.1351,0.2492,0,0,0,0,0
90,0,0.6783,0,0.0,0.0,1.5367,0.0,1.1188,0.0,0.0,0.0,0.8693,0,0.0,0,none,0,-1.3840999999999999,0.4055,0.0,-2.4287,-1.1568999999999998,0.6637,0,0.2509,0.4628,0,0,0,0,0
91,0,0.6389,0,0.0,0.0,0.8043,0.0,0.3244,0.0,0.6379,0.0,0.7979,0,0.0,0,none,0,-0.7944,0.2327,0.0,0.5896999999999999,-0.03939999999999999,0.0225,0,-0.07139999999999991,0.1316,0,0,0,0,0
92,0,0.6999,0,0.0,0.0,1.3312,0.0,0.8641,0.0,0.0,0.0,0.6183,0,0.0,0,none,0,0.5397,0.1581,0.0,1.3340999999999998,0.06099999999999994,0.0349,0,-0.1796000000000001,0.3313,0,0,0,0,0
93,0,0.6829,0,0.0,0.0,1.8792,0.0,1.9485,0.0,0.0,0.0,0.6536,0,0.0,0,none,0,1.0844,0.3177,0.0,0.5447000000000001,-0.017000000000000015,0.0097,0,0.0353,0.065,0,0,0,0,0
94,0,0.5567,0,0.0,0.0,1.0273,0.0,1.0883,0.0,0.7291,0.0,0.7616,0,0.0,0,none,0,-0.8601999999999999,0.252,0.0,-1.9445999999999999,-0.12619999999999998,0.0723,0,0.1080000000000001,0.1992,0,0,0,0,0
95,0,0.8933,0,0.0,0.0,0.4517,0.0,0.7966,0.0,0.3644,0.0,0.6511,0,0.0,0,none,0,-0.29170000000000007,0.0854,0.0,0.5684999999999998,0.3366,0.193,0,-0.11050000000000004,0.2038,0,0,0,0,0
96,0,2.1374,0,0.0,0.0,1.2031,0.0,1.1411,0.0,0.3644,0.0,0.7485,0,0.0,0,none,0,0.34450000000000003,0.1009,0.0,0.6362000000000001,1.2441,0.7137,0,0.09740000000000004,0.1796,0,0,0,0,0
97,0,2.2797,0,0.0,0.0,2.0178,0.0,1.1412,0.0,0.6379,0.0,0.8785,0,0.0,0,none,0,9.999999999998899e-05,-0.0001,0.0,-0.34440000000000004,0.1423000000000001,0.0816,0,0.1299999999999999,0.2398,0,0,0,0,0
98,0,1.0626,0,0.0,0.0,0.9976,0.0,1.1345,0.0,0.2732,0.0,0.6184,0,0.0,0,none,0,-0.006699999999999928,0.0019,0.0,-0.006799999999999917,-1.2171,0.6982,0,-0.2601,0.4798,0,0,0,0,0
99,0,0.8349,0,0.0,0.0,1.1761,0.0,0.8174,0.0,0.1863,0.0,0.5449,0,0.0,0,none,0,-0.31710000000000005,0.0928,0.0,-0.3104000000000001,-0.2277,0.1306,0,-0.0734999999999999,0.1355,0,0,0,0,0
100,0,0.8884,0,0.0,0.0,0.8462,0.0,1.642,0.0,0.0,0.0,0.8099,0,0.0,0,none,0,0.8245999999999999,0.2416,0.0,1.1417,0.05349999999999999,0.0306,0,0.2649999999999999,0.4888,0,0,0,0,0
101,0,0.6456,0,0.0,0.0,1.0572,0.0,1.4022,0.0,0.0,0.0,0.6475,0,0.0,0,none,0,-0.2398,0.0702,0.0,-1.0644,-0.24280000000000002,0.1392,0,-0.1624,0.2995,0,0,0,0,0
102,0,0.6361,0,0.0,0.0,0.7147,0.0,0.6946,0.0,0.0,0.0,0.7573,0,0.0,0,none,0,-0.7075999999999999,0.2073,0.0,-0.4677999999999999,-0.009499999999999953,0.0054,0,0.10980000000000001,0.2025,0,0,0,0,0
103,0,0.8533,0,0.0,0.0,0.622,0.0,1.9745,0.0,0.3644,0.0,0.6509,0,0.0,0,none,0,1.2799,0.375,0.0,1.9874999999999998,0.21719999999999995,0.1245,0,-0.10639999999999994,0.1962,0,0,0,0,0
104,0,0.4569,0,0.0,0.0,0.9887,0.0,0.9812,0.0,0.6379,0.0,0.5822,0,0.0,0,none,0,-0.9933,0.291,0.0,-2.2732,-0.3964,0.2273,0,-0.06869999999999998,0.1267,0,0,0,0,0
105,0,0.6726,0,0.0,0.0,1.2716,0.0,2.3617,0.0,0.0,0.0,0.8145,0,0.0,0,none,0,1.3805,0.4045,0.0,2.3738,0.2157,0.1237,0,0.23229999999999995,0.4285,0,0,0,0,0
106,0,0.6952,0,0.0,0.0,1.3997,0.0,0.949,0.0,0.0,0.0,0.557,0,0.0,0,none,0,-1.4127,0.4139,0.0,-2.7932,0.022600000000000064,0.0129,0,-0.25749999999999995,0.475,0,0,0,0,0
107,0,0.6762,0,0.0,0.0,1.7422,0.0,1.4583,0.0,0.6379,0.0,0.9048,0,0.0,0,none,0,0.5093,0.1492,0.0,1.9220000000000002,-0.019000000000000017,0.0108,0,0.3478,0.6416,0,0,0,0,0
