window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_byte_volume,z_bwd_byte_volume,z_flow_bytes_per_s,z_flow_packets_per_s,z_avg_packet_size
97,0,2.2797,0.7483,0,s1,0.2822,0.0519,0.1525,2.2797,0.9752
98,0,1.0626,0.4878,0,s1,0.2763,0.0518,0.1785,1.0626,0.8698
99,0,0.8349,0.4035,0,s1,0.26,0.047,0.1581,0.8349,0.7174
100,0,0.8884,0.391,0,s1,0.1333,0.0254,0.3516,0.5565,0.8884
101,0,0.6456,0.2214,0,s1,0.0048,0.0079,0.2951,0.6456,0.1536
102,0,0.6361,0.2614,0,s1,0.2133,0.0484,0.3489,0.6361,0.0605
103,0,0.8533,0.3564,0,s1,0.1917,0.0376,0.1898,0.5098,0.8533
104,0,0.4569,0.1781,0,s1,0.0546,0.0374,0.2978,0.4569,0.0439
105,0,0.6726,0.2607,0,s1,0.1023,0.0464,0.3355,0.6726,0.1469
106,0,0.6952,0.2382,0,s1,0.087,0.0095,0.3579,0.6952,0.0413
107,0,0.6762,0.3396,0,s1,0.2673,0.0515,0.3442,0.6762,0.3589
108,0,0.6774,0.3226,0,s1,0.1874,0.0508,0.3467,0.6774,0.3507
109,0,0.579,0.2562,0,s1,0.0811,0.0442,0.327,0.579,0.2498
110,0,0.1551,0.0823,0,s1,0.1105,0.0368,0.1551,0.0035,0.1056
111,0,0.6589,0.3277,0,s1,0.2658,0.0512,0.348,0.6589,0.3146
112,0,0.2495,0.1423,0,s1,0.1429,0.0486,0.2495,0.0498,0.2207
113,0,0.9797,0.4237,0,s1,0.1458,0.0519,0.0638,0.9797,0.8775
114,0,2.4249,0.6326,0,s1,0.1693,0.0485,2.4249,0.24,0.2805
115,0,0.551,0.2993,0,s1,0.2249,0.0508,0.1763,0.551,0.4936
116,0,0.9216,0.3189,0,s1,0.2666,0.0517,0.0557,0.299,0.9216
117,0,1.0438,0.4015,0,s1,0.1933,0.0508,0.0291,1.0438,0.6904
118,0,0.3193,0.1721,0,s1,0.1001,0.0458,0.2962,0.3193,0.099
119,0,0.4352,0.2565,0,s1,0.2545,0.051,0.1469,0.4352,0.3949
120,0,0.7913,0.3741,0,s1,0.2216,0.0627,0.2112,0.5839,0.7913
121,0,0.605,0.2579,0,s1,0.1344,0.0374,0.2291,0.605,0.2836
122,0,0.5643,0.3247,0,s1,0.2691,0.0515,0.1822,0.5566,0.5643
123,0,0.3319,0.1793,0,s1,0.1296,0.0487,0.2542,0.3319,0.1321
124,0,0.2191,0.1445,0,s1,0.2191,0.0495,0.1084,0.213,0.1327
125,0,0.2076,0.1209,0,s1,0.1137,0.0471,0.2076,0.1784,0.0577
126,0,1.7253,0.5858,0,s1,0.2702,0.0513,0.1982,1.7253,0.6842
127,0,2.6342,0.8939,0,s1,0.1506,0.0517,2.6342,1.0145,0.6184
128,0,0.3411,0.1822,0,s1,0.0045,0.0207,0.2708,0.3411,0.274
129,0,0.8297,0.3892,0,s1,0.2801,0.0516,0.115,0.6696,0.8297
130,0,0.2454,0.1323,0,s1,0.1394,0.0425,0.2454,0.0977,0.1364
131,0,0.6152,0.241,0,s1,0.1868,0.0379,0.2619,0.6152,0.1033
132,0,0.6301,0.2147,0,s1,0.1201,0.0406,0.2734,0.6301,0.0094
133,0,0.4587,0.2069,0,s1,0.1485,0.0451,0.2325,0.4587,0.1498
134,0,0.6633,0.2434,0,s1,0.177,0.0458,0.3193,0.6633,0.0117
135,0,0.2641,0.1921,0,s1,0.2323,0.0495,0.1618,0.2641,0.2527
136,0,0.5616,0.2266,0,s1,0.1687,0.0398,0.2922,0.5616,0.0708
137,0,0.6306,0.3145,0,s1,0.0867,0.0274,0.3143,0.6306,0.5134
138,0,1.23,0.4059,0,s1,0.1511,0.0268,0.2309,0.3907,1.23
139,0,0.5442,0.2909,0,s1,0.0707,0.0353,0.3355,0.5442,0.4687
140,0,0.4757,0.2376,0,s1,0.1825,0.0486,0.2798,0.4757,0.2016
141,0,2.4335,0.7146,0,s1,0.0932,0.0515,2.4335,0.4245,0.5704
142,0,0.7644,0.2405,0,s1,0.1165,0.0518,0.2566,0.0131,0.7644
143,0,0.7378,0.2585,0,s1,0.2594,0.0516,0.1739,0.0698,0.7378
144,0,0.6645,0.3403,0,s1,0.2564,0.0515,0.1414,0.5875,0.6645
145,0,1.7537,0.6142,0,s1,0.2142,0.042,0.6558,1.7537,0.4052
146,0,0.5478,0.2191,0,s1,0.1446,0.0504,0.1691,0.1834,0.5478
147,0,0.5825,0.2296,0,s1,0.1221,0.0507,0.278,0.1146,0.5825
148,0,0.794,0.3873,0,s1,0.2494,0.0515,0.126,0.7157,0.794
149,0,2.3565,0.7602,0,s1,0.237,0.0517,0.2991,2.3565,0.8568
150,0,9.0101,1.9521,1,s1,0.0097,0.0472,9.0101,0.5804,0.1131
151,0,0.6613,0.3295,0,s1,0.1019,0.01,0.3555,0.6613,0.5189
152,0,1.0003,0.4486,0,s1,0.2,0.0011,0.3557,0.6859,1.0003
153,0,0.6838,0.2604,0,s1,0.1636,0.0441,0.3453,0.6838,0.0652
154,0,0.3437,0.1906,0,s1,0.1771,0.0383,0.3437,0.1497,0.2442
155,0,0.8054,0.4467,0,s1,0.3334,0.0248,0.3692,0.7007,0.8054
156,0,0.5905,0.3085,0,s1,0.2721,0.0514,0.2629,0.5905,0.3654
157,0,0.6606,0.3345,0,s1,0.2128,0.0512,0.3251,0.6606,0.4229
158,0,0.7031,0.3049,0,s1,0.2399,0.0461,0.3739,0.7031,0.1616
159,0,0.6997,0.3151,0,s1,0.2353,0.0511,0.3672,0.6997,0.2224
160,0,0.6982,0.2979,0,s1,0.2736,0.0515,0.3623,0.6982,0.1038
161,0,0.5769,0.3049,0,s1,0.273,0.0514,0.3334,0.5769,0.2896
162,0,0.6686,0.3502,0,s1,0.2692,0.0514,0.3343,0.6686,0.4276
163,0,0.6557,0.3427,0,s1,0.2668,0.0513,0.3409,0.6557,0.3989
164,0,1.9687,0.6288,0,s1,0.094,0.0174,0.3677,0.6963,1.9687
165,0,0.68,0.3815,0,s1,0.1439,0.1082,0.3317,0.68,0.6437
166,0,0.464,0.222,0,s1,0.2014,0.0364,0.296,0.464,0.112
167,0,0.5133,0.2538,0,s1,0.2496,0.0514,0.2918,0.1627,0.5133
168,0,0.4871,0.3026,0,s1,0.2246,0.0489,0.3522,0.4871,0.4004
169,0,0.6663,0.3423,0,s1,0.1783,0.0511,0.3632,0.6663,0.4527
170,0,0.8197,0.3245,0,s1,0.2664,0.0515,0.3041,0.1806,0.8197
171,0,0.9497,0.4078,0,s1,0.2347,0.0517,0.2537,0.5492,0.9497
172,0,0.8194,0.3156,0,s1,0.2116,0.0511,0.3655,0.1306,0.8194
173,0,0.3644,0.19,0,s1,0.0545,0.0507,0.2927,0.1878,0.3644
174,0,0.6292,0.3493,0,s1,0.1662,0.0507,0.3538,0.6292,0.5468
175,0,2.7699,0.8075,0,s1,0.0324,0.051,2.7699,0.7879,0.3961
176,0,0.4323,0.2533,0,s1,0.2267,0.0507,0.2063,0.3506,0.4323
177,0,0.7248,0.233,0,s1,0.1734,0.0513,0.202,0.0134,0.7248
178,0,1.5022,0.652,0,s1,0.1925,0.0513,0.7345,1.5022,0.7794
179,0,0.2436,0.1274,0,s1,0.1351,0.0246,0.209,0.2436,0.0247
180,0,2.4753,0.7165,0,s1,0.045,0.0017,0.3661,0.6946,2.4753
181,0,0.6722,0.3467,0,s1,0.1043,0.0271,0.3145,0.6722,0.6156
182,0,0.5685,0.2193,0,s1,0.045,0.045,0.3177,0.5685,0.1203
183,0,0.4603,0.1906,0,s1,0.1227,0.0459,0.2749,0.4603,0.049
184,0,0.444,0.2789,0,s1,0.3058,0.0382,0.2752,0.444,0.3313
185,0,0.6482,0.2937,0,s1,0.0394,0.1953,0.0563,0.6482,0.5294
186,0,0.9772,0.3949,0,s1,0.2247,0.0455,0.3966,0.9772,0.3303
187,0,0.5929,0.2322,0,s1,0.0567,0.0485,0.3189,0.5929,0.1439
188,0,0.6887,0.2761,0,s1,0.0409,0.0438,0.3724,0.6887,0.2348
189,0,0.4804,0.2468,0,s1,0.2381,0.0513,0.239,0.2252,0.4804
190,0,0.5411,0.2053,0,s1,0.2122,0.0505,0.2059,0.0166,0.5411
191,0,0.6352,0.2519,0,s1,0.0886,0.049,0.3412,0.6352,0.1453
192,0,0.6843,0.3218,0,s1,0.0659,0.0449,0.3441,0.6843,0.4696
193,0,0.5982,0.3131,0,s1,0.261,0.0514,0.2239,0.5982,0.431
194,0,0.3674,0.2257,0,s1,0.0876,0.0499,0.2587,0.3674,0.3651
195,0,1.5666,0.5126,0,s1,0.2593,0.051,0.0237,1.5666,0.6626
196,0,0.521,0.1843,0,s1,0.2661,0.0506,0.0328,0.0512,0.521
197,0,0.9028,0.4394,0,s1,0.2565,0.0516,0.1499,0.9028,0.8361
198,0,0.7896,0.2721,0,s1,0.2264,0.051,0.104,0.1895,0.7896
199,0,0.7163,0.3528,0,s1,0.0543,0.0017,0.3344,0.6571,0.7163
200,0,0.7882,0.436,0,s1,0.1638,0.2218,0.3335,0.6728,0.7882
201,0,0.6389,0.3259,0,s1,0.2325,0.0511,0.2907,0.6389,0.4163
202,0,0.6784,0.3344,0,s1,0.1332,0.026,0.3503,0.6784,0.4841
203,0,0.6666,0.243,0,s1,0.0795,0.0506,0.3435,0.6666,0.075
204,0,0.7161,0.3377,0,s1,0.234,0.0517,0.1946,0.4923,0.7161
205,0,0.6688,0.3336,0,s1,0.268,0.0515,0.3164,0.3635,0.6688
206,0,0.6337,0.3673,0,s1,0.2685,0.0517,0.3147,0.568,0.6337
207,0,0.6657,0.3622,0,s1,0.266,0.0517,0.3075,0.5203,0.6657
208,0,0.6405,0.2979,0,s1,0.0391,0.0456,0.3267,0.6405,0.4378
209,0,0.6885,0.2635,0,s1,0.1194,0.0467,0.3523,0.6885,0.1107
210,0,0.453,0.2594,0,s1,0.2626,0.0513,0.1757,0.453,0.3542
211,0,0.6088,0.2956,0,s1,0.2072,0.051,0.2291,0.6088,0.3819
212,0,0.4514,0.1656,0,s1,0.1529,0.0509,0.0986,0.0742,0.4514
213,0,0.885,0.4097,0,s1,0.2413,0.0509,0.2426,0.885,0.6285
214,0,2.4621,0.5882,0,s1,0.0948,0.047,2.4621,0.1007,0.2365
215,0,2.2611,0.7022,0,s1,0.1653,0.0213,0.3672,0.696,2.2611
216,0,0.6222,0.2557,0,s1,0.1912,0.0448,0.2798,0.6222,0.1403
217,0,0.6519,0.2547,0,s1,0.1532,0.0453,0.3013,0.6519,0.1216
218,0,0.6562,0.3304,0,s1,0.2573,0.0509,0.3467,0.6562,0.3408
219,0,0.6089,0.2297,0,s1,0.1842,0.0483,0.2508,0.6089,0.0562
220,0,0.4934,0.2155,0,s1,0.0865,0.0443,0.2343,0.4934,0.2189
221,0,0.6782,0.3148,0,s1,0.258,0.0502,0.3432,0.6782,0.2446
222,0,0.6288,0.2391,0,s1,0.041,0.0366,0.2737,0.6288,0.2154
223,0,0.6732,0.3141,0,s1,0.1128,0.0352,0.3459,0.6732,0.4032
224,0,0.6303,0.2336,0,s1,0.2146,0.0462,0.2644,0.6303,0.0124
225,0,0.4911,0.2047,0,s1,0.148,0.0446,0.2499,0.4911,0.0899
226,0,0.4746,0.1987,0,s1,0.2215,0.0488,0.2331,0.4746,0.0155
227,0,0.3192,0.157,0,s1,0.1666,0.0485,0.2421,0.3192,0.0087
228,0,0.6149,0.311,0,s1,0.093,0.0367,0.3077,0.6149,0.5029
229,0,0.4112,0.1857,0,s1,0.2139,0.0486,0.2419,0.4112,0.0131
230,0,0.63,0.2967,0,s1,0.2394,0.0507,0.2697,0.63,0.2938
231,0,0.584,0.205,0,s1,0.1272,0.0406,0.1819,0.0912,0.584
232,0,0.5499,0.2703,0,s1,0.1831,0.0434,0.3265,0.5499,0.2484
233,0,0.399,0.1863,0,s1,0.1506,0.0439,0.2115,0.1267,0.399
234,0,0.5825,0.2847,0,s1,0.2189,0.0492,0.3212,0.5825,0.2515
235,0,0.5945,0.3089,0,s1,0.219,0.0515,0.0863,0.5945,0.5934
236,0,0.3811,0.1905,0,s1,0.2062,0.0502,0.092,0.3811,0.2229
237,0,0.2103,0.1343,0,s1,0.1944,0.0768,0.2103,0.1446,0.0453
238,0,0.7474,0.3597,0,s1,0.0569,0.0169,0.3382,0.6389,0.7474
239,0,0.236,0.1513,0,s1,0.1414,0.0402,0.2304,0.236,0.1085
240,0,0.3822,0.1641,0,s1,0.0244,0.0251,0.1214,0.2673,0.3822
241,0,0.6419,0.2823,0,s1,0.0543,0.0357,0.31,0.6419,0.3696
242,0,0.5465,0.2161,0,s1,0.12,0.0463,0.3333,0.5465,0.0346
243,0,0.3747,0.1307,0,s1,0.1207,0.0477,0.0436,0.3747,0.0669
244,0,0.527,0.1961,0,s1,0.113,0.0437,0.262,0.527,0.0348
245,0,0.6422,0.2794,0,s1,0.2585,0.0241,0.3105,0.6422,0.1617
246,0,0.3624,0.154,0,s1,0.1536,0.0475,0.1096,0.3624,0.0971
247,0,0.4638,0.2057,0,s1,0.1124,0.043,0.0597,0.4638,0.3495
248,0,0.5221,0.249,0,s1,0.187,0.0468,0.3134,0.5221,0.1758
249,0,2.681,1.2191,0,s1,0.2599,0.0517,2.4293,2.681,0.6735
250,0,0.4196,0.2275,0,s1,0.1241,0.0497,0.2785,0.2657,0.4196
251,0,0.6768,0.3065,0,s1,0.2848,0.0471,0.3415,0.6768,0.1825
252,0,0.6225,0.242,0,s1,0.155,0.047,0.245,0.6225,0.1405
253,0,2.4457,0.5443,0,s1,0.0303,0.0509,2.4457,0.106,0.0885
254,0,0.6806,0.2764,0,s1,0.151,0.0477,0.3559,0.6806,0.147
255,0,2.508,0.636,0,s1,0.0968,0.0513,2.508,0.0649,0.4588
256,0,1.1306,0.4446,0,s1,0.045,0.0119,0.3557,0.6799,1.1306
257,0,0.6645,0.2894,0,s1,0.2471,0.0481,0.3056,0.6645,0.1815
258,0,1.8112,0.6041,0,s1,0.1232,0.0613,0.3448,0.68,1.8112
259,0,0.3218,0.2281,0,s1,0.2218,0.0463,0.2474,0.3218,0.3031
260,0,0.2041,0.1163,0,s1,0.2041,0.042,0.1514,0.021,0.1628
261,0,0.6783,0.417,0,s1,0.4728,0.0456,0.336,0.6783,0.5521
262,0,0.6456,0.2954,0,s1,0.2452,0.0513,0.2693,0.2654,0.6456
263,0,0.6974,0.2722,0,s1,0.1144,0.0436,0.3672,0.6974,0.1382
264,0,0.6465,0.3236,0,s1,0.2664,0.0514,0.3107,0.6465,0.3431
265,0,0.4863,0.3074,0,s1,0.2542,0.0513,0.2609,0.4863,0.4842
266,0,0.6766,0.302,0,s1,0.2312,0.0449,0.3697,0.6766,0.1877
267,0,0.6371,0.2935,0,s1,0.2508,0.0511,0.2682,0.6371,0.2601
268,0,0.3525,0.1502,0,s1,0.1792,0.0461,0.0844,0.3525,0.0887
269,0,0.6979,0.2527,0,s1,0.0722,0.0474,0.3619,0.6979,0.0841
270,0,0.3997,0.1873,0,s1,0.1197,0.0707,0.2097,0.3997,0.1368
271,0,0.343,0.1924,0,s1,0.2192,0.0493,0.232,0.343,0.1185
272,0,0.8998,0.3102,0,s1,0.1326,0.0432,0.8998,0.3882,0.0874
273,0,0.6175,0.2841,0,s1,0.2557,0.0497,0.2443,0.6175,0.2532
274,0,0.5063,0.2957,0,s1,0.2196,0.0505,0.3042,0.5063,0.3981
275,0,0.6496,0.3236,0,s1,0.2605,0.0515,0.3113,0.6496,0.3453
276,0,0.4263,0.2416,0,s1,0.2208,0.0511,0.2656,0.4263,0.244
277,0,0.6713,0.2579,0,s1,0.2153,0.0491,0.3472,0.6713,0.0065
278,0,0.376,0.1885,0,s1,0.2291,0.0504,0.0773,0.2096,0.376
279,0,0.3766,0.2062,0,s1,0.2464,0.0496,0.2183,0.1399,0.3766
280,0,0.4877,0.2293,0,s1,0.1948,0.0507,0.2094,0.204,0.4877
281,0,0.5352,0.2632,0,s1,0.0112,0.0013,0.3451,0.5352,0.4233
282,0,0.6252,0.2601,0,s1,0.0868,0.0007,0.3143,0.6252,0.2737
283,0,13.8024,3.0283,1,s1,0.0425,0.0495,13.8024,1.0811,0.166
284,0,0.6665,0.3266,0,s1,0.261,0.0513,0.2848,0.3694,0.6665
285,0,2.2613,0.7101,0,s1,0.1816,0.0461,0.8727,2.2613,0.1888
286,0,0.6308,0.2484,0,s1,0.015,0.0031,0.2886,0.6308,0.3044
287,0,0.5014,0.2979,0,s1,0.2331,0.0506,0.246,0.4585,0.5014
288,0,0.6176,0.2341,0,s1,0.0897,0.041,0.2945,0.6176,0.1279
289,0,0.4751,0.2206,0,s1,0.0063,0.0476,0.2841,0.4751,0.2898
290,0,0.6452,0.3185,0,s1,0.1704,0.0087,0.2691,0.6452,0.499
291,0,0.5641,0.2149,0,s1,0.2705,0.0515,0.1348,0.0535,0.5641
292,0,0.5412,0.2596,0,s1,0.1399,0.0495,0.3529,0.5412,0.2143
293,0,0.5541,0.1868,0,s1,0.0006,0.041,0.323,0.5541,0.0154
294,0,0.3053,0.1481,0,s1,0.0976,0.051,0.2529,0.0335,0.3053
295,0,0.3371,0.1645,0,s1,0.1531,0.0448,0.2107,0.0766,0.3371
296,0,0.5072,0.2877,0,s1,0.1774,0.051,0.2771,0.5072,0.4259
297,0,0.4324,0.1987,0,s1,0.1427,0.0502,0.3247,0.4324,0.0437
298,0,1.4855,0.3915,0,s1,0.0229,0.0514,1.4855,0.1346,0.2631
299,0,0.271,0.1315,0,s1,0.0458,0.0503,0.271,0.1879,0.1024
300,0,0.6501,0.2455,0,s1,0.1162,0.0515,0.3466,0.6501,0.0631
301,0,0.5303,0.1906,0,s1,0.0875,0.05,0.1348,0.5303,0.1502
302,0,3.1128,0.7691,1,s1,0.0942,0.0508,3.1128,0.4734,0.1145
303,0,1.3949,0.5863,0,s1,0.1035,0.0506,1.3949,0.7724,0.6103
304,0,0.5414,0.1728,0,s1,0.0893,0.0482,0.1833,0.5414,0.0019
305,0,0.6757,0.3832,0,s1,0.5368,0.0399,0.3273,0.6757,0.3365
306,0,0.6642,0.2896,0,s1,0.1188,0.0392,0.3078,0.6642,0.3178
307,0,0.6816,0.2744,0,s1,0.1387,0.0511,0.3543,0.6816,0.1461
308,0,9.1321,2.0902,1,s1,0.1015,0.0513,9.1321,0.9693,0.1967
309,0,0.7392,0.2605,0,s1,0.0959,0.0633,0.2389,0.1651,0.7392
310,0,0.3761,0.2261,0,s1,0.1989,0.0293,0.2749,0.2514,0.3761
311,0,0.8693,0.41,0,s1,0.086,0.0246,0.3691,0.7011,0.8693
312,0,0.6815,0.3165,0,s1,0.2717,0.0515,0.3506,0.6815,0.2272
313,0,0.6229,0.2755,0,s1,0.2443,0.0468,0.3157,0.6229,0.148
314,0,0.4265,0.2082,0,s1,0.352,0.0388,0.13,0.0937,0.4265
315,0,0.6917,0.278,0,s1,0.2116,0.0448,0.3578,0.6917,0.0841
316,0,0.4936,0.2912,0,s1,0.2696,0.0513,0.2478,0.4936,0.3938
317,0,0.6245,0.2114,0,s1,0.0019,0.0478,0.325,0.6245,0.0578
318,0,0.6594,0.2489,0,s1,0.0489,0.0503,0.3018,0.6594,0.1843
