window,label,max_zscore,mean_zscore,is_anomaly,sig_key,z_auth_flow_count,z_syn_flag_sum
308,0,0.3362,0.196,0,s2,0.3362,0.0558
323,0,0.3362,0.196,0,s2,0.3362,0.0558
324,0,0.3362,0.196,0,s2,0.3362,0.0558
338,0,0.7618,0.4088,0,s2,0.7618,0.0558
353,0,0.3362,0.196,0,s2,0.3362,0.0558
359,0,0.8853,0.4706,0,s2,0.8853,0.0558
360,0,0.2128,0.1343,0,s2,0.2128,0.0558
424,0,0.3362,0.196,0,s2,0.3362,0.0558
426,0,0.2128,0.1343,0,s2,0.2128,0.0558
427,0,0.3362,0.196,0,s2,0.3362,0.0558
430,0,0.3362,0.196,0,s2,0.3362,0.0558
431,0,0.3362,0.196,0,s2,0.3362,0.0558
434,0,0.3362,0.196,0,s2,0.3362,0.0558
446,0,0.3362,0.196,0,s2,0.3362,0.0558
451,0,0.8853,0.4706,0,s2,0.8853,0.0558
452,0,0.8853,0.4706,0,s2,0.8853,0.0558
456,0,0.7618,0.4088,0,s2,0.7618,0.0558
459,0,0.3362,0.196,0,s2,0.3362,0.0558
462,0,1.3108,0.6833,0,s2,1.3108,0.0558
463,0,0.8853,0.4706,0,s2,0.8853,0.0558
464,0,0.3362,0.196,0,s2,0.3362,0.0558
472,0,0.3362,0.196,0,s2,0.3362,0.0558
481,0,0.7618,0.4088,0,s2,0.7618,0.0558
502,0,0.3362,0.196,0,s2,0.3362,0.0558
506,0,0.7618,0.4088,0,s2,0.7618,0.0558
507,0,0.7618,0.4088,0,s2,0.7618,0.0558
508,0,0.8853,0.4706,0,s2,0.8853,0.0558
509,0,0.2128,0.1343,0,s2,0.2128,0.0558
528,0,0.8853,0.4706,0,s2,0.8853,0.0558
529,0,0.2128,0.1343,0,s2,0.2128,0.0558
533,0,0.8853,0.4706,0,s2,0.8853,0.0558
534,0,0.8853,0.4706,0,s2,0.8853,0.0558
535,0,2.9579,1.5068,0,s2,2.9579,0.0558
536,0,0.3362,0.196,0,s2,0.3362,0.0558
539,0,0.3362,0.196,0,s2,0.3362,0.0558
540,0,0.3362,0.196,0,s2,0.3362,0.0558
541,0,1.8599,0.9578,0,s2,1.8599,0.0558
554,0,0.8853,0.4706,0,s2,0.8853,0.0558
555,0,0.3362,0.196,0,s2,0.3362,0.0558
557,0,0.8853,0.4706,0,s2,0.8853,0.0558
584,0,0.8853,0.4706,0,s2,0.8853,0.0558
585,0,0.8853,0.4706,0,s2,0.8853,0.0558
587,0,0.3362,0.196,0,s2,0.3362,0.0558
599,0,0.7618,0.4088,0,s2,0.7618,0.0558
600,0,1.3108,0.6833,0,s2,1.3108,0.0558
601,0,0.8853,0.4706,0,s2,0.8853,0.0558
602,0,0.7618,0.4088,0,s2,0.7618,0.0558
622,0,0.7618,0.4088,0,s2,0.7618,0.0558
623,0,1.8599,0.9578,0,s2,1.8599,0.0558
630,0,0.8853,0.4706,0,s2,0.8853,0.0558
633,0,0.3362,0.196,0,s2,0.3362,0.0558
636,0,0.8853,0.4706,0,s2,0.8853,0.0558
675,0,0.8853,0.4706,0,s2,0.8853,0.0558
676,0,0.3362,0.196,0,s2,0.3362,0.0558
677,0,0.8853,0.4706,0,s2,0.8853,0.0558
682,0,1.3108,0.6833,0,s2,1.3108,0.0558
686,0,0.3362,0.196,0,s2,0.3362,0.0558
687,0,0.8853,0.4706,0,s2,0.8853,0.0558
697,0,0.8853,0.4706,0,s2,0.8853,0.0558
698,0,0.8853,0.4706,0,s2,0.8853,0.0558
710,0,2.9579,1.5068,0,s2,2.9579,0.0558
720,0,0.7618,0.4088,0,s2,0.7618,0.0558
721,0,0.3362,0.196,0,s2,0.3362,0.0558
733,0,0.3362,0.196,0,s2,0.3362,0.0558
741,0,0.3362,0.196,0,s2,0.3362,0.0558
743,0,0.8853,0.4706,0,s2,0.8853,0.0558
744,0,0.3362,0.196,0,s2,0.3362,0.0558
745,0,0.8853,0.4706,0,s2,0.8853,0.0558
749,0,0.2128,0.1343,0,s2,0.2128,0.0558
750,0,0.8853,0.4706,0,s2,0.8853,0.0558
763,0,5.154,2.6049,1,s2,5.154,0.0558
764,0,1.8599,0.9578,0,s2,1.8599,0.0558
770,0,0.8853,0.4706,0,s2,0.8853,0.0558
771,0,0.2128,0.1343,0,s2,0.2128,0.0558
784,0,0.8853,0.4706,0,s2,0.8853,0.0558
785,0,0.8853,0.4706,0,s2,0.8853,0.0558
795,0,0.8853,0.4706,0,s2,0.8853,0.0558
796,0,0.8853,0.4706,0,s2,0.8853,0.0558
801,0,0.8853,0.4706,0,s2,0.8853,0.0558
802,0,0.8853,0.4706,0,s2,0.8853,0.0558
807,0,1.8599,0.9578,0,s2,1.8599,0.0558
809,0,0.2128,0.1343,0,s2,0.2128,0.0558
811,0,0.3362,0.196,0,s2,0.3362,0.0558
824,0,2.9579,1.5068,0,s2,2.9579,0.0558
829,0,0.3362,0.196,0,s2,0.3362,0.0558
833,0,0.8853,0.4706,0,s2,0.8853,0.0558
834,0,0.8853,0.4706,0,s2,0.8853,0.0558
836,0,1.8599,0.9578,0,s2,1.8599,0.0558
837,0,2.9579,1.5068,0,s2,2.9579,0.0558
839,0,0.2128,0.1343,0,s2,0.2128,0.0558
840,0,0.8853,0.4706,0,s2,0.8853,0.0558
855,0,1.8599,0.9578,0,s2,1.8599,0.0558
856,0,0.3362,0.196,0,s2,0.3362,0.0558
862,0,0.8853,0.4706,0,s2,0.8853,0.0558
863,0,0.2128,0.1343,0,s2,0.2128,0.0558
870,0,0.8853,0.4706,0,s2,0.8853,0.0558
872,0,0.8853,0.4706,0,s2,0.8853,0.0558
873,0,0.8853,0.4706,0,s2,0.8853,0.0558
878,0,0.8853,0.4706,0,s2,0.8853,0.0558
897,0,0.8853,0.4706,0,s2,0.8853,0.0558
898,0,0.8853,0.4706,0,s2,0.8853,0.0558
899,0,0.8853,0.4706,0,s2,0.8853,0.0558
901,0,0.8853,0.4706,0,s2,0.8853,0.0558
910,0,0.8853,0.4706,0,s2,0.8853,0.0558
911,0,1.8599,0.9578,0,s2,1.8599,0.0558
912,0,0.8853,0.4706,0,s2,0.8853,0.0558
933,0,0.2128,0.1343,0,s2,0.2128,0.0558
934,0,1.3108,0.6833,0,s2,1.3108,0.0558
961,0,0.8853,0.4706,0,s2,0.8853,0.0558
962,0,0.3362,0.196,0,s2,0.3362,0.0558
963,0,0.8853,0.4706,0,s2,0.8853,0.0558
964,0,0.2128,0.1343,0,s2,0.2128,0.0558
965,0,0.2128,0.1343,0,s2,0.2128,0.0558
970,0,0.8853,0.4706,0,s2,0.8853,0.0558
971,0,0.3362,0.196,0,s2,0.3362,0.0558
973,0,0.8853,0.4706,0,s2,0.8853,0.0558
988,0,0.8853,0.4706,0,s2,0.8853,0.0558
991,0,0.8853,0.4706,0,s2,0.8853,0.0558
992,0,0.8853,0.4706,0,s2,0.8853,0.0558
994,0,0.8853,0.4706,0,s2,0.8853,0.0558
1001,0,0.3362,0.196,0,s2,0.3362,0.0558
1005,0,0.8853,0.4706,0,s2,0.8853,0.0558
1007,0,0.8853,0.4706,0,s2,0.8853,0.0558
1008,0,0.2128,0.1343,0,s2,0.2128,0.0558
1010,0,0.8853,0.4706,0,s2,0.8853,0.0558
1015,0,0.8853,0.4706,0,s2,0.8853,0.0558
1016,0,0.8853,0.4706,0,s2,0.8853,0.0558
1031,0,0.8853,0.4706,0,s2,0.8853,0.0558
1032,0,0.3362,0.196,0,s2,0.3362,0.0558
1033,0,0.8853,0.4706,0,s2,0.8853,0.0558
1036,0,0.8853,0.4706,0,s2,0.8853,0.0558
1037,0,0.7618,0.4088,0,s2,0.7618,0.0558
1038,0,0.2128,0.1343,0,s2,0.2128,0.0558
1039,0,0.2128,0.1343,0,s2,0.2128,0.0558
1040,0,0.2128,0.1343,0,s2,0.2128,0.0558
1041,0,0.8853,0.4706,0,s2,0.8853,0.0558
1042,0,0.3362,0.196,0,s2,0.3362,0.0558
1056,0,0.2128,0.1343,0,s2,0.2128,0.0558
1062,0,0.3362,0.196,0,s2,0.3362,0.0558
1070,0,1.3108,0.6833,0,s2,1.3108,0.0558
1071,0,0.8853,0.4706,0,s2,0.8853,0.0558
1073,0,0.8853,0.4706,0,s2,0.8853,0.0558
1074,0,0.2128,0.1343,0,s2,0.2128,0.0558
1076,0,0.3362,0.196,0,s2,0.3362,0.0558
1093,0,0.3362,0.196,0,s2,0.3362,0.0558
1095,0,0.3362,0.196,0,s2,0.3362,0.0558
1096,0,0.3362,0.196,0,s2,0.3362,0.0558
1142,0,0.2128,0.1343,0,s2,0.2128,0.0558
1145,0,0.8853,0.4706,0,s2,0.8853,0.0558
1146,0,0.3362,0.196,0,s2,0.3362,0.0558
1157,0,0.3362,0.196,0,s2,0.3362,0.0558
1158,0,0.8853,0.4706,0,s2,0.8853,0.0558
1159,0,0.2128,0.1343,0,s2,0.2128,0.0558
1160,0,0.8853,0.4706,0,s2,0.8853,0.0558
1161,0,0.8853,0.4706,0,s2,0.8853,0.0558
1171,0,0.3362,0.196,0,s2,0.3362,0.0558
1172,0,0.8853,0.4706,0,s2,0.8853,0.0558
1174,0,0.3362,0.196,0,s2,0.3362,0.0558
1175,0,0.3362,0.196,0,s2,0.3362,0.0558
1180,0,2.4089,1.2324,0,s2,2.4089,0.0558
1181,0,0.8853,0.4706,0,s2,0.8853,0.0558
1190,0,0.7618,0.4088,0,s2,0.7618,0.0558
1192,0,0.8853,0.4706,0,s2,0.8853,0.0558
1193,0,1.3108,0.6833,0,s2,1.3108,0.0558
1194,0,1.3108,0.6833,0,s2,1.3108,0.0558
1195,0,0.8853,0.4706,0,s2,0.8853,0.0558
1204,0,1.8599,0.9578,0,s2,1.8599,0.0558
1208,0,0.2128,0.1343,0,s2,0.2128,0.0558
1210,0,1.3108,0.6833,0,s2,1.3108,0.0558
1215,0,0.3362,0.196,0,s2,0.3362,0.0558
1216,0,0.3362,0.196,0,s2,0.3362,0.0558
1220,0,0.8853,0.4706,0,s2,0.8853,0.0558
1221,0,0.8853,0.4706,0,s2,0.8853,0.0558
1228,0,0.3362,0.196,0,s2,0.3362,0.0558
1229,0,1.8599,0.9578,0,s2,1.8599,0.0558
1233,0,1.8599,0.9578,0,s2,1.8599,0.0558
1234,0,0.2128,0.1343,0,s2,0.2128,0.0558
1236,0,0.8853,0.4706,0,s2,0.8853,0.0558
1262,0,0.3362,0.196,0,s2,0.3362,0.0558
1263,0,0.8853,0.4706,0,s2,0.8853,0.0558
1264,0,0.3362,0.196,0,s2,0.3362,0.0558
1266,0,0.3362,0.196,0,s2,0.3362,0.0558
1267,0,0.3362,0.196,0,s2,0.3362,0.0558
1269,0,0.8853,0.4706,0,s2,0.8853,0.0558
1272,0,0.3362,0.196,0,s2,0.3362,0.0558
1288,0,0.3362,0.196,0,s2,0.3362,0.0558
1289,0,1.3108,0.6833,0,s2,1.3108,0.0558
1290,0,0.8853,0.4706,0,s2,0.8853,0.0558
1291,0,0.7618,0.4088,0,s2,0.7618,0.0558
1292,0,0.2128,0.1343,0,s2,0.2128,0.0558
1295,0,0.8853,0.4706,0,s2,0.8853,0.0558
1296,0,1.3108,0.6833,0,s2,1.3108,0.0558
1306,0,0.8853,0.4706,0,s2,0.8853,0.0558
1307,0,0.3362,0.196,0,s2,0.3362,0.0558
1308,0,0.3362,0.196,0,s2,0.3362,0.0558
1316,0,0.3362,0.196,0,s2,0.3362,0.0558
1323,0,0.8853,0.4706,0,s2,0.8853,0.0558
1325,0,0.8853,0.4706,0,s2,0.8853,0.0558
1336,0,0.8853,0.4706,0,s2,0.8853,0.0558
1339,0,0.2128,0.1343,0,s2,0.2128,0.0558
1352,0,0.3362,0.196,0,s2,0.3362,0.0558
1354,0,0.7618,0.4088,0,s2,0.7618,0.0558
1369,0,0.3362,0.196,0,s2,0.3362,0.0558
1371,0,0.8853,0.4706,0,s2,0.8853,0.0558
1377,0,0.3362,0.196,0,s2,0.3362,0.0558
1378,0,0.3362,0.196,0,s2,0.3362,0.0558
1382,0,0.2128,0.1343,0,s2,0.2128,0.0558
1384,0,0.2128,0.1343,0,s2,0.2128,0.0558
1385,0,0.2128,0.1343,0,s2,0.2128,0.0558
1386,0,0.3362,0.196,0,s2,0.3362,0.0558
1387,0,0.3362,0.196,0,s2,0.3362,0.0558
1390,0,0.7618,0.4088,0,s2,0.7618,0.0558
1391,0,1.8599,0.9578,0,s2,1.8599,0.0558
1393,0,0.3362,0.196,0,s2,0.3362,0.0558
1394,0,0.3362,0.196,0,s2,0.3362,0.0558
1399,0,0.8853,0.4706,0,s2,0.8853,0.0558
1400,0,0.2128,0.1343,0,s2,0.2128,0.0558
1401,0,0.7618,0.4088,0,s2,0.7618,0.0558
1413,0,0.3362,0.196,0,s2,0.3362,0.0558
1414,0,0.3362,0.196,0,s2,0.3362,0.0558
1415,0,0.3362,0.196,0,s2,0.3362,0.0558
1421,0,0.2128,0.1343,0,s2,0.2128,0.0558
1422,0,0.8853,0.4706,0,s2,0.8853,0.0558
1425,0,0.3362,0.196,0,s2,0.3362,0.0558
1426,0,1.3108,0.6833,0,s2,1.3108,0.0558
1428,0,0.2128,0.1343,0,s2,0.2128,0.0558
1429,0,0.8853,0.4706,0,s2,0.8853,0.0558
1430,0,0.7618,0.4088,0,s2,0.7618,0.0558
1431,0,0.3362,0.196,0,s2,0.3362,0.0558
1438,0,0.7618,0.4088,0,s2,0.7618,0.0558
1439,0,0.3362,0.196,0,s2,0.3362,0.0558
1441,0,0.2128,0.1343,0,s2,0.2128,0.0558
1442,0,0.8853,0.4706,0,s2,0.8853,0.0558
1445,0,0.8853,0.4706,0,s2,0.8853,0.0558
1446,0,0.3362,0.196,0,s2,0.3362,0.0558
1448,0,1.3108,0.6833,0,s2,1.3108,0.0558
1449,0,0.3362,0.196,0,s2,0.3362,0.0558
1450,0,0.8853,0.4706,0,s2,0.8853,0.0558
1451,0,0.2128,0.1343,0,s2,0.2128,0.0558
1452,0,0.2128,0.1343,0,s2,0.2128,0.0558
1454,0,0.7618,0.4088,0,s2,0.7618,0.0558
1455,0,2.4089,1.2324,0,s2,2.4089,0.0558
1456,0,0.7618,0.4088,0,s2,0.7618,0.0558
1460,0,0.8853,0.4706,0,s2,0.8853,0.0558
1461,0,0.2128,0.1343,0,s2,0.2128,0.0558
1462,0,0.8853,0.4706,0,s2,0.8853,0.0558
1465,0,0.8853,0.4706,0,s2,0.8853,0.0558
1488,0,0.3362,0.196,0,s2,0.3362,0.0558
1504,0,0.8853,0.4706,0,s2,0.8853,0.0558
1506,0,0.2128,0.1343,0,s2,0.2128,0.0558
1546,0,0.3362,0.196,0,s2,0.3362,0.0558
1551,0,0.8853,0.4706,0,s2,0.8853,0.0558
1552,0,0.3362,0.196,0,s2,0.3362,0.0558
1554,0,0.8853,0.4706,0,s2,0.8853,0.0558
1561,0,0.3362,0.196,0,s2,0.3362,0.0558
1562,0,0.3362,0.196,0,s2,0.3362,0.0558
1566,0,0.2128,0.1343,0,s2,0.2128,0.0558
1567,0,0.3362,0.196,0,s2,0.3362,0.0558
1571,0,0.3362,0.196,0,s2,0.3362,0.0558
1572,0,0.3362,0.196,0,s2,0.3362,0.0558
1573,0,0.3362,0.196,0,s2,0.3362,0.0558
1576,0,0.3362,0.196,0,s2,0.3362,0.0558
1642,0,0.8853,0.4706,0,s2,0.8853,0.0558
1643,0,0.8853,0.4706,0,s2,0.8853,0.0558
1650,0,0.3362,0.196,0,s2,0.3362,0.0558
1651,0,1.8599,0.9578,0,s2,1.8599,0.0558
1666,0,0.7618,0.4088,0,s2,0.7618,0.0558
1670,0,0.8853,0.4706,0,s2,0.8853,0.0558
1671,0,0.3362,0.196,0,s2,0.3362,0.0558
1672,0,0.8853,0.4706,0,s2,0.8853,0.0558
1674,0,1.8599,0.9578,0,s2,1.8599,0.0558
1675,0,0.8853,0.4706,0,s2,0.8853,0.0558
1677,0,0.2128,0.1343,0,s2,0.2128,0.0558
1679,0,0.8853,0.4706,0,s2,0.8853,0.0558
1686,0,0.8853,0.4706,0,s2,0.8853,0.0558
1688,0,0.8853,0.4706,0,s2,0.8853,0.0558
1691,0,0.8853,0.4706,0,s2,0.8853,0.0558
1692,0,0.3362,0.196,0,s2,0.3362,0.0558
1696,0,0.8853,0.4706,0,s2,0.8853,0.0558
1706,0,1.3108,0.6833,0,s2,1.3108,0.0558
1707,0,0.8853,0.4706,0,s2,0.8853,0.0558
1708,0,0.2128,0.1343,0,s2,0.2128,0.0558
1709,0,0.2128,0.1343,0,s2,0.2128,0.0558
1711,0,0.8853,0.4706,0,s2,0.8853,0.0558
1718,0,0.3362,0.196,0,s2,0.3362,0.0558
1748,0,2.4089,1.2324,0,s2,2.4089,0.0558
1749,0,0.3362,0.196,0,s2,0.3362,0.0558
1751,0,0.3362,0.196,0,s2,0.3362,0.0558
1755,0,2.9579,1.5068,0,s2,2.9579,0.0558
1756,0,0.8853,0.4706,0,s2,0.8853,0.0558
1757,0,1.3108,0.6833,0,s2,1.3108,0.0558
1769,0,1.8599,0.9578,0,s2,1.8599,0.0558
1770,0,1.3108,0.6833,0,s2,1.3108,0.0558
1771,0,0.3362,0.196,0,s2,0.3362,0.0558
1772,0,0.3362,0.196,0,s2,0.3362,0.0558
1773,0,0.2128,0.1343,0,s2,0.2128,0.0558
1774,0,0.8853,0.4706,0,s2,0.8853,0.0558
1777,0,0.8853,0.4706,0,s2,0.8853,0.0558
1780,0,2.4089,1.2324,0,s2,2.4089,0.0558
1799,0,0.7618,0.4088,0,s2,0.7618,0.0558
1801,0,0.3362,0.196,0,s2,0.3362,0.0558
1807,0,0.7618,0.4088,0,s2,0.7618,0.0558
1808,0,0.3362,0.196,0,s2,0.3362,0.0558
1811,0,0.2128,0.1343,0,s2,0.2128,0.0558
1813,0,0.8853,0.4706,0,s2,0.8853,0.0558
1814,0,0.8853,0.4706,0,s2,0.8853,0.0558
1826,0,0.8853,0.4706,0,s2,0.8853,0.0558
1827,0,0.8853,0.4706,0,s2,0.8853,0.0558
1837,0,0.3362,0.196,0,s2,0.3362,0.0558
1851,0,2.9579,1.5068,0,s2,2.9579,0.0558
1860,0,0.2128,0.1343,0,s2,0.2128,0.0558
1869,0,1.3108,0.6833,0,s2,1.3108,0.0558
1872,0,0.8853,0.4706,0,s2,0.8853,0.0558
1873,0,0.2128,0.1343,0,s2,0.2128,0.0558
1874,0,0.3362,0.196,0,s2,0.3362,0.0558
1891,0,0.8853,0.4706,0,s2,0.8853,0.0558
1893,0,0.3362,0.196,0,s2,0.3362,0.0558
1894,0,0.8853,0.4706,0,s2,0.8853,0.0558
1901,0,0.2128,0.1343,0,s2,0.2128,0.0558
1904,0,0.8853,0.4706,0,s2,0.8853,0.0558
1906,0,0.7618,0.4088,0,s2,0.7618,0.0558
1907,0,0.3362,0.196,0,s2,0.3362,0.0558
1910,0,0.8853,0.4706,0,s2,0.8853,0.0558
1911,0,0.2128,0.1343,0,s2,0.2128,0.0558
1919,0,2.4089,1.2324,0,s2,2.4089,0.0558
1923,0,0.2128,0.1343,0,s2,0.2128,0.0558
1926,0,0.3362,0.196,0,s2,0.3362,0.0558
1927,0,0.8853,0.4706,0,s2,0.8853,0.0558
1928,0,0.3362,0.196,0,s2,0.3362,0.0558
1947,0,0.3362,0.196,0,s2,0.3362,0.0558
1949,0,0.3362,0.196,0,s2,0.3362,0.0558
1951,0,0.3362,0.196,0,s2,0.3362,0.0558
1980,0,1.3108,0.6833,0,s2,1.3108,0.0558
1981,0,0.2128,0.1343,0,s2,0.2128,0.0558
2001,0,0.8853,0.4706,0,s2,0.8853,0.0558
2002,0,0.2128,0.1343,0,s2,0.2128,0.0558
2014,0,0.8853,0.4706,0,s2,0.8853,0.0558
2015,0,0.3362,0.196,0,s2,0.3362,0.0558
2018,0,0.8853,0.4706,0,s2,0.8853,0.0558
2038,0,0.3362,0.196,0,s2,0.3362,0.0558
2040,0,0.8853,0.4706,0,s2,0.8853,0.0558
2041,0,0.8853,0.4706,0,s2,0.8853,0.0558
2066,0,0.2128,0.1343,0,s2,0.2128,0.0558
2067,0,0.8853,0.4706,0,s2,0.8853,0.0558
2071,0,0.2128,0.1343,0,s2,0.2128,0.0558
2072,0,0.2128,0.1343,0,s2,0.2128,0.0558
2079,0,0.3362,0.196,0,s2,0.3362,0.0558
2091,0,0.3362,0.196,0,s2,0.3362,0.0558
2103,0,0.8853,0.4706,0,s2,0.8853,0.0558
2104,0,0.3362,0.196,0,s2,0.3362,0.0558
2105,0,0.8853,0.4706,0,s2,0.8853,0.0558
2106,0,0.3362,0.196,0,s2,0.3362,0.0558
2123,0,0.7618,0.4088,0,s2,0.7618,0.0558
2124,0,0.3362,0.196,0,s2,0.3362,0.0558
2132,0,0.3362,0.196,0,s2,0.3362,0.0558
2149,0,0.8853,0.4706,0,s2,0.8853,0.0558
2150,0,0.8853,0.4706,0,s2,0.8853,0.0558
2151,0,1.3108,0.6833,0,s2,1.3108,0.0558
2152,0,0.7618,0.4088,0,s2,0.7618,0.0558
2153,0,0.3362,0.196,0,s2,0.3362,0.0558
2154,0,0.3362,0.196,0,s2,0.3362,0.0558
2155,0,0.3362,0.196,0,s2,0.3362,0.0558
2201,0,0.2128,0.1343,0,s2,0.2128,0.0558
2221,0,0.3362,0.196,0,s2,0.3362,0.0558
2227,0,0.2128,0.1343,0,s2,0.2128,0.0558
2228,0,0.8853,0.4706,0,s2,0.8853,0.0558
2237,0,0.8853,0.4706,0,s2,0.8853,0.0558
2238,0,0.3362,0.196,0,s2,0.3362,0.0558
2239,0,0.8853,0.4706,0,s2,0.8853,0.0558
2251,0,0.3362,0.196,0,s2,0.3362,0.0558
2252,0,0.3362,0.196,0,s2,0.3362,0.0558
2266,0,0.2128,0.1343,0,s2,0.2128,0.0558
2267,0,0.3362,0.196,0,s2,0.3362,0.0558
2268,0,0.8853,0.4706,0,s2,0.8853,0.0558
2279,0,0.8853,0.4706,0,s2,0.8853,0.0558
2282,0,0.8853,0.4706,0,s2,0.8853,0.0558
2283,0,0.8853,0.4706,0,s2,0.8853,0.0558
2286,0,0.8853,0.4706,0,s2,0.8853,0.0558
2298,0,0.7618,0.4088,0,s2,0.7618,0.0558
2299,0,0.2128,0.1343,0,s2,0.2128,0.0558
2305,0,0.2128,0.1343,0,s2,0.2128,0.0558
2306,0,0.8853,0.4706,0,s2,0.8853,0.0558
2311,0,0.8853,0.4706,0,s2,0.8853,0.0558
2312,0,0.2128,0.1343,0,s2,0.2128,0.0558
2314,0,0.8853,0.4706,0,s2,0.8853,0.0558
2317,0,0.8853,0.4706,0,s2,0.8853,0.0558
2319,0,0.3362,0.196,0,s2,0.3362,0.0558
2320,0,0.8853,0.4706,0,s2,0.8853,0.0558
2321,0,0.3362,0.196,0,s2,0.3362,0.0558
2322,0,0.2128,0.1343,0,s2,0.2128,0.0558
2358,0,0.8853,0.4706,0,s2,0.8853,0.0558
2362,0,0.8853,0.4706,0,s2,0.8853,0.0558
2372,0,0.8853,0.4706,0,s2,0.8853,0.0558
2373,0,0.8853,0.4706,0,s2,0.8853,0.0558
2376,0,0.3362,0.196,0,s2,0.3362,0.0558
2382,0,0.8853,0.4706,0,s2,0.8853,0.0558
2383,0,0.8853,0.4706,0,s2,0.8853,0.0558
2387,0,0.2128,0.1343,0,s2,0.2128,0.0558
2388,0,0.8853,0.4706,0,s2,0.8853,0.0558
2426,0,0.7618,0.4088,0,s2,0.7618,0.0558
2455,0,0.8853,0.4706,0,s2,0.8853,0.0558
2456,0,0.2128,0.1343,0,s2,0.2128,0.0558
2469,0,0.3362,0.196,0,s2,0.3362,0.0558
2470,0,0.8853,0.4706,0,s2,0.8853,0.0558
2488,0,0.2128,0.1343,0,s2,0.2128,0.0558
2489,0,0.8853,0.4706,0,s2,0.8853,0.0558
2492,0,0.3362,0.196,0,s2,0.3362,0.0558
2510,0,0.8853,0.4706,0,s2,0.8853,0.0558
2512,0,1.3108,0.6833,0,s2,1.3108,0.0558
2513,0,0.8853,0.4706,0,s2,0.8853,0.0558
2520,0,1.3108,0.6833,0,s2,1.3108,0.0558
2521,0,0.8853,0.4706,0,s2,0.8853,0.0558
2523,0,0.2128,0.1343,0,s2,0.2128,0.0558
2525,0,0.8853,0.4706,0,s2,0.8853,0.0558
2527,0,0.7618,0.4088,0,s2,0.7618,0.0558
2570,0,0.3362,0.196,0,s2,0.3362,0.0558
2572,0,0.3362,0.196,0,s2,0.3362,0.0558
2573,0,0.3362,0.196,0,s2,0.3362,0.0558
2576,0,0.3362,0.196,0,s2,0.3362,0.0558
2623,0,0.8853,0.4706,0,s2,0.8853,0.0558
2630,0,0.3362,0.196,0,s2,0.3362,0.0558
2634,0,0.8853,0.4706,0,s2,0.8853,0.0558
2636,0,0.3362,0.196,0,s2,0.3362,0.0558
2639,0,0.8853,0.4706,0,s2,0.8853,0.0558
2657,0,0.2128,0.1343,0,s2,0.2128,0.0558
2658,0,0.2128,0.1343,0,s2,0.2128,0.0558
2663,0,0.8853,0.4706,0,s2,0.8853,0.0558
2667,0,0.8853,0.4706,0,s2,0.8853,0.0558
2669,0,0.8853,0.4706,0,s2,0.8853,0.0558
2683,0,0.2128,0.1343,0,s2,0.2128,0.0558
2686,0,0.3362,0.196,0,s2,0.3362,0.0558
2687,0,0.7618,0.4088,0,s2,0.7618,0.0558
2703,0,0.8853,0.4706,0,s2,0.8853,0.0558
2705,0,0.2128,0.1343,0,s2,0.2128,0.0558
2709,0,0.2128,0.1343,0,s2,0.2128,0.0558
2710,0,0.8853,0.4706,0,s2,0.8853,0.0558
2715,0,3.507,1.7814,1,s2,3.507,0.0558
2716,0,0.3362,0.196,0,s2,0.3362,0.0558
2718,0,0.2128,0.1343,0,s2,0.2128,0.0558
